employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Intermountain Healthcare,CT Technologist- Float,Brighton,Colorado,34,53,Full-time,https://www.jobserve.com/us/en/extjob/CT-TECHNOLOGIST-FLOAT-in-Brighton-Colorado-USA-8C05479A8881CA8A58/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T21:00:00.000Z
UCHealth,CT Tech - Radiology,Brighton,Colorado,,,Full-time,https://jobs.recruiter.com/jobs/16460689982-ct-tech-radiology?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
"Spectrum Medical Imaging - Brighton, CO",CT Technologist- PRN (as needed),Brighton,Colorado,37.35,42.02,Full-time,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2864818?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Intermountain Healthcare,CT Technologist,Brighton,Colorado,,,Full-time,https://www.monster.com/job-openings/ct-technologist-brighton-co--3b18bfb8-8e82-40fa-a5d0-49a66dfc5aa8?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Intermountain Healthcare,CT Technologist PRN,Brighton,Colorado,34.06,52.55,Full-time,"https://www.ziprecruiter.com/c/Intermountain-Healthcare/Job/CT-Technologist-PRN/-in-Brighton,CO?jid=e9d6e9c5d4a4f16b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
Unclassified,"Travel CT Technologist - $2,337 per week",Brighton,Colorado,,,Full-time and Contractor,"https://www.tealhq.com/job/Travel-CT-Technologist---$2,337-per-week_5e6d1fe3-f0fa-4ec5-806c-41052fb6d790?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Intermountain Healthcare,CT Technologist Weekend,Brighton,Colorado,,,Full-time,https://intermountain-healthcare.dejobs.org/brighton-co/ct-technologist-weekend/46B8A6EBAB0F4B1EB05A7F5DE5EEBE73/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Monument Health,Radiological Technologist Clinic,Brighton,Colorado,23.25,29.06,Full-time,https://monument.health/gfj/radiological-technologist-clinic-brighton-co-66ebd7eadad8f80343db1ceb?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Nomad Health,Travel Radiology - CT Techologist $2736/wk,Brighton,Colorado,,,Full-time,https://www.tealhq.com/job/travel-radiology-ct-techologist-2736-wk_27f6a041-c63f-420e-831d-3ef74d05a071?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
°Nomad Health,Travel Radiology - Nuclear Med Tech $2480/wk,Brighton,Colorado,,,Full-time,https://jooble.org/jdp/780121320262540590?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Intermountain Healthcare,CT Technologist- Float,Brighton,Colorado,34,53,Full-time,https://www.jobserve.com/us/en/extjob/CT-TECHNOLOGIST-FLOAT-in-Brighton-Colorado-USA-8C05479A8881CA8A58/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T21:00:00.000Z
Vetted,"CT Tech in Brighton, Colorado - $1,718/week",Brighton,Colorado,,,,https://www.monster.com/job-openings/ct-tech-in-brighton-colorado-1-718-week-brighton-co--484b3324-5e52-4326-9929-98754616e182?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Intermountain Healthcare,CT Technologist PRN,Brighton,Colorado,34.06,52.55,Full-time,"https://www.ziprecruiter.com/c/Intermountain-Healthcare/Job/CT-Technologist-PRN/-in-Brighton,CO?jid=e9d6e9c5d4a4f16b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
