employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
RAYUS Radiology,CT technologist,Eden Prairie,Minnesota,28.71,44.86,Full-time,https://www.linkedin.com/jobs/view/ct-technologist-at-rayus-radiology-4075949323?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
RAYUS Radiology,Computed Tomography,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/b8c2a1725f01e7282aaa723fc3f3d8ed?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
beBee Professionals,Travel CT Technologist,Eden Prairie,Minnesota,,,Contractor,https://us.bebee.com/job/8d466a87f899806ec31a23a3f8b32972?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
RAYUS Radiology,CT Technologist,Chanhassen,Minnesota,,,,https://jobiak.rayusradiology.com/jobdetails/ct-technologist-chanhassen-mn-673b05a0ec41feb14a901774?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
RAYUS Radiology,Computed Tomography Specialist,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/3df8fe6b14fb7e99e42b005386a90413?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
ADVENT,Radiologic Technologist,Eden Prairie,Minnesota,,,Full-time,https://recruiting.paylocity.com/recruiting/jobs/Details/2946355/ADVENT/Radiologic-Technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-31T00:00:00.000Z
RAYUS Radiology,Radiologic Technologist,Eden Prairie,Minnesota,28.71,45.48,Full-time,"https://www.glassdoor.com/job-listing/radiologic-technologist-rayus-radiology-JV_IC1142521_KO0,23_KE24,39.htm?jl=1009526608755&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-12T00:00:00.000Z
Allina Health,CT Technologist,Shakopee,Minnesota,,,Full-time,https://us.bebee.com/job/c480b47f91284ddb30beda28a76be058?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
RAYUS Radiology,Medical Imaging Technologist,Eden Prairie,Minnesota,,,Full-time,https://us.trabajo.org/job-3035-94f694f9854bb6ba3287b64e219f9a15?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Vivian Health,"Travel CT Technologist - $3,061 per week - 2085340",Maple Grove,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/travel-ct-technologist-%243-061-per-week-2085340-at-vivian-health-4143872100?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
RAYUS Radiology,CT technologist,Eden Prairie,Minnesota,28.71,44.86,Full-time,https://www.linkedin.com/jobs/view/ct-technologist-at-rayus-radiology-4075949323?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
RAYUS Radiology,CT Technologist,Chanhassen,Minnesota,,,,https://jobiak.rayusradiology.com/jobdetails/ct-technologist-chanhassen-mn-673b05a0ec41feb14a901774?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
Twin Cities Orthopedics,Radiologic Technologist - Twin Cities Orthopedics,Eden Prairie,Minnesota,30.17,45.24,Part-time,"https://www.ziprecruiter.com/c/Twin-Cities-Orthopedics/Job/Radiologic-Technologist-Twin-Cities-Orthopedics/-in-Eden-Prairie,MN?jid=1acf4de9c408d6ca&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Allina Health,Radiologic Technologist Outpatient Clinic,Eden Prairie,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/radiologic-technologist-outpatient-clinic-at-allina-health-4039206822?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
RAYUS Radiology,Radiologic Technologist,Eden Prairie,Minnesota,28.71,45.48,Full-time,"https://www.glassdoor.com/job-listing/radiologic-technologist-rayus-radiology-JV_IC1142521_KO0,23_KE24,39.htm?jl=1009526608755&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-12T00:00:00.000Z
RAYUS Radiology,Radiology Technologist - CT,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/f75848e6be928ca335349ccf0e3886fc?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
ADVENT,Radiologic Technologist,Eden Prairie,Minnesota,,,Full-time,https://recruiting.paylocity.com/recruiting/jobs/Details/2946355/ADVENT/Radiologic-Technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-31T00:00:00.000Z
RAYUS Radiology,Computed Tomography,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/b8c2a1725f01e7282aaa723fc3f3d8ed?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Allina Health,CT Technologist,Shakopee,Minnesota,,,Full-time,https://us.bebee.com/job/c480b47f91284ddb30beda28a76be058?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
RAYUS Radiology,Radiologic Technologist Float,Eden Prairie,Minnesota,,,Full-time,https://jobiak.rayusradiology.com/jobdetails/radiologic-technologist-float-eden-prairie-mn-67164c5d9a553d8c30832b3e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,CT technologist,Eden Prairie,Minnesota,28.71,44.86,Full-time,https://www.linkedin.com/jobs/view/ct-technologist-at-rayus-radiology-4075949323?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
beBee Professionals,Travel CT Technologist,Eden Prairie,Minnesota,,,Contractor,https://us.bebee.com/job/8d466a87f899806ec31a23a3f8b32972?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
RAYUS Radiology,CT Technologist,Chanhassen,Minnesota,,,,https://jobiak.rayusradiology.com/jobdetails/ct-technologist-chanhassen-mn-673b05a0ec41feb14a901774?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
RAYUS Radiology,Computed Tomography,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/b8c2a1725f01e7282aaa723fc3f3d8ed?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
ADVENT,Radiologic Technologist,Eden Prairie,Minnesota,,,Full-time,https://recruiting.paylocity.com/recruiting/jobs/Details/2946355/ADVENT/Radiologic-Technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-31T00:00:00.000Z
RAYUS Radiology,Computed Tomography Specialist,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/3df8fe6b14fb7e99e42b005386a90413?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
RAYUS Radiology,Radiologic Technologist,Eden Prairie,Minnesota,28.71,45.48,Full-time,"https://www.glassdoor.com/job-listing/radiologic-technologist-rayus-radiology-JV_IC1142521_KO0,23_KE24,39.htm?jl=1009526608755&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-12T00:00:00.000Z
Allina Health,CT Technologist,Shakopee,Minnesota,,,Full-time,https://us.bebee.com/job/c480b47f91284ddb30beda28a76be058?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
"MSSI - Medical Staffing Solutions, Inc.",CT Tech - Pediatrics - Minneapolis/St. Paul - Minnesota - 24622,Minneapolis,Minnesota,33,84,Contractor,https://www.linkedin.com/jobs/view/ct-tech-pediatrics-minneapolis-st-paul-minnesota-24622-at-mssi-medical-staffing-solutions-inc-4144993534?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
ADVENT,Radiologic Technologist Assistant,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/81ac8f95b265d1f8b7557cfa61b9f730?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
