employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Select Medical,"CT Technologist / PRN / $2,500 Sign-On Bonus!",Erie,Colorado,,,Full-time,https://www.recruit.net/job/ct-technologist-prn-sign-bonus-jobs/0284B193D260B3D4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
Highmark Health,CT Technologist I Saint Vincent Hospital (Part Time),Erie,Colorado,,,Part-time,https://www.recruit.net/job/ct-technologist-saint-vincent-hospital-jobs/A8DE4FBBBAB5ECEB?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-26T00:00:00.000Z
Intermountain Healthcare,CT Technologist,Lafayette,Colorado,34.06,52.55,Full-time,https://www.indeed.com/viewjob?jk=e5fa86c17e8f40ed&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,CT Technologist,Erie,Colorado,,,Full-time,https://jobs.womenforhire.com/job/erie-co/ct-technologist-813872/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
UCHealth,CT Technologist - $36-54 per hour,Erie,Colorado,,,Full-time,https://jobs.womenforhire.com/job/erie-co/ct-technologist-36-54-per-hour-299626/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
FlexCare Imaging,"Travel CT Technologist - $2,569 per week",Erie,Colorado,,,Contractor,https://jobs.womenforhire.com/job/erie-co/travel-ct-technologist-2-569-per-week-404457/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
Boulder Community Health,CT Technologist,Boulder,Colorado,46.39,65.59,Full-time,https://www.indeed.com/viewjob?jk=23f354d68cfbf23a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Highmark Health,Radiology Technologist | Saint Vincent Orthopaedic Institute,Erie,Colorado,,,Full-time,https://www.recruit.net/job/radiology-technologist-saint-vincent-orthopaedic-jobs/59A9E6ED6F872F67?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
St. Anthony North Hospital,CT Tech,Westminster,Colorado,35.43,59.68,Full-time,https://www.indeed.com/viewjob?jk=b6524ef4c8d81d40&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Highmark Health,Radiology Technologist Intern | Saint Vincent Hospital (Casual),Erie,Colorado,,,Internship,https://www.recruit.net/job/radiology-technologist-saint-vincent-hospital-jobs/6CC56CC5C4C422EB?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Highmark Health,CT Technologist I Saint Vincent Hospital (Part Time),Erie,Colorado,,,Part-time,https://www.recruit.net/job/ct-technologist-saint-vincent-hospital-jobs/A8DE4FBBBAB5ECEB?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-26T00:00:00.000Z
Host Healthcare,Local Contract Radiology Technologist - $53-61 per hour,Erie,Colorado,53,61,Contractor,https://www.jobserve.com/us/en/extjob/LOCAL-CONTRACT-RADIOLOGY-TECHNOLOGIST-53-61-PER-HOUR-in-Erie-Colorado-USA-61A5304659DD535A84/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-11T05:00:00.000Z
