employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Intermountain Healthcare,CT Technologist,Lafayette,Colorado,34.06,52.55,Full-time,https://www.indeed.com/viewjob?jk=0a3abdb1b332c994&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Sunbelt Staffing,"CT Technologist Job in Lafayette, CO",Lafayette,Colorado,,,Contractor,https://www.sunbeltstaffing.com/jobs/ct-technologist-job-in-lafayette-co/hc/8340089/j/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
Soliant Health,"Travel Computed Tomography Technologist Job in Lafayette, CO",Lafayette,Colorado,,,Contractor,https://www.soliant.com/jobs/travel-computed-tomography-technologist-job-in-lafayette-co/8290721/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-16T00:00:00.000Z
Intermountain Healthcare,CT Technologist Role,Lafayette,Colorado,,,Full-time,https://us.bebee.com/job/59a430a5cd74d99806bccdfbd03ff8ab?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Aequor Healthcare,Radiology Tech - CT,Lafayette,Colorado,,,Contractor,https://work.aequor.com/job/radiology-tech-ct-in-lafayette-co-6300209?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Focus Staff Services,Travel CT Tech - Cat Scan Technologist,Lafayette,Colorado,2650,2732,Full-time,"https://www.career.com/company/focus-staff-services/job/travel-ct-tech-cat-scan-technologist/-in-lafayette,co?jid=2e3a6e28-9223-429a-a281-0e69ff04bc88&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-13T00:00:00.000Z
Bestica,CT Technologist​/Swing Shift,Lafayette,Colorado,,,Full-time,https://www.learn4good.com/jobs/lafayette/colorado/healthcare/3948479350/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
Soliant Health,"CT TECH - Contract - LAFAYETTE, CO",Lafayette,Colorado,,,Contractor,https://www.soliant.com/jobs/ct-tech-contract-lafayette-co/8272527/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
Sunbelt Staffing,Traveling CT Technologist Position,Lafayette,Colorado,,,Contractor,https://us.bebee.com/job/6021710626a050b44b764ca044fb9938?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T16:00:00.000Z
Intermountain Healthcare,Computed Tomography Technologist. Job in Lafayette LilyLifestyle Jobs,Lafayette,Colorado,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/computed-tomography-technologist-lafayette-colorado/1570820005-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T13:00:00.000Z
