employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Aequor Allied,"Travel CT Technologist - $2,529 per week",Longmont,Colorado,,,Full-time,https://www.jobserve.com/us/en/extjob/TRAVEL-CT-TECHNOLOGIST-2529-PER-WEEK-in-Longmont-Colorado-USA-85791678B87B859030/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
UCHealth,Staff - CT Technologist,Longmont,Colorado,36.19,54.28,Full-time,https://www.healthecareers.com/job/staff-ct-technologist/7761082?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
OneStaff Medical,Travel CT Technologist,Longmont,Colorado,,,Full-time,https://www.adzuna.com/details/5044023082?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
American Traveler Allied Health,Travel CT Technologist - CT Scan,Longmont,Colorado,,,Contractor,https://allied.americantraveler.com/job/P-437737?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Clinical Management Consultants,Computed Tomography Technologist (CT),Longmont,Colorado,91561,129043,Full-time,https://www.clinicalmanagementconsultants.com/job?title=computed+tomography+technologist+ct&id=52024&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Fusion Medical Staffing,Travel CT Technologist,Longmont,Colorado,1970.25,2373.8,Full-time and Contractor,https://www.fusionmedstaff.com/job/aee3b089-e3d1-ef11-88d0-000d3a910eac/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
Host Healthcare,"Travel CT Technologist - $2,433 per week",Longmont,Colorado,,,Full-time,https://www.recruit.net/job/travel-ct-technologist-jobs/4403FAE623899A16?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
UCHealth,CT Technologist,Longmont,Colorado,,,Full-time,https://uchealth.dejobs.org/longmont-co/ct-technologist/0AF5CF9B72224BC7A5A5CDC4F49AEDC6/job/?utm_source=American+Job+Center-DE&utm_medium=NLX&utm_campaign=American+Job+Center&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
KPG Allied Professional Staffing,Travel Allied Health Professional - CT Technologist,Longmont,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/travel-allied-health-professional-ct-technologist-at-kpg-allied-professional-staffing-4122152823?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-14T00:00:00.000Z
Medical Solutions,"Travel CT (Computed Tomography) Rad Tech in Longmont, CO",Longmont,Colorado,1976,2273,Full-time,https://www.medicalsolutions.com/jobs/Travel/Rad_Tech/CO/CT_(Computed_Tomography)/42ad541d-e3d1-ef11-8eea-6045bd0922b8/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
TRS Healthcare,CT Tech (Radiology - CT Scan),Longmont,Colorado,,,,https://trshealthcare.com/careers/find-a-job/1277747/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
UCHealth,CT Technologist,Longmont,Colorado,36.19,54.28,Full-time,"https://www.ziprecruiter.com/c/UC-Health/Job/CT-Technologist/-in-Longmont,CO?jid=154ecc9b69794720&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-26T00:00:00.000Z
IDR Healthcare,CT Tech,Longmont,Colorado,,,Full-time,https://www.idrhealthcare.com/job/399015-ct-tech-longmont-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-26T00:00:00.000Z
UCHealth,CT Technologist,Longmont,Colorado,36,54,Full-time,https://www.linkedin.com/jobs/view/ct-technologist-at-uchealth-4135846944?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
American Traveler Allied Health,Travel CT Technologist - CT Scan,Longmont,Colorado,,,Contractor,https://allied.americantraveler.com/job/P-437737?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Vetted,"CT Tech in Longmont, Colorado - $2,193/week",Longmont,Colorado,,,,https://www.monster.com/job-openings/ct-tech-in-longmont-colorado-2-193-week-longmont-co--12e0f9be-912f-4c30-b91c-15f167c3d7b3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
Fusion Medical Staffing,Travel CT Technologist,Longmont,Colorado,1970.25,2373.8,Full-time and Contractor,https://www.fusionmedstaff.com/job/aee3b089-e3d1-ef11-88d0-000d3a910eac/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
Wanderly,"Travel Allied CT Tech - $2,385/wk in Longmont, CO",Longmont,Colorado,,,Full-time and Contractor,https://www.wanderly.us/nurse/jobs/travel-allied-ct-tech-job-in-longmont-co/7017375?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Medical Solutions,"Travel CT (Computed Tomography) Rad Tech in Longmont, CO",Longmont,Colorado,1976,2273,Full-time,https://www.medicalsolutions.com/jobs/Travel/Rad_Tech/CO/CT_(Computed_Tomography)/42ad541d-e3d1-ef11-8eea-6045bd0922b8/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
Host Healthcare,"Travel CT Technologist - $2,433 per week",Longmont,Colorado,,,Full-time,https://www.recruit.net/job/travel-ct-technologist-jobs/4403FAE623899A16?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
TRS Healthcare,CT Tech (Radiology - CT Scan),Longmont,Colorado,,,,https://trshealthcare.com/careers/find-a-job/1277747/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
UCHealth,CT Technologist,Longmont,Colorado,36,54,Full-time,https://www.linkedin.com/jobs/view/ct-technologist-at-uchealth-4135846944?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
IDR Healthcare,CT Tech,Longmont,Colorado,,,Full-time,https://www.idrhealthcare.com/job/399015-ct-tech-longmont-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-26T00:00:00.000Z
Fusion Medical Staffing,Travel CT Technologist,Longmont,Colorado,1970.25,2373.8,Full-time and Contractor,https://www.fusionmedstaff.com/job/aee3b089-e3d1-ef11-88d0-000d3a910eac/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
Clinical Management Consultants,Computed Tomography Technologist (CT),Longmont,Colorado,91561,129043,Full-time,https://www.clinicalmanagementconsultants.com/job?title=computed+tomography+technologist+ct&id=52024&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Vetted,"CT Tech in Longmont, Colorado - $2,193/week",Longmont,Colorado,,,,https://www.monster.com/job-openings/ct-tech-in-longmont-colorado-2-193-week-longmont-co--12e0f9be-912f-4c30-b91c-15f167c3d7b3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
American Traveler Allied Health,Travel CT Technologist - CT Scan,Longmont,Colorado,,,Contractor,https://allied.americantraveler.com/job/P-437737?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Wanderly,"Travel Allied CT Tech - $2,385/wk in Longmont, CO",Longmont,Colorado,,,Full-time and Contractor,https://www.wanderly.us/nurse/jobs/travel-allied-ct-tech-job-in-longmont-co/7017375?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
