employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Children's Minnesota,Casual CT Tech,Minneapolis,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/2402723E/Casual-CT-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T23:00:00.000Z
Cross Country Allied,CT Technologist - RAD / CT Technologist - CT,Minneapolis,Minnesota,,,Full-time,https://www.indeed.com/viewjob?jk=d29e49149915381a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Wanderly,"Travel Allied CT Tech - $2,600/wk in Minneapolis, MN",Minneapolis,Minnesota,,,Full-time and Contractor,https://www.wanderly.us/nurse/jobs/travel-allied-ct-tech-job-in-minneapolis-mn/7110125?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Allina Health,CT Technologist- Casual,Minneapolis,Minnesota,39.07,54.9,Part-time,https://www.linkedin.com/jobs/view/ct-technologist-casual-at-allina-health-4124761755?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
Medical Solutions,"Travel CT (Computed Tomography) Rad Tech in Minneapolis, MN",Minneapolis,Minnesota,2404,2668,Full-time,https://www.medicalsolutions.com/jobs/Travel/Rad_Tech/MN/CT_(Computed_Tomography)/0504a3b0-00e4-ef11-9341-0022480499cf/0f04a3b0-00e4-ef11-9341-0022480499cf/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
"MSSI - Medical Staffing Solutions, Inc.",CT Tech - Pediatrics - Minneapolis/St. Paul - Minnesota - 24622,Minneapolis,Minnesota,33,84,Contractor,https://www.linkedin.com/jobs/view/ct-tech-pediatrics-minneapolis-st-paul-minnesota-24622-at-mssi-medical-staffing-solutions-inc-4144993534?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Interim HealthCare Staffing,CT Technologist - Hospital - Full-Time Evenings,Minneapolis,Minnesota,,,Full-time,"https://www.ziprecruiter.com/c/Interim-HealthCare-Staffing/Job/CT-Technologist-Hospital-Full-Time-Evenings/-in-Minneapolis,MN?jid=03abc227157e5c01&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Aureus Medical Group - Imaging,"Travel CT Technologist - $3,000 per week",Minneapolis,Minnesota,,,,https://jobs.aspiremediagroup.net/jobs/travel-ct-technologist-3-000-per-week-minneapolis-minnesota/1561245131-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
RAYUS Radiology,Computed Tomography (CTI) Technologists,Minneapolis,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/computed-tomography-cti-technologists-at-rayus-radiology-4141339320?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Mayo Clinic,CT Technologist - Mayo Clinic Square,Minneapolis,Minnesota,,,Full-time,https://www.tealhq.com/job/ct-technologist-mayo-clinic-square_7f12de29-baca-476f-a248-4f205df2b668?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Children's Minnesota,Casual CT Tech,Minneapolis,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/2402723E/Casual-CT-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T23:00:00.000Z
Wanderly,"Travel Allied CT Tech - $2,600/wk in Minneapolis, MN",Minneapolis,Minnesota,,,Full-time and Contractor,https://www.wanderly.us/nurse/jobs/travel-allied-ct-tech-job-in-minneapolis-mn/7110125?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Allina Health,CT Technologist- Casual,Minneapolis,Minnesota,39.07,54.9,Part-time,https://www.linkedin.com/jobs/view/ct-technologist-casual-at-allina-health-4124761755?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
SimonMed Imaging,CT Scan Technician,Minneapolis,Minnesota,,,Full-time,https://us.bebee.com/job/d732f86bf304413d1bd722bb2002dfc8?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T22:00:00.000Z
"MSSI - Medical Staffing Solutions, Inc.",CT Tech - Pediatrics - Minneapolis/St. Paul - Minnesota - 24622,Minneapolis,Minnesota,33,84,Contractor,https://www.linkedin.com/jobs/view/ct-tech-pediatrics-minneapolis-st-paul-minnesota-24622-at-mssi-medical-staffing-solutions-inc-4144993534?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
RAYUS Radiology,CT Technologist,Minneapolis,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/Rayus-Radiology/Job/CT-Technologist/-in-Minneapolis,MN?jid=a205982646eac7c7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Interim HealthCare Staffing,CT Technologist - Hospital - Full-Time Evenings,Minneapolis,Minnesota,,,Full-time,"https://www.ziprecruiter.com/c/Interim-HealthCare-Staffing/Job/CT-Technologist-Hospital-Full-Time-Evenings/-in-Minneapolis,MN?jid=03abc227157e5c01&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Medical Solutions,"Travel CT (Computed Tomography) Rad Tech in Minneapolis, MN",Minneapolis,Minnesota,2404,2668,Full-time,https://www.medicalsolutions.com/jobs/Travel/Rad_Tech/MN/CT_(Computed_Tomography)/0504a3b0-00e4-ef11-9341-0022480499cf/0f04a3b0-00e4-ef11-9341-0022480499cf/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Fairview Health Services,"CT Technologist - ADIT - Sign on bonus starting at $4,000!",Edina,Minnesota,,,Full-time,https://www.indeed.com/viewjob?jk=cbc84110914aa627&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Hennepin Healthcare,Computed Tomography (CT) Technologist I or II (Evenings),Minneapolis,Minnesota,,,Part-time,"https://www.ziprecruiter.com/c/Hennepin-Healthcare/Job/Computed-Tomography-(CT)-Technologist-I-or-II-(Evenings)/-in-Minneapolis,MN?jid=170abb1d86a5d146&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Children's Minnesota,Casual CT Tech,Minneapolis,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/2402723E/Casual-CT-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T23:00:00.000Z
Wanderly,"Travel Allied CT Tech - $2,600/wk in Minneapolis, MN",Minneapolis,Minnesota,,,Full-time and Contractor,https://www.wanderly.us/nurse/jobs/travel-allied-ct-tech-job-in-minneapolis-mn/7110125?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
"MSSI - Medical Staffing Solutions, Inc.",CT Tech - Pediatrics - Minneapolis/St. Paul - Minnesota - 24622,Minneapolis,Minnesota,33,84,Contractor,https://www.linkedin.com/jobs/view/ct-tech-pediatrics-minneapolis-st-paul-minnesota-24622-at-mssi-medical-staffing-solutions-inc-4144993534?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Medical Solutions,"Travel CT (Computed Tomography) Rad Tech in Minneapolis, MN",Minneapolis,Minnesota,2404,2668,Full-time,https://www.medicalsolutions.com/jobs/Travel/Rad_Tech/MN/CT_(Computed_Tomography)/0504a3b0-00e4-ef11-9341-0022480499cf/0f04a3b0-00e4-ef11-9341-0022480499cf/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Interim HealthCare Staffing,CT Technologist - Hospital - Full-Time Evenings,Minneapolis,Minnesota,,,Full-time,"https://www.ziprecruiter.com/c/Interim-HealthCare-Staffing/Job/CT-Technologist-Hospital-Full-Time-Evenings/-in-Minneapolis,MN?jid=03abc227157e5c01&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Allina Health,CT Technologist- Casual,Minneapolis,Minnesota,39.07,54.9,Part-time,https://www.linkedin.com/jobs/view/ct-technologist-casual-at-allina-health-4124761755?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-12T00:00:00.000Z
Aureus Medical Group - Imaging,"Travel CT Technologist - $3,000 per week",Minneapolis,Minnesota,,,,https://jobs.aspiremediagroup.net/jobs/travel-ct-technologist-3-000-per-week-minneapolis-minnesota/1561245131-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Mayo Clinic,CT Technologist - Mayo Clinic Square,Minneapolis,Minnesota,,,Full-time,https://www.tealhq.com/job/ct-technologist-mayo-clinic-square_7f12de29-baca-476f-a248-4f205df2b668?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Fairview Health Services,"CT Technologist - ADIT - Sign on bonus starting at $4,000!",Edina,Minnesota,,,Full-time,https://www.indeed.com/viewjob?jk=cbc84110914aa627&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
RAYUS Radiology,CT Technologist,Minneapolis,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/Rayus-Radiology/Job/CT-Technologist/-in-Minneapolis,MN?jid=a205982646eac7c7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
