employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
UCHealth,CT XR Technologist,Parker,Colorado,36,54,Full-time,https://www.jobserve.com/us/en/extjob/CT-XR-TECHNOLOGIST-in-Parker-Colorado-USA-D42E7121EDE8F7F11D/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Soliant Health,"CT Technologist Travel Job in Parker, Colorado",Parker,Colorado,,,Contractor,https://www.soliant.com/jobs/ct-technologist-travel-job-in-parker-colorado/8357435/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
FlexCare Allied,"Travel CT Technologist - $2,243 per week",Parker,Colorado,,,,https://www.healthecareers.com/job/travel-ct-technologist-2243-per-week/7787445?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Sky Ridge South Parker ER,CT Technologist Weekends,Parker,Colorado,,,Full-time and Part-time,https://www.simplyhired.com/job/4vvq0IHwfdGKj9yrjyQJzpVgQjeCs0XhdgH2wIiSeKUcjLoR4CdlYw?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
American Traveler,"Travel CT Technologist - $2,596 per week",Parker,Colorado,,,Contractor,https://jobs.aspiremediagroup.net/jobs/travel-ct-technologist-2-596-per-week-parker-colorado/1560947718-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Host Healthcare,"Travel CT Tech - $2,103 to $2,256 per week in Parker, CO",Parker,Colorado,,,Full-time,https://www.monster.com/job-openings/travel-ct-tech-2-103-to-2-256-per-week-in-parker-co-parker-co--7ae655c1-5f76-40b6-bcfb-da4366cc300b?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Vivian Health,"Travel CT Technologist - Paying up to $2,583/week",Parker,Colorado,,,Full-time,https://www.jobserve.com/us/en/extjob/TRAVEL-CT-TECHNOLOGIST-PAYING-UP-TO-2583-WEEK-in-Parker-Colorado-USA-891EFD4A50D890595C/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-21T00:00:00.000Z
Invision Sally Jobe,Float MRI / CT Technologist,Parker,Colorado,37,52,Full-time,"https://www.ziprecruiter.com/c/Invision-Sally-Jobe/Job/Float-MRI-CT-Technologist/-in-Parker,CO?jid=46e5d87458f07d5d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Nightingale Nurses,"Travel CT Technologist - $2,500 per week",Parker,Colorado,,,Full-time and Part-time,https://www.snagajob.com/jobs/1052650470?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-21T00:00:00.000Z
UCHealth,Computed Tomography Professional,Parker,Colorado,,,Full-time,https://us.trabajo.org/job-3035-51fd75bae670b0aa1953ff043c693021?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
