employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Mayo Clinic,CT Technologist - Days - $5k Sign On Bonus,Phoenix,Arizona,,,Full-time,https://jobs.mayoclinic.org/job/phoenix/ct-technologist-days-5k-sign-on-bonus/33647/76005942880?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
CommonSpirit Health,CT Technologist,Phoenix,Arizona,,,Full-time,https://www.commonspirit.careers/job/phoenix/ct-technologist/35300/75654261888?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Soliant Health,"Computed Tomography (CT) Technologist Urgently Needed - Phoenix, AZ",Phoenix,Arizona,,,Contractor,https://www.soliant.com/jobs/computed-tomography-ct-technologist-urgently-needed-phoenix-az/6774986/?detail_cat=5607&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
HonorHealth,CAT Scan Technologist - Traveler - Days,Phoenix,Arizona,,,,https://jobs.honorhealth.com/jobs/56307?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Aureus Medical Group,CT Tech / Computed Tomography Technologist,Phoenix,Arizona,,,Contractor,https://secure01.aureusmedical.com/Jobs/25-2966345?Division=2&txtSource=173-23415&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Valleywise Health,CT Tech,Phoenix,Arizona,35.52,52.39,Full-time,https://jobs.valleywisehealth.org/ct-tech/job/28603236?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
SimonMed Imaging,CT Technologist,Phoenix,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=88c5044c62fc5e5c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Abrazo Central Hospital,CT Technologist FT Nights,Phoenix,Arizona,,,Full-time,https://jobs.tenethealth.com/job/phoenix/ct-technologist-ft-nights/1127/75804902016?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Aureus Medical Group - Imaging,"Travel CT Technologist - $2,343 per week",Phoenix,Arizona,,,,https://www.healthecareers.com/job/travel-ct-technologist-2343-per-week/7848339?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Abrazo Central Hospital,CT Technologist Full Time Rotating,Phoenix,Arizona,,,Full-time,https://jobs.tenethealth.com/job/phoenix/ct-technologist-full-time-rotating/1127/75711655488?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
HonorHealth,CAT Scan Tech,Phoenix,Arizona,,,Full-time,https://jobs.honorhealth.com/jobs/72025?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
Mayo Clinic,CT Technologist - Part Time Weekends,Phoenix,Arizona,,,Full-time and Part-time,https://jobs.mayoclinic.org/job/phoenix/ct-technologist-part-time-weekends/33647/76005942848?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
Phoenix Children’s,"CT Technologist / CAT Scan – Virtual Interviews - Up to $10,000 Sign-on Bonus",Phoenix,Arizona,,,Full-time and Part-time,https://www.simplyhired.com/job/_GqZa6FBvn3NwlT1f8D8l49xaYu8BuQwMJP6cv6IK7-3IYI41VgTdQ?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Phoenix Children's,CAT Scan Technologist,Phoenix,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=94615e0791c35917&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Valleywise Health,CT Tech,Phoenix,Arizona,35.52,52.39,Full-time,https://jobs.valleywisehealth.org/ct-tech/job/28603236?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Phoenix Children's,"CT CAT Scan Technologist – $20,000 Sign-on Bonus",Phoenix,Arizona,,,Full-time,https://careercenter.ascls.org/jobs/20985657/ct-cat-scan-technologist-20-000-sign-on-bonus?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-16T00:00:00.000Z
HonorHealth,CAT Scan Tech - Lead,Phoenix,Arizona,,,Full-time,https://jobs.honorhealth.com/jobs/77496?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
TRS Healthcare,CT Tech (Radiology - CT Scan),Phoenix,Arizona,,,,https://trshealthcare.com/careers/find-a-job/1286683/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
Aureus Medical Group,CT Tech / Computed Tomography Technologist,Phoenix,Arizona,,,Contractor,https://secure01.aureusmedical.com/Jobs/25-2966345?Division=2&txtSource=173-23415&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Soliant Health,"Computed Tomography (CT) Technologist Urgently Needed - Phoenix, AZ",Phoenix,Arizona,,,Contractor,https://www.soliant.com/jobs/computed-tomography-ct-technologist-urgently-needed-phoenix-az/6774986/?detail_cat=5607&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Mayo Clinic,CT Technologist - Part Time Weekends,Phoenix,Arizona,,,Full-time and Part-time,https://jobs.mayoclinic.org/job/phoenix/ct-technologist-part-time-weekends/33647/76005942848?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
Valleywise Health,CT Tech,Phoenix,Arizona,35.52,52.39,Full-time,https://jobs.valleywisehealth.org/ct-tech/job/28603236?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
HonorHealth,CAT Scan Tech,Phoenix,Arizona,,,Full-time,https://jobs.honorhealth.com/jobs/72025?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
Soliant Health,"Computed Tomography (CT) Technologist Urgently Needed - Phoenix, AZ",Phoenix,Arizona,,,Contractor,https://www.soliant.com/jobs/computed-tomography-ct-technologist-urgently-needed-phoenix-az/6774986/?detail_cat=5607&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Aureus Medical Group,CT Tech / Computed Tomography Technologist,Phoenix,Arizona,,,Contractor,https://secure01.aureusmedical.com/Jobs/25-2966345?Division=2&txtSource=173-23415&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
CommonSpirit Health,CT Technologist,Phoenix,Arizona,,,Full-time,https://www.commonspirit.careers/job/phoenix/ct-technologist/35300/75654261888?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
TRS Healthcare,CT Tech (Radiology - CT Scan),Phoenix,Arizona,,,,https://trshealthcare.com/careers/find-a-job/1286683/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
SimonMed Imaging,CT Technologist,Phoenix,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=88c5044c62fc5e5c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
