employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Banner Health,CT Technologists East Valley Outpatient  Imaging Clinics,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/ct-technologists-east-valley-outpatient-imaging-clinics-at-banner-health-4142565301?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
SimonMed Imaging,Computed Tomography Technologist. Job in Scottsdale LilyLifestyle Jobs,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/computed-tomography-technologist-scottsdale-arizona/1569193437-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Arizona Center for Cancer Care,PET/CT Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=5a46d84531ead053&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
SimonMed Imaging,CT Technologist - Now Hiring,Scottsdale,Arizona,24.54,34.6,Full-time,https://www.snagajob.com/jobs/1052176189?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-20T00:00:00.000Z
SimonMed Imaging,Radiologic Technologist - CT,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/7d08eea516361d4667cd2a3059dec975?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T17:00:00.000Z
SimonMed Imaging,Computed Tomography Technologist,Scottsdale,Arizona,,,Full-time,https://salutemyjob.com/jobs/computed-tomography-technologist-scottsdale-arizona/1568042274-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
Banner Health,CT Technologists East Valley Outpatient  Imaging Clinics,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/ct-technologists-east-valley-outpatient-imaging-clinics-at-banner-health-4142565301?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Arizona Center for Cancer Care,PET/CT Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=5a46d84531ead053&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
SimonMed Imaging,CT Technologist - Now Hiring,Scottsdale,Arizona,24.54,34.6,Full-time,https://www.snagajob.com/jobs/1052176189?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-20T00:00:00.000Z
HonorHealth,Cath Lab Rad Tech,Scottsdale,Arizona,,,Full-time,https://jobs.honorhealth.com/jobs/75846?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,Radiologic Technologist - CT,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/7d08eea516361d4667cd2a3059dec975?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T17:00:00.000Z
Rhino Medical Services,Radiologic Technologist,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/radiologic-technologist-at-rhino-medical-services-4148375549?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T21:00:00.000Z
SimonMed Imaging,CT Technologist - Now Hiring,Scottsdale,Arizona,24.54,34.6,Full-time,https://www.snagajob.com/jobs/1052176189?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-20T00:00:00.000Z
SimonMed Imaging,Computed Tomography Technologist,Scottsdale,Arizona,,,Full-time,https://salutemyjob.com/jobs/computed-tomography-technologist-scottsdale-arizona/1568042274-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
Tenet-AZ Region,CT Technologist - $29-38 per hour,Scottsdale,Arizona,,,Full-time,https://jobs.womenforhire.com/job/scottsdale-az/ct-technologist-29-38-per-hour-975418/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
SimonMed Imaging,Computed Tomography Specialist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/23c5a2c11479da97c7d1653bad8708c6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
