employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
RAYUS Radiology,CT Technologist,St Paul,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/CT-Technologist/-in-Saint-Paul,MN?jid=e7d1fd9e126ad1f1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-28T00:00:00.000Z
Soliant Health,"Computed Tomography (CT) Technologist Urgently Needed - Saint Paul, MN",St Paul,Minnesota,,,Contractor,https://www.soliant.com/jobs/computed-tomography-ct-technologist-urgently-needed-saint-paul-mn/6501553/?detail_cat=5607&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
RAYUS Radiology,Computed Tomography (CTI) Technologists,St Paul,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/computed-tomography-cti-technologists-at-rayus-radiology-4141335954?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
HealthPartners,Computed Tomography Specialist,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/4fcaa8463a84d73aa4f54bb4d20c6f5f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T14:00:00.000Z
MLee Healthcare Staffing and Recruiting,ARRT - Radiology Technologist | CT Tech,St Paul,Minnesota,,,Full-time,https://www.tealhq.com/job/arrt-radiology-technologist-ct-tech_f60b6312-cb73-4069-8770-10586ca30f1f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Children's Minnesota,Casual CT Tech,Minneapolis,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/2402723E/Casual-CT-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T23:00:00.000Z
PROVIDENCE ST JOHNS HEALTH CENTER,CT Technologist,Apple Valley,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/ct-technologist-at-providence-st-johns-health-center-4148250408?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
Regions Hospital,Medical Imaging Technologist,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/edea88fbe5f6f7d7c811f7e53d991811?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-11T04:00:00.000Z
GrapeTree Medical Staffing Allied,"Travel CT Technologist - $3,300 per week",St Paul,Minnesota,,,Contractor,https://jobs.womenforhire.com/job/saint-paul-mn/travel-ct-technologist-3-300-per-week-431315/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Fairview Health Services,CT Technologist-Clinic,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/bc97e5cc5ce19950f024c9e0b1452a1f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
RAYUS Radiology,CT Technologist,St Paul,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/CT-Technologist/-in-Saint-Paul,MN?jid=e7d1fd9e126ad1f1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-28T00:00:00.000Z
Soliant Health,"Computed Tomography (CT) Technologist Urgently Needed - Saint Paul, MN",St Paul,Minnesota,,,Contractor,https://www.soliant.com/jobs/computed-tomography-ct-technologist-urgently-needed-saint-paul-mn/6501553/?detail_cat=5607&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
Children's Minnesota,Casual CT Tech,Minneapolis,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/2402723E/Casual-CT-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T23:00:00.000Z
GQR Healthcare,"Travel CT Tech - $2,580 per week in St. Paul, MN",Lilydale,Minnesota,,,Full-time,https://www.adzuna.com/details/5039424655?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
HealthPartners,Computed Tomography Specialist,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/4fcaa8463a84d73aa4f54bb4d20c6f5f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T14:00:00.000Z
MLee Healthcare Staffing and Recruiting,ARRT - Radiology Technologist | CT Tech,St Paul,Minnesota,,,Full-time,https://www.tealhq.com/job/arrt-radiology-technologist-ct-tech_f60b6312-cb73-4069-8770-10586ca30f1f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Allina Health System,Cardiovascular Interventional Radiologic Technologist,St Paul,Minnesota,39.17,54.85,Full-time,https://www.indeed.com/viewjob?jk=72bc67bfca26a669&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
PROVIDENCE ST JOHNS HEALTH CENTER,CT Technologist,Apple Valley,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/ct-technologist-at-providence-st-johns-health-center-4148250408?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
Fairview Health Services,CT Technologist-Clinic,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/bc97e5cc5ce19950f024c9e0b1452a1f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
"MSSI - Medical Staffing Solutions, Inc.",CT Tech - Pediatrics - Minneapolis/St. Paul - Minnesota - 24622,Minneapolis,Minnesota,33,84,Contractor,https://www.linkedin.com/jobs/view/ct-tech-pediatrics-minneapolis-st-paul-minnesota-24622-at-mssi-medical-staffing-solutions-inc-4144993534?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
RAYUS Radiology,CT Technologist,St Paul,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/CT-Technologist/-in-Saint-Paul,MN?jid=e7d1fd9e126ad1f1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-28T00:00:00.000Z
