employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Staff - MRI Technologist,Aurora,Colorado,38.72,58.08,Full-time,https://www.healthecareers.com/job/staff-mri-technologist/7754193?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
HCA Healthcare,Healthcare Professional MRI Technologist,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/799f17ad75368b5e041384a5ccd066b5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
University of Colorado,"MRI Research Technologist (Diagnostic Technologist II, III)",Aurora,Colorado,,,Full-time,https://universityofcolorado.dejobs.org/aurora-co/mri-research-technologist-diagnostic-technologist-ii-iii/0ED2CED53A0B4296A45F0CE576C8DF3C/job/?utm_source=.JOBS+XML+Feed-DE&utm_medium=.JOBS+Universe&utm_campaign=.JOBS+XML+Feed&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Staff - MRI Technologist,Aurora,Colorado,38.72,58.08,Full-time,https://www.healthecareers.com/job/staff-mri-technologist/7754193?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
University of Colorado,"MRI Research Technologist (Diagnostic Technologist II, III)",Aurora,Colorado,,,Full-time,https://universityofcolorado.dejobs.org/aurora-co/mri-research-technologist-diagnostic-technologist-ii-iii/0ED2CED53A0B4296A45F0CE576C8DF3C/job/?utm_source=.JOBS+XML+Feed-DE&utm_medium=.JOBS+Universe&utm_campaign=.JOBS+XML+Feed&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Staff - MRI Technologist,Aurora,Colorado,38.72,58.08,Full-time,https://www.healthecareers.com/job/staff-mri-technologist/7754193?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
HCA Healthcare,Healthcare Professional MRI Technologist,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/799f17ad75368b5e041384a5ccd066b5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
UCHealth,MRI Technologist - Full Time Position,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/3105af3db0adbaefb910253d4d665984?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
