employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Spectrum Medical Imaging,MRI Technologist,Brighton,Colorado,,,Full-time,https://us.thebigjobsite.com/details/CE5621E821A1EACCCF46FE1E2DA8D6CF/mri-technologist?source=attbus&utm_source=googlejobs&utm_medium=api2&key=FE26C9B555E3AF239AA3E29F595830F4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Intermountain Healthcare,MRI Technologist,Brighton,Colorado,,,Full-time,https://intermountain-healthcare.dejobs.org/brighton-co/mri-technologist/608451A19B9C4C6BBBE411AE7EB2B1D7/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
GLC On-The-Go,"Travel MRI Technologist - $2,309 per week",Brighton,Colorado,,,Contractor,https://www.recruit.net/job/travel-mri-technologist-jobs/5CD8C331A3AEEEFF?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
AlliedTravelCareers,"Travel MRI Tech - $2,433 to $2,586 per week in Brighton, CO",Brighton,Colorado,2433,2586,Full-time,https://www.jobserve.com/us/en/extjob/TRAVEL-MRI-TECH-2433-TO-2586-PER-WEEK-IN-BRIGHTON-CO-in-Brighton-Colorado-USA-80BB572481B35119D7/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Intermountain Healthcare,MRI Technologist PRN,Brighton,Colorado,37.46,57.8,Full-time,"https://www.ziprecruiter.com/c/Intermountain-Healthcare/Job/MRI-Technologist-PRN/-in-Brighton,CO?jid=e97649da2e41db93&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
Soliant Health,"MRI Tech Travel Job in Brighton, Colorado",Brighton,Colorado,,,Full-time,https://www.tealhq.com/job/mri-tech-travel-job-in-brighton-colorado_5a655aad-c1a6-4e99-9af5-cf49f62e57be?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
"Spectrum Medical Imaging - Brighton, CO",MRI Technologist- PRN (as needed),Brighton,Colorado,,,Full-time,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2891287?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Host Healthcare,MRI Tech,Brighton,Colorado,2433,2586,Full-time,https://www.alliedtravelcareers.com/job/9535503EXPPLAT/travel-mri-tech-2433-to-2586-per-week-in-brighton-co?utm_source=jobrapido&utm_medium=feed&utm_campaign=jobrapido-da&utm_content=EXPPLAT&is_direct_app=1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
American Traveler,MRI Tech,Brighton,Colorado,,,Full-time and Contractor,https://www.tealhq.com/job/mri-tech_9638a118-f8fe-4aad-afe8-eed132a46492?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Platte Valley Medical Center,Allied-Imaging - MRI Tech,Brighton,Colorado,,,,https://jooble.org/jdp/-2174951060832052856?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Spectrum Medical Imaging,MRI Technologist,Brighton,Colorado,,,Full-time,https://us.thebigjobsite.com/details/CE5621E821A1EACCCF46FE1E2DA8D6CF/mri-technologist?source=attbus&utm_source=googlejobs&utm_medium=api2&key=FE26C9B555E3AF239AA3E29F595830F4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Intermountain Healthcare,MRI Technologist,Brighton,Colorado,,,Full-time,https://intermountain-healthcare.dejobs.org/brighton-co/mri-technologist/608451A19B9C4C6BBBE411AE7EB2B1D7/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
AlliedTravelCareers,"Travel MRI Tech - $2,433 to $2,586 per week in Brighton, CO",Brighton,Colorado,2433,2586,Full-time,https://www.jobserve.com/us/en/extjob/TRAVEL-MRI-TECH-2433-TO-2586-PER-WEEK-IN-BRIGHTON-CO-in-Brighton-Colorado-USA-80BB572481B35119D7/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Soliant Health,"MRI Tech Travel Job in Brighton, Colorado",Brighton,Colorado,,,Full-time,https://www.tealhq.com/job/mri-tech-travel-job-in-brighton-colorado_5a655aad-c1a6-4e99-9af5-cf49f62e57be?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Intermountain Healthcare,MRI Technologist PRN,Brighton,Colorado,37.46,57.8,Full-time,"https://www.ziprecruiter.com/c/Intermountain-Healthcare/Job/MRI-Technologist-PRN/-in-Brighton,CO?jid=e97649da2e41db93&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
Host Healthcare,MRI Tech,Brighton,Colorado,2433,2586,Full-time,https://www.alliedtravelcareers.com/job/9535503EXPPLAT/travel-mri-tech-2433-to-2586-per-week-in-brighton-co?utm_source=jobrapido&utm_medium=feed&utm_campaign=jobrapido-da&utm_content=EXPPLAT&is_direct_app=1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
"Spectrum Medical Imaging - Brighton, CO",MRI Technologist- PRN (as needed),Brighton,Colorado,,,Full-time,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2891287?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
American Traveler,MRI Tech,Brighton,Colorado,,,Full-time and Contractor,https://www.tealhq.com/job/mri-tech_9638a118-f8fe-4aad-afe8-eed132a46492?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Platte Valley Medical Center,Allied-Imaging - MRI Tech,Brighton,Colorado,,,,https://jooble.org/jdp/-2174951060832052856?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Talent4Health,Local Mri Technologist,Brighton,Colorado,58,64,Full-time and Contractor,https://www.learn4good.com/jobs/brighton/colorado/healthcare/3700067028/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Spectrum Medical Imaging,MRI Technologist,Brighton,Colorado,,,Full-time,https://us.thebigjobsite.com/details/CE5621E821A1EACCCF46FE1E2DA8D6CF/mri-technologist?source=attbus&utm_source=googlejobs&utm_medium=api2&key=FE26C9B555E3AF239AA3E29F595830F4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Intermountain Healthcare,MRI Technologist PRN,Brighton,Colorado,37.46,57.8,Full-time,"https://www.ziprecruiter.com/c/Intermountain-Healthcare/Job/MRI-Technologist-PRN/-in-Brighton,CO?jid=e97649da2e41db93&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
Intermountain Healthcare,MRI Technologist,Brighton,Colorado,,,Full-time,https://intermountain-healthcare.dejobs.org/brighton-co/mri-technologist/608451A19B9C4C6BBBE411AE7EB2B1D7/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
"Spectrum Medical Imaging - Brighton, CO",MRI Technologist- PRN (as needed),Brighton,Colorado,,,Full-time,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2891287?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
