employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Intermountain Healthcare,MRI Technologist,Lafayette,Colorado,37.46,57.8,Full-time,https://www.indeed.com/viewjob?jk=954db1e0b093ff2f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Intermountain Healthcare,MRI Technologist PRN,Lafayette,Colorado,37.46,57.8,Part-time,https://www.indeed.com/viewjob?jk=aa3ff37e1d1e4132&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Vetted,"MRI Tech in Lafayette, Colorado - $2,403/week",Lafayette,Colorado,,,,https://www.monster.com/job-openings/mri-tech-in-lafayette-colorado-2-403-week-lafayette-co--f91ab295-0aa3-4474-86bf-02dad030c182?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Sunbelt Staffing,"MRI Tech Opportunity - Travel Contract - Evening Shift - Lafayette, Colorado",Lafayette,Colorado,,,Contractor,https://www.sunbeltstaffing.com/jobs/mri-tech-opportunity-travel-contract-evening-shift-lafayette-colorado/hc/8339654/j/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
Sunbelt Staffing,MRI Technologist Needed in Lafayette,Lafayette,Colorado,,,Full-time and Contractor,https://us.bebee.com/job/0eae16f401dc394c1248b42612de0a9c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
Sunbelt Staffing,"Travel MRI Technologist Contract in Lafayette, Colorado",Lafayette,Colorado,,,Contractor,https://www.sunbeltstaffing.com/jobs/travel-mri-technologist-contract-in-lafayette-colorado/hc/8339641/j/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
Sisters of Charity of Leavenworth Health System,MRI Tech,Lafayette,Colorado,,,Full-time,https://www.adzuna.com/details/4908733791?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Host Healthcare,"Travel MRI Tech - $2,433 to $2,586 per week in Lafayette, CO",Lafayette,Colorado,,,Full-time,https://www.monster.com/job-openings/travel-mri-tech-2-433-to-2-586-per-week-in-lafayette-co-lafayette-co--1d6e3ed9-7f28-43c8-9842-4e84bf4dcdef?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
Ochsner Health System,MRI Tech - In House Agency - Lafayette - Nights - Work at a Leading Healthcare Institution (Hiring Immediately),Lafayette,Colorado,,,Full-time,https://jooble.org/jdp/-8695923054381913109?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Healthcare Support,"Travel MRI Technologist - $2,687 per week",Lafayette,Colorado,,,Full-time and Part-time,https://www.snagajob.com/jobs/1004984006?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
