employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Intermountain Healthcare,MRI Technologist,Lafayette,Colorado,37.46,57.8,Full-time,https://www.indeed.com/viewjob?jk=954db1e0b093ff2f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Sisters of Charity of Leavenworth Health System,MRI Tech,Lafayette,Colorado,,,Full-time,https://www.adzuna.com/details/4908733791?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Ochsner Health System,MRI Tech - In House Agency - Lafayette - Nights - Work at a Leading Healthcare Institution (Hiring Immediately),Lafayette,Colorado,,,Full-time,https://jooble.org/jdp/-8695923054381913109?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Intermountain Healthcare,MRI Technologist,Lafayette,Colorado,37.46,57.8,Full-time,https://www.indeed.com/viewjob?jk=954db1e0b093ff2f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Sisters of Charity of Leavenworth Health System,MRI Tech,Lafayette,Colorado,,,Full-time,https://www.adzuna.com/details/4908733791?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Ochsner Health System,MRI Tech - In House Agency - Lafayette - Nights - Work at a Leading Healthcare Institution (Hiring Immediately),Lafayette,Colorado,,,Full-time,https://jooble.org/jdp/-8695923054381913109?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Intermountain Healthcare,MRI Technologist,Lafayette,Colorado,37.46,57.8,Full-time,https://www.indeed.com/viewjob?jk=954db1e0b093ff2f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Intermountain Healthcare,MRI Imaging Specialist,Lafayette,Colorado,,,Full-time,https://starjobsearch.co.uk/jobs/mri-imaging-specialist-lafayette-colorado/1563312873-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Bestica,Medical Imaging Technologist,Lafayette,Colorado,,,Full-time,https://us.bebee.com/job/0d7123be8d6021d3fee8c0ef31538b14?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
Progeny HR Solutions LLC,MRI TECH,Louisville,Colorado,,,Full-time,https://www.adzuna.com/details/5026156346?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-26T00:00:00.000Z
Intermountain Healthcare,Diagnostic Imaging Technologist,Lafayette,Colorado,,,Full-time,https://us.bebee.com/job/982f6068a194f74d21d2e40631450bf3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
CommonSpirit Health,MRI Tech,Broomfield,Colorado,36.5,61.47,Full-time,https://www.linkedin.com/jobs/view/mri-tech-at-commonspirit-health-4136093161?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
