employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
UCHealth,MRI Technologist,Longmont,Colorado,38.72,58.08,Full-time,"https://www.ziprecruiter.com/c/UC-Health/Job/MRI-Technologist/-in-Longmont,CO?jid=aeca63f7f885e66c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
ClubStaffing,MRI Technologist - (MRI Tech),Longmont,Colorado,,,Full-time,https://www.monster.com/job-openings/mri-technologist-mri-tech-longmont-co--a34f0e75-9b15-4340-b9d9-34c66e698ecd?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Staff - MRI Technologist - UCHealth,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/d5667d4d7cf2c6ffc67f2cce01e64a20?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
beBee Professionals,Travel MRI Technologist,Longmont,Colorado,,,Contractor,https://us.bebee.com/job/fd3c85aa06f573dd214dbbc0cd7b2ff4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
UCHealth,Medical Imaging Expert (MRI Technologist),Longmont,Colorado,,,Full-time,https://us.bebee.com/job/f9c5868b79a6a5470e29b4c2190972c6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
Healthcare Support Permanent Placement,3rd Shift Weekend MRI Technologist,Longmont,Colorado,,,Full-time,https://us.trabajo.org/job-2850-7cd5cef5dd526e55d444c9e6c922f50e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Monument Health,Radiological Technologist Clinic,Longmont,Colorado,23.25,29.06,Full-time,https://monument.health/gfj/radiological-technologist-clinic-longmont-co-66ebda26dad8f80343db1d5e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Banner Health,MRI Technologist Skyline Outpatient Imaging Clinic,Berthoud,Colorado,,,Full-time,https://www.adzuna.com/details/5040336457?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Aureus Medical Group - Imaging,"Travel MRI Technologist - $2,605 per week",Boulder,Colorado,23,27,,https://www.healthecareers.com/job/travel-mri-technologist-2605-per-week/7803244?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Mistras Group Inc. - Services,Diagnostic Imaging Support,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/b2f1b0ee10cbacc08c7a63430d8ceee6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
UCHealth,MRI Technologist,Longmont,Colorado,,,Full-time,https://jobs.aarp.org/job/mri-technologist-longmont-colorado-70410742?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Staff - MRI Technologist - UCHealth,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/d5667d4d7cf2c6ffc67f2cce01e64a20?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
beBee Professionals,Travel MRI Technologist,Longmont,Colorado,,,Contractor,https://us.bebee.com/job/fd3c85aa06f573dd214dbbc0cd7b2ff4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
Intermountain Healthcare,Medical Imaging Technologist,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/e0d16e9acbc6279bbb61798f1a458fa4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-11T09:00:00.000Z
