employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
UCHealth,MRI Technologist,Longmont,Colorado,38.72,58.08,Full-time,"https://www.ziprecruiter.com/c/UC-Health/Job/MRI-Technologist/-in-Longmont,CO?jid=aeca63f7f885e66c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
ClubStaffing,MRI Technologist - (MRI Tech),Longmont,Colorado,,,Full-time,https://www.monster.com/job-openings/mri-technologist-mri-tech-longmont-co--a34f0e75-9b15-4340-b9d9-34c66e698ecd?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Staff - MRI Technologist - UCHealth,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/d5667d4d7cf2c6ffc67f2cce01e64a20?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
UCHealth,Medical Imaging Expert (MRI Technologist),Longmont,Colorado,,,Full-time,https://us.bebee.com/job/f9c5868b79a6a5470e29b4c2190972c6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
Healthcare Support Permanent Placement,3rd Shift Weekend MRI Technologist,Longmont,Colorado,,,Full-time,https://us.trabajo.org/job-2850-7cd5cef5dd526e55d444c9e6c922f50e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Monument Health,Radiological Technologist Clinic,Longmont,Colorado,23.25,29.06,Full-time,https://monument.health/gfj/radiological-technologist-clinic-longmont-co-66ebda26dad8f80343db1d5e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Mistras Group Inc. - Services,Diagnostic Imaging Support,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/b2f1b0ee10cbacc08c7a63430d8ceee6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
UCHealth,MRI Technologist,Longmont,Colorado,,,Full-time,https://jobs.aarp.org/job/mri-technologist-longmont-colorado-70410742?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Staff - MRI Technologist - UCHealth,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/d5667d4d7cf2c6ffc67f2cce01e64a20?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Intermountain Healthcare,Medical Imaging Technologist,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/e0d16e9acbc6279bbb61798f1a458fa4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-11T08:00:00.000Z
Healthcare Support Permanent Placement,3rd Shift Weekend MRI Technologist,Longmont,Colorado,,,Full-time,https://us.trabajo.org/job-2850-7cd5cef5dd526e55d444c9e6c922f50e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Monument Health,Radiological Technologist Clinic,Longmont,Colorado,23.25,29.06,Full-time,https://monument.health/gfj/radiological-technologist-clinic-longmont-co-66ebda26dad8f80343db1d5e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
UCHealth,Medical Imaging Technologist,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/e2f4e091289c2ca8d5505ed3e2245a4e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
UCHealth,MRI Technologist,Longmont,Colorado,,,Full-time,https://jobs.aarp.org/job/mri-technologist-longmont-colorado-70410742?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Healthcare Support Permanent Placement,3rd Shift Weekend MRI Technologist,Longmont,Colorado,,,Full-time,https://us.trabajo.org/job-2850-7cd5cef5dd526e55d444c9e6c922f50e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Healthcare Support Permanent Placement,Medical Imaging Professional,Longmont,Colorado,,,Full-time,https://us.bebee.com/job/022ad48f5167a42ecbac5539eb008f47?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
UCHealth,Diagnostic Radiology Technician,Longmont,Colorado,,,Full-time,https://us.trabajo.org/job-3035-bc9f48163046be3a26de622c93d5f769?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
UCHealth,MRI Technologist Job Opening,Loveland,Colorado,,,Full-time,https://us.bebee.com/job/a4c89ae7a23a31436967da1d3a919960?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
