employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
AdventHealth,MRI Tech,Parker,Colorado,36.35,58.14,Full-time,https://jobs.adventhealth.com/parker-co/mri-tech/926CBC950B2C42DE8718F09558AC0EAD/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AdventHealth Parker,MRI Tech,Parker,Colorado,36.35,58.14,Full-time and Part-time,https://www.indeed.com/viewjob?jk=3738129b8a541b6b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,MRI Technologist,Parker,Colorado,,,Full-time,https://www.ihire.com/jobs/view/463743700?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
AdventHealth,MRI Tech,Parker,Colorado,,,Full-time,https://careers.apha.org/jobs/21035077/mri-tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Health Images,PRN MRI Technologist,Parker,Colorado,37.75,48.69,Part-time,https://www.indeed.com/viewjob?jk=71e5330f95c70e35&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,MRI Technologist,Parker,Colorado,,,Full-time,https://jobs.aarp.org/job/mri-technologist-parker-colorado-70408612?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Invision Sally Jobe,MRI Technologist - PRN,Parker,Colorado,37,52,Full-time and Part-time,"https://www.ziprecruiter.com/c/Invision-Sally-Jobe/Job/MRI-Technologist-PRN/-in-Parker,CO?jid=15b88af50df40129&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Invision Sally Jobe,Float MRI / CT Technologist,Parker,Colorado,37,52,Full-time,"https://www.ziprecruiter.com/c/Invision-Sally-Jobe/Job/Float-MRI-CT-Technologist/-in-Parker,CO?jid=46e5d87458f07d5d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Prime Time Healthcare,"Travel MRI Technologist - $1,986 per week",Parker,Colorado,,,Contractor,https://hiringhealthjobs.com/listings/c0obstubgsl7-920-a75baea47-584861a333fc-5330c863?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
Ethos Veterinary Health,Veterinary MRI Technologist,Parker,Colorado,45,55,Part-time,"https://www.ziprecruiter.com/c/Ethos-Veterinary-Health/Job/Veterinary-MRI-Technologist/-in-Parker,CO?jid=e6e4cc2807d693f1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-20T00:00:00.000Z
