employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=55f203db5e6578e4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=23994c6e45a7dec2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,Magnetic Resonance Technologist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/df870c74473aa21a2dd072a886b9e0fe?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T09:00:00.000Z
Odyssey Staffing,Physician MRI Technologist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/a9e5d03300401188af3aef1761a1232f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
SimonMed Imaging,Magnetic Resonance Imaging Technologist. Job in Scottsdale LilyLifestyle Jobs,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/magnetic-resonance-imaging-technologist-scottsdale-arizona/1562984451-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
SOUTHWEST MEDICAL IMAGING,MR & CT TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=f8dc02bd0958de14&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Rhino Medical Services,Medical Radiographer-Radiology MRI,Scottsdale,Arizona,,,Full-time and Contractor,https://www.learn4good.com/jobs/scottsdale/arizona/healthcare/3947795798/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
Abrazo Scottsdale Campus,MRI Tech PRN Rotating,Phoenix,Arizona,,,,https://jobs.tenethealth.com/job/phoenix/mri-tech-prn-rotating/1127/76573897424?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Laser Spine Institute (LSI),MRI Radiographer,Scottsdale,Arizona,,,Full-time,https://jobs.appcast.io/laser-spine-institute-lsi/mri-radiographer/2181627956?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
IYA Medical PLC,MRI TECHNICIAN - PRESCOTT ARIZONA,Scottsdale,Arizona,30,50,Full-time,https://www.indeed.com/viewjob?jk=67fcf7af8722ca8b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=55f203db5e6578e4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=23994c6e45a7dec2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Odyssey Staffing,Physician MRI Technologist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/a9e5d03300401188af3aef1761a1232f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
SOUTHWEST MEDICAL IMAGING,MR & CT TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=f8dc02bd0958de14&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Abrazo Scottsdale Campus,MRI Tech PRN Rotating,Phoenix,Arizona,,,,https://jobs.tenethealth.com/job/phoenix/mri-tech-prn-rotating/1127/76573897424?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Rhino Medical Services,Medical Radiographer-Radiology MRI,Scottsdale,Arizona,,,Full-time and Contractor,https://www.learn4good.com/jobs/scottsdale/arizona/healthcare/3947795798/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
HonorHealth,Radiologic Tech,Scottsdale,Arizona,,,Part-time,https://jobs.honorhealth.com/jobs/75153?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-13T00:00:00.000Z
IYA Medical PLC,MRI TECHNICIAN - PRESCOTT ARIZONA,Scottsdale,Arizona,30,50,Full-time,https://www.indeed.com/viewjob?jk=67fcf7af8722ca8b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
beBee Professionals,Travel MRI Technologist,Scottsdale,Arizona,,,Contractor,https://us.bebee.com/job/4b37c09df8992b489fc831620ee279d8?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
SimonMed Imaging,MRI Training Manager,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=133fb833f545b116&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=55f203db5e6578e4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=23994c6e45a7dec2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,Magnetic Resonance Technologist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/f428126d3117d3f747a489a29df0a36f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
SimonMed Imaging,MRI Training Manager,Scottsdale,Arizona,,,Full-time,"https://www.glassdoor.com/job-listing/mri-training-manager-simonmed-imaging-JV_IC1133911_KO0,20_KE21,37.htm?jl=1009582700563&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-30T00:00:00.000Z
SimonMed Imaging,Magnetic Resonance Imaging Technologist. Job in Scottsdale LilyLifestyle Jobs,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/magnetic-resonance-imaging-technologist-scottsdale-arizona/1562984451-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Odyssey Staffing,Physician MRI Technologist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/a9e5d03300401188af3aef1761a1232f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
SOUTHWEST MEDICAL IMAGING,MR & CT TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=f8dc02bd0958de14&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
