employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Children's Minnesota,Casual MRI Tech,St Paul,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/24027223/Casual-MRI-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T23:00:00.000Z
RAYUS Radiology,MRI Technologist,St Paul,Minnesota,28.71,45.5,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MRI-Technologist/-in-Saint-Paul,MN?jid=f44dfdcbd72a589d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Shared Medical Services,MRI Technologist / Radiologic Technologist,St Paul,Minnesota,,,Full-time,https://www.recruit.net/job/mri-technologist-radiologic-technologist-jobs/2E47074762F9669C?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
RAYUS Radiology,MR Technologist,St Paul,Minnesota,28.71,45.5,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MR-Technologist/-in-Saint-Paul,MN?jid=a7f5f974ad2bef53&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Regions Hospital,Per Diem MRI Technologist,St Paul,Minnesota,38.7,54.37,,https://www.indeed.com/viewjob?jk=d2a6f308d9c4696d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Fairview Health Services,Magnetic Resonance Imaging (MRI) Technologist,St Paul,Minnesota,37.75,53.29,Full-time,"https://www.ziprecruiter.com/c/Fairview-Health-Services/Job/Magnetic-Resonance-Imaging-(MRI)-Technologist/-in-Saint-Paul,MN?jid=9eaa6d2b49cf5649&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
RAYUS Radiology,MRI Technologist Float,St Paul,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MRI-Technologist-Float/-in-Saint-Paul,MN?jid=f0f62298cd8dcf5d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
RAYUS Radiology,MRI Technologist Float - Now Hiring,St Paul,Minnesota,28.71,44.86,Full-time,https://www.snagajob.com/jobs/1043313487?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Aureus Medical Group - Imaging,Magnetic Resonance Technologist Needed,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/b9329a69829b21743ea94dc025efcd94?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,Diagnostic Imaging Technologist - MRI,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/03f72df12c8c70ae75bc779309628738?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
