employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
HCA Healthcare,CT Technologist,Aurora,Colorado,,,Full-time,https://careers.hcahealthcare.com/jobs/13514492-ct-technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
UCHealth,CT XRay Technologist,Aurora,Colorado,36,54,Full-time,https://www.linkedin.com/jobs/view/ct-xray-technologist-at-uchealth-4143441930?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
HCA Healthcare,CT Technologist Weekends,Aurora,Colorado,33.1,50.75,Full-time,https://www.indeed.com/viewjob?jk=079b0f9a31ba1d0e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
HCA Healthcare,CT Technologist,Aurora,Colorado,,,Full-time,https://careers.hcahealthcare.com/jobs/14478054-ct-technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Children's Hospital Colorado,CT X-Ray Technologist,Aurora,Colorado,,,Full-time,https://www.simplyhired.com/job/OPTwMh-Q-UVP-v7CVgbvN5Ly1vBuJ2IEjh9_Egf8MX-VpnQFJ4qDlA?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Health Images,CT/XRAY Technologist,Aurora,Colorado,35.35,45.58,Full-time,https://www.indeed.com/viewjob?jk=01e5fd847b003041&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-08T00:00:00.000Z
Intermountain Healthcare,CT Technologist- Float,Aurora,Colorado,34,53,Full-time,https://www.jobserve.com/us/en/extjob/CT-TECHNOLOGIST-FLOAT-in-Aurora-Colorado-USA-B6E69F213FF19A78C2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
AMN Healthcare Allied,"Travel CT Technologist - $1,662-1,821 per week",Aurora,Colorado,,,,https://www.healthecareers.com/job/travel-ct-technologist-1662-1821-per-week/7516857?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
Aureus Medical Group - Imaging,Radiologic Imaging Specialist - CT Technologist,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/c54a8996deee7b68f65077f052a7e4b3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Invision Sally Jobe,Float MRI / CT Technologist,Aurora,Colorado,37,52,Full-time,"https://www.ziprecruiter.com/c/Invision-Sally-Jobe/Job/Float-MRI-CT-Technologist/-in-Aurora,CO?jid=0682e0608653304c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
HCA Healthcare,CT Technologist,Aurora,Colorado,,,Full-time,https://careers.hcahealthcare.com/jobs/13514492-ct-technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
UCHealth,CT XRay Technologist,Aurora,Colorado,36,54,Full-time,https://www.linkedin.com/jobs/view/ct-xray-technologist-at-uchealth-4143441930?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
HCA Healthcare,CT Technologist Weekends,Aurora,Colorado,33.1,50.75,Full-time,https://www.indeed.com/viewjob?jk=079b0f9a31ba1d0e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
HCA Healthcare,CT Technologist,Aurora,Colorado,,,Full-time,https://careers.hcahealthcare.com/jobs/14478054-ct-technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Children's Hospital Colorado,CT X-Ray Technologist,Aurora,Colorado,,,Full-time,https://www.simplyhired.com/job/OPTwMh-Q-UVP-v7CVgbvN5Ly1vBuJ2IEjh9_Egf8MX-VpnQFJ4qDlA?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
