employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
UCHealth (Colorado),Staff - CT Technologist - UCHealth,Denver,Colorado,,,Full-time,https://www.monster.com/job-openings/staff-ct-technologist-uchealth-denver-co--9dc8b481-467a-43f0-8b63-3ade80920ca2?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
AdventHealth,CT Technician - Free Standing ER - Full Time,Denver,Colorado,35.29,56.46,Full-time,https://jobs.adventhealth.com/denver-co/ct-technician-free-standing-er-full-time/9BD6104D553742DCA8EA6DBB238CB676/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Kaiser Permanente,Radiologic Technologist / CT & General Radiology,Denver,Colorado,,,Full-time,https://www.kaiserpermanentejobs.org/job/denver/radiologic-technologist-ct-and-general-radiology/641/71675123792?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
HCA Healthcare,CT Technologist,Denver,Colorado,,,Full-time,https://careers.hcahealthcare.com/jobs/14618530-ct-technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
AlliedTravelCareers,"Travel CT Tech - $2,184 to $2,363 per week in Highlands Ranch, CO",Denver,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/travel-ct-tech-%242-184-to-%242-363-per-week-in-highlands-ranch-co-at-alliedtravelcareers-4144224343?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T01:00:00.000Z
Kaiser Permanente,CT Technologist - $44-58 per hour,Denver,Colorado,43.84,57.97,Part-time,https://www.vivian.com/job/9741-1317708/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-24T00:00:00.000Z
Intermountain Healthcare,CT Technologist,Denver,Colorado,34.06,52.55,Full-time,"https://www.ziprecruiter.com/c/Intermountain-Healthcare/Job/CT-Technologist/-in-Denver,CO?jid=261f67e8da58d8e0&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
Jobot,"CT Technologist - M-F, 4 10s, DAY SHIFT - NO NIGHTS, NO WEEKENDS!",Denver,Colorado,,,Full-time,https://jobot.com/details/ct-technologist-m-f-4-10s-day-shift-no-nights-no-weekends/a1b53cd901?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Denver Health,CT Technologist II,Denver,Colorado,,,Full-time,https://jobboard.globalhealth.org/jobs/21004244/ct-technologist-ii?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
UCHealth,CT Technologist - Radiology,Denver,Colorado,,,Full-time,https://www.monster.com/job-openings/ct-technologist-radiology-denver-co--659b3de2-b0b6-4410-acfc-6584f297d689?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
