employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
RAYUS Radiology,Computed Tomography (CTI) Technologists,Eden Prairie,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/computed-tomography-cti-technologists-at-rayus-radiology-4141341422?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
RAYUS Radiology,CT technologist,Eden Prairie,Minnesota,28.71,44.86,Full-time,https://www.indeed.com/viewjob?jk=3b0231af1e4d46ca&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
RAYUS Radiology,CT Scanner Operator Expert,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/6aaca9fad449288b01424fd9b2727d92?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
ADEX Healthcare Staffing LLC,CT Imaging Specialist,Eden Prairie,Minnesota,,,Full-time,https://us.trabajo.org/job-3035-aa07b90431840261c3edc00da935a398?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,Computed Tomography Imaging Specialist,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/26e73d7778f35486ddef8419b1d5e28e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
RAYUS Radiology,Computed Tomography Technician,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/b1e9d3d7c6ce261012c3f956a8a77d57?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
RAYUS Radiology,Computed Tomography,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/b8c2a1725f01e7282aaa723fc3f3d8ed?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,CT Technologist,Chanhassen,Minnesota,,,,https://jobiak.rayusradiology.com/jobdetails/ct-technologist-chanhassen-mn-673b05a0ec41feb14a901774?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
RAYUS Radiology,Computed Tomography,Eden Prairie,Minnesota,,,Full-time,https://us.bebee.com/job/800ed8ca3d96ae18c998dfd896a32532?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
beBee Professionals,Travel CT Technologist,Eden Prairie,Minnesota,,,Contractor,https://us.bebee.com/job/8d466a87f899806ec31a23a3f8b32972?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
RAYUS Radiology,CT technologist,Eden Prairie,Minnesota,28.71,44.86,Full-time,https://www.indeed.com/viewjob?jk=3b0231af1e4d46ca&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
