employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Prime Time Healthcare,"Travel CT Technologist - $2,371 per week",Lakewood,Colorado,,,Full-time and Contractor,https://www.vivian.com/job/jp-41708238/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T21:00:00.000Z
Vivian Health,"Travel CT Technologist - $2,470 per week - 670215",Lakewood,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/travel-ct-technologist-%242-470-per-week-670215-at-vivian-health-4145188527?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
Vivian Health,"Travel CT Technologist - $2,341 per week - 720445",Lakewood,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/travel-ct-technologist-%242-341-per-week-720445-at-vivian-health-4145188532?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
Vivian Health,"Travel CT Technologist - $2,433 per week - a1fVJ000004zlqvYAA",Lakewood,Colorado,,,Part-time,https://www.linkedin.com/jobs/view/travel-ct-technologist-%242-433-per-week-a1fvj000004zlqvyaa-at-vivian-health-4145185759?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
UCHealth,CT Technologist - Now Hiring,Lakewood,Colorado,36.19,54.28,Full-time,https://www.snagajob.com/jobs/1058028601?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
Russell Tobin,CT Tech - Inpatient,Lakewood,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/ct-tech-inpatient-at-russell-tobin-4145135559?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T23:00:00.000Z
LRS Healthcare - Allied,"Travel CT Technologist - $2,433 per week",Lakewood,Colorado,,,Full-time,https://www.recruit.net/job/travel-ct-technologist-jobs/8A5C2C7584413AAC?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
UCHealth,CT/XR Technologist,Lakewood,Colorado,,,Full-time,https://jobs.aarp.org/job/ct-xr-technologist-lakewood-colorado-70414739?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
Host Healthcare,CT Technologist,Lakewood,Colorado,2184,2363,Full-time,https://www.alliedtravelcareers.com/job/9063889EXPPLAT/travel-ct-tech-lakewood-co-2184-to-2363-per-week-9063889?utm_source=jobrapido&utm_medium=feed&utm_campaign=jobrapido-da&utm_content=EXPPLAT&is_direct_app=1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Aequor Healthcare,Radiology Tech - CT,Lakewood,Colorado,,,Contractor,https://work.aequor.com/job/radiology-tech-ct-in-lakewood-co-6308407?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
