employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
UCHealth,CT Technologist - Now Hiring,Lakewood,Colorado,36.19,54.28,Full-time,https://www.snagajob.com/jobs/1058028601?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
UCHealth,CT/XR Technologist,Lakewood,Colorado,,,Full-time,https://jobs.aarp.org/job/ct-xr-technologist-lakewood-colorado-70414739?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
"Zenex Partners, Inc",CT Tech Lead- Direct Hire,Lakewood,Colorado,50,63,Full-time,https://www.indeed.com/viewjob?jk=15b03cc57e3e0617&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T13:00:00.000Z
UCHealth,CT Technologist - Now Hiring,Lakewood,Colorado,36.19,54.28,Full-time,https://www.snagajob.com/jobs/1058028601?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
i4 Search Group,CT Technologist – CT Tech – Full Time/Variable Shift/Great Benefits/Relocation Assistance,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/1036528-ct-technologist-ct-tech-full-time-variable-shift-great-benefits-relocation-assistance-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
UCHealth,CT/XR Technologist,Lakewood,Colorado,,,Full-time,https://jobs.aarp.org/job/ct-xr-technologist-lakewood-colorado-70414739?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
"Zenex Partners, Inc",CT Tech Lead- Direct Hire,Lakewood,Colorado,50,63,Full-time,https://www.indeed.com/viewjob?jk=15b03cc57e3e0617&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T13:00:00.000Z
UCHealth,CT Technologist - Now Hiring,Lakewood,Colorado,36.19,54.28,Full-time,https://www.snagajob.com/jobs/1058028601?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
i4 Search Group,CT Technologist – CT Tech – Full Time/Variable Shift/Great Benefits/Relocation Assistance,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/1036528-ct-technologist-ct-tech-full-time-variable-shift-great-benefits-relocation-assistance-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
UCHealth,CT/XR Technologist,Lakewood,Colorado,,,Full-time,https://jobs.aarp.org/job/ct-xr-technologist-lakewood-colorado-70414739?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
