employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Aureus Medical Group - Imaging,"Travel CT Technologist - $2,343 per week",Phoenix,Arizona,,,Full-time and Contractor,https://www.vivian.com/job/867-25-2966365/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T18:00:00.000Z
Mayo Clinic,CT Technologist - Nights - $5k Sign On Bonus,Phoenix,Arizona,,,Full-time,https://jobs.mayoclinic.org/job/phoenix/ct-technologist-nights-5k-sign-on-bonus/33647/76005942816?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-14T00:00:00.000Z
HonorHealth,CAT Scan Technologist - Traveler - Days,Phoenix,Arizona,,,,https://jobs.honorhealth.com/jobs/56307?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health,CT Technologist,Phoenix,Arizona,,,Full-time,https://www.commonspirit.careers/job/phoenix/ct-technologist/35300/75654261888?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Abrazo Central Hospital,CT Technologist FT Nights,Phoenix,Arizona,,,Full-time,https://jobs.tenethealth.com/job/phoenix/ct-technologist-ft-nights/1127/75804902016?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Theravita Solutions,CT Technologist-5,Phoenix,Arizona,,,Contractor,https://www.indeed.com/viewjob?jk=6ade1f9874ddfb10&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
i4 Search Group,CT Technologist – Full Time – Leading Outpatient Organization!,Phoenix,Arizona,,,Full-time,https://i4searchgroup.com/job/1910090-ct-technologist-full-time-leading-outpatient-organization-phoenix-az/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Valleywise Health,CT Tech,Phoenix,Arizona,35.52,52.39,Full-time,https://jobs.valleywisehealth.org/ct-tech/job/28603236?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-09T00:00:00.000Z
Phoenix Children's Hospital,CAT Scan Technologist,Phoenix,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=94615e0791c35917&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
St. Joseph's Hospital and Medical Center,Imaging & Radiology - CT Technologist,Phoenix,Arizona,,,Full-time,https://www.adzuna.com/details/5033095721?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
