employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Banner Health,CT Technologists East Valley Outpatient  Imaging Clinics,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/ct-technologists-east-valley-outpatient-imaging-clinics-at-banner-health-4142565301?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Arizona Center for Cancer Care,PET/CT Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=5a46d84531ead053&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
SimonMed Imaging,CT Technologist. Job in Scottsdale LilyLifestyle Jobs,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/ct-technologist-scottsdale-arizona/1568028919-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
SimonMed Imaging,Computed Tomography Technologist,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/computed-tomography-technologist-scottsdale-arizona/1563331414-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Tenet-AZ Region,CT Technologist - $29-38 per hour,Scottsdale,Arizona,,,Full-time,https://jobs.womenforhire.com/job/scottsdale-az/ct-technologist-29-38-per-hour-975418/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Arizona Center for Cancer Care,PET/CT Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=5a46d84531ead053&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
HonorHealth,Cath Lab Rad Tech,Scottsdale,Arizona,,,Full-time,https://jobs.honorhealth.com/jobs/75846?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,Radiologic Technologist (CT Scan) - Experienced Professional,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/b52e0c1324ffbfd870e8a34eb169967f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Arizona Center for Cancer Care,PET/CT Technologist,Tempe,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/pet-ct-technologist-at-arizona-center-for-cancer-care-4137450667?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
SurgCenter Pima Crossing,Rad Tech,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=a6fa28b2b5deb2af&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
SimonMed Imaging,Computed Tomography Technologist,Scottsdale,Arizona,,,Full-time,https://salutemyjob.com/jobs/computed-tomography-technologist-scottsdale-arizona/1568042274-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T01:00:00.000Z
Tenet-AZ Region,CT Technologist - $29-38 per hour,Scottsdale,Arizona,,,Full-time,https://jobs.womenforhire.com/job/scottsdale-az/ct-technologist-29-38-per-hour-975418/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Arizona Center for Cancer Care,PET/CT Technologist,Tempe,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/pet-ct-technologist-at-arizona-center-for-cancer-care-4137450667?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
SimonMed Imaging,Radiologic Technologist - CT Scanner Specialist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/0a6f8b8a41c27408840f60605c290dae?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
