employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Children's Minnesota,Casual MRI Tech,Minneapolis,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/240270YK/Casual-MRI-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,MRI Technologist,Minneapolis,Minnesota,28.71,45.5,Full-time,https://www.indeed.com/viewjob?jk=7391f9700464ce8f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Siemens Healthineers,Travel MRI Technologist,Minneapolis,Minnesota,,,Full-time,https://www.indeed.com/viewjob?jk=07da794cba527483&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-31T00:00:00.000Z
Fairview Health Services,Magnetic Resonance Imaging (MRI) Technologist,Minneapolis,Minnesota,39.42,53.38,Full-time,"https://www.ziprecruiter.com/c/Fairview-Health-Services/Job/Magnetic-Resonance-Imaging-(MRI)-Technologist/-in-Minneapolis,MN?jid=fd20dfd55f3283d2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-21T00:00:00.000Z
AlliedTravelCareers,"Travel MRI Tech - $3,422 per week in Saint Louis Park, MN",Minneapolis,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/travel-mri-tech-%243-422-per-week-in-saint-louis-park-mn-at-alliedtravelcareers-4144203035?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
AlliedTravelCareers,"Travel MRI Tech - $2,998 per week in Edina, MN",Minneapolis,Minnesota,,,Full-time,https://www.jobserve.com/us/en/extjob/TRAVEL-MRI-TECH-2998-PER-WEEK-IN-EDINA-MN-in-Minneapolis-Minnesota-USA-260962E92B2A9F6512/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Immediate Healthcare Solutions,Staff MRI Technologist,Minneapolis,Minnesota,2424,2549,Full-time,https://www.indeed.com/viewjob?jk=8ebd0831b64842f7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Kurz Solutions,MRI Tech,Minneapolis,Minnesota,,,Full-time,"https://www.ziprecruiter.com/c/KURZ-Solutions/Job/MRI-Tech/-in-Minneapolis,MN?jid=a21c75ac3a45feb5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-17T00:00:00.000Z
University of MN Physicians,MRI Technologist - Casual,Minneapolis,Minnesota,,,Part-time,https://umphysicians.wd1.myworkdayjobs.com/en-US/umpcareers/job/MRI-Technologist---Casual_R0022864-1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Park Nicollet Health Services,"MRI Technologist, Clinic",Maple Grove,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/mri-technologist-clinic-at-park-nicollet-health-services-4143672408?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Children's Minnesota,Casual MRI Tech,Minneapolis,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/240270YK/Casual-MRI-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,MRI Technologist,Minneapolis,Minnesota,28.71,45.5,Full-time,https://www.indeed.com/viewjob?jk=7391f9700464ce8f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AlliedTravelCareers,"Travel MRI Tech - $3,422 per week in Saint Louis Park, MN",Minneapolis,Minnesota,,,Full-time,https://www.linkedin.com/jobs/view/travel-mri-tech-%243-422-per-week-in-saint-louis-park-mn-at-alliedtravelcareers-4144203035?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Siemens Healthineers,Travel MRI Technologist,Minneapolis,Minnesota,,,Full-time,https://www.indeed.com/viewjob?jk=07da794cba527483&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-31T00:00:00.000Z
AlliedTravelCareers,"Travel MRI Tech - $2,998 per week in Edina, MN",Minneapolis,Minnesota,,,Full-time,https://www.jobserve.com/us/en/extjob/TRAVEL-MRI-TECH-2998-PER-WEEK-IN-EDINA-MN-in-Minneapolis-Minnesota-USA-260962E92B2A9F6512/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Hennepin Healthcare,MRI Technologist II,Minneapolis,Minnesota,,,Part-time,https://hcmc.taleo.net/careersection/1m/jobdetail.ftl?lang=en&job=242419&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Immediate Healthcare Solutions,Staff MRI Technologist,Minneapolis,Minnesota,2424,2549,Full-time,https://www.indeed.com/viewjob?jk=8ebd0831b64842f7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
