employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Mayo Clinic,MRI Technologist - Day Shift,Phoenix,Arizona,,,Full-time,https://jobs.mayoclinic.org/job/phoenix/mri-technologist-day-shift/33647/76394427744?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-23T00:00:00.000Z
HonorHealth,MRI Tech,Phoenix,Arizona,,,Full-time and Part-time,https://jobs.honorhealth.com/jobs/78958?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
Simonmed Imgaging,MRI Technologist Opportunity,Phoenix,Arizona,,,Full-time,https://jobs.aspiremediagroup.net/jobs/mri-technologist-opportunity-phoenix-arizona/1560226975-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Mayo Clinic,MRI Technologist - Day Shift,Phoenix,Arizona,,,Full-time,https://jobs.mayoclinic.org/job/phoenix/mri-technologist-day-shift/33647/76394427744?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-23T00:00:00.000Z
HonorHealth,MRI Tech,Phoenix,Arizona,,,Full-time and Part-time,https://jobs.honorhealth.com/jobs/78958?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
Kurz Solutions,Magnetic Resonance Imaging Technologist,Phoenix,Arizona,,,Full-time,"https://www.ziprecruiter.com/c/Kurz-Solutions/Job/Magnetic-Resonance-Imaging-Technologist/-in-Phoenix,AZ?jid=bdc4b753f744ffe9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Mayo Clinic,MRI Technologist - Day Shift,Phoenix,Arizona,,,Full-time,https://jobs.mayoclinic.org/job/phoenix/mri-technologist-day-shift/33647/76394427744?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-23T00:00:00.000Z
HonorHealth,MRI Tech,Phoenix,Arizona,,,Full-time and Part-time,https://jobs.honorhealth.com/jobs/78958?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-28T00:00:00.000Z
CommonSpirit Health,MRI Technologist,Phoenix,Arizona,,,Full-time,https://www.commonspirit.careers/job/phoenix/mri-technologist/35300/73610786496?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Kurz Solutions,Magnetic Resonance Imaging Technologist,Phoenix,Arizona,,,Full-time,"https://www.ziprecruiter.com/c/Kurz-Solutions/Job/Magnetic-Resonance-Imaging-Technologist/-in-Phoenix,AZ?jid=bdc4b753f744ffe9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Simonmed Imgaging,MRI Technologist - Now Hiring,Phoenix,Arizona,15.13,20.24,Full-time,https://www.snagajob.com/jobs/1037164233?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Simonmed Imgaging,MRI Scanner Operator,Phoenix,Arizona,,,Full-time,https://us.bebee.com/job/6db2732461b008b785f8a95ec054d446?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T10:00:00.000Z
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/mri-technologist-at-simonmed-imaging-4131383751?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
