employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Children's Minnesota,Casual MRI Tech,St Paul,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/24027223/Casual-MRI-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T23:00:00.000Z
Fairview Health Services,Lead MRI Technologist,St Paul,Minnesota,,,Full-time,https://jobs.jobg8.com/jobs/lead-mri-technologist-in-saint-paul-minnesota-united-states/5673-289119755472?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,MRI Technologist,St Paul,Minnesota,28.71,45.5,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MRI-Technologist/-in-Saint-Paul,MN?jid=f44dfdcbd72a589d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
RAYUS Radiology,MR Technologist,St Paul,Minnesota,28.71,45.5,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MR-Technologist/-in-Saint-Paul,MN?jid=a7f5f974ad2bef53&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Wanderly,"Travel Allied MRI Tech - $2,468/wk in Saint Paul, MN",St Paul,Minnesota,,,Full-time and Contractor,https://www.wanderly.us/nurse/jobs/travel-allied-mri-tech-job-in-saint-paul-mn/7083328?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Regions Hospital,Per Diem MRI Technologist,St Paul,Minnesota,38.7,54.37,,https://www.indeed.com/viewjob?jk=d2a6f308d9c4696d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Aureus Medical Group - Imaging,MRI Technologist Opportunity,St Paul,Minnesota,,,,https://us.bebee.com/job/f9af198275106861f7ff725e43b5ffa9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,MRI Technologist Float,St Paul,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MRI-Technologist-Float/-in-Saint-Paul,MN?jid=f0f62298cd8dcf5d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Triage Staffing,"Travel MRI Tech - $2,468 per week in Saint Paul, MN",St Paul,Minnesota,,,Full-time,https://www.monster.com/job-openings/travel-mri-tech-2-468-per-week-in-saint-paul-mn-saint-paul-mn--74d790ba-37a8-4a04-baf0-2b3f81629a36?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Aureus Medical Group - Imaging,Magnetic Resonance Technologist Needed,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/b9329a69829b21743ea94dc025efcd94?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Children's Minnesota,Casual MRI Tech,St Paul,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/24027223/Casual-MRI-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T23:00:00.000Z
Fairview Health Services,Lead MRI Technologist,St Paul,Minnesota,,,Full-time,https://jobs.jobg8.com/jobs/lead-mri-technologist-in-saint-paul-minnesota-united-states/5673-289119755472?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,MRI Technologist,St Paul,Minnesota,28.71,45.5,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MRI-Technologist/-in-Saint-Paul,MN?jid=f44dfdcbd72a589d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Wanderly,"Travel Allied MRI Tech - $2,468/wk in Saint Paul, MN",St Paul,Minnesota,,,Full-time and Contractor,https://www.wanderly.us/nurse/jobs/travel-allied-mri-tech-job-in-saint-paul-mn/7083328?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
RAYUS Radiology,MR Technologist,St Paul,Minnesota,28.71,45.5,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MR-Technologist/-in-Saint-Paul,MN?jid=a7f5f974ad2bef53&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Aureus Medical Group - Imaging,MRI Technologist Opportunity,St Paul,Minnesota,,,,https://us.bebee.com/job/f9af198275106861f7ff725e43b5ffa9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
Regions Hospital,Per Diem MRI Technologist,St Paul,Minnesota,38.7,54.37,,https://www.indeed.com/viewjob?jk=d2a6f308d9c4696d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Aureus Medical Group - Imaging,Magnetic Resonance Technologist Needed,St Paul,Minnesota,,,Full-time,https://us.bebee.com/job/b9329a69829b21743ea94dc025efcd94?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
RAYUS Radiology,MRI Technologist Float,St Paul,Minnesota,28.71,44.86,Full-time,"https://www.ziprecruiter.com/c/RAYUS-Radiology/Job/MRI-Technologist-Float/-in-Saint-Paul,MN?jid=f0f62298cd8dcf5d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
RAYUS Radiology,MRI Technologist Float - Now Hiring,St Paul,Minnesota,28.71,44.86,Full-time,https://www.snagajob.com/jobs/1043313487?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Children's Minnesota,Casual MRI Tech,St Paul,Minnesota,,,Full-time,https://careers.childrensmn.org/us/en/job/24027223/Casual-MRI-Tech?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T23:00:00.000Z
Fairview Health Services,Magnetic Resonance Imaging (MRI) Technologist,St Paul,Minnesota,37.75,53.29,Full-time,"https://www.ziprecruiter.com/c/Fairview-Health-Services/Job/Magnetic-Resonance-Imaging-(MRI)-Technologist/-in-Saint-Paul,MN?jid=9eaa6d2b49cf5649&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-27T00:00:00.000Z
