bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
4.0,4.0,Apple Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2f2ab0d3c0af62268015e96e9c7cc04a-p_e.jpg,False,True,False,False,False,False,False,44.750885,{'is_FSBA': True},2988.0,-93.23661,acres,0.31,,,,499900.0,,499900.0,,,,3146,False,MN,8435 137th St W,394800.0,1356362000,,498500,55124,1595406
3.0,3.0,Apple Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/7e938201108d8cff39367a0a3246b1b1-p_e.jpg,False,True,False,False,False,False,False,44.750008,"{'is_newHome': True, 'is_openHouse': True}",2382.0,-93.24075,sqft,0.05,NEW_CONSTRUCTION_TYPE_OTHER,Sat. 12:30-4pm,"{'open_house_showing': [{'open_house_end': 1739664000000, 'open_house_start': 1739651400000}, {'open_house_end': 1739750400000, 'open_house_start': 1739737800000}, {'open_house_end': 1740268800000, 'open_house_start': 1740256200000}, {'open_house_end': 1740355200000, 'open_house_start': 1740342600000}, {'open_house_end': 1740873600000, 'open_house_start': 1740861000000}, {'open_house_end': 1740960000000, 'open_house_start': 1740947400000}, {'open_house_end': 1741478400000, 'open_house_start': 1741465800000}, {'open_house_end': 1741561200000, 'open_house_start': 1741548600000}, {'open_house_end': 1742079600000, 'open_house_start': 1742067000000}, {'open_house_end': 1742166000000, 'open_house_start': 1742153400000}, {'open_house_end': 1742684400000, 'open_house_start': 1742671800000}, {'open_house_end': 1742770800000, 'open_house_start': 1742758200000}, {'open_house_end': 1743289200000, 'open_house_start': 1743276600000}, {'open_house_end': 1743375600000, 'open_house_start': 1743363000000}, {'open_house_end': 1743894000000, 'open_house_start': 1743881400000}, {'open_house_end': 1743980400000, 'open_house_start': 1743967800000}, {'open_house_end': 1744498800000, 'open_house_start': 1744486200000}, {'open_house_end': 1744585200000, 'open_house_start': 1744572600000}, {'open_house_end': 1745103600000, 'open_house_start': 1745091000000}, {'open_house_end': 1745190000000, 'open_house_start': 1745177400000}, {'open_house_end': 1745708400000, 'open_house_start': 1745695800000}, {'open_house_end': 1745794800000, 'open_house_start': 1745782200000}, {'open_house_end': 1746313200000, 'open_house_start': 1746300600000}, {'open_house_end': 1746399600000, 'open_house_start': 1746387000000}, {'open_house_end': 1746918000000, 'open_house_start': 1746905400000}, {'open_house_end': 1747004400000, 'open_house_start': 1746991800000}, {'open_house_end': 1747522800000, 'open_house_start': 1747510200000}, {'open_house_end': 1747609200000, 'open_house_start': 1747596600000}, {'open_house_end': 1748127600000, 'open_house_start': 1748115000000}, {'open_house_end': 1748214000000, 'open_house_start': 1748201400000}, {'open_house_end': 1748732400000, 'open_house_start': 1748719800000}, {'open_house_end': 1748818800000, 'open_house_start': 1748806200000}, {'open_house_end': 1749337200000, 'open_house_start': 1749324600000}, {'open_house_end': 1749423600000, 'open_house_start': 1749411000000}, {'open_house_end': 1749942000000, 'open_house_start': 1749929400000}, {'open_house_end': 1750028400000, 'open_house_start': 1750015800000}, {'open_house_end': 1750546800000, 'open_house_start': 1750534200000}, {'open_house_end': 1750633200000, 'open_house_start': 1750620600000}, {'open_house_end': 1751151600000, 'open_house_start': 1751139000000}, {'open_house_end': 1751238000000, 'open_house_start': 1751225400000}, {'open_house_end': 1751756400000, 'open_house_start': 1751743800000}, {'open_house_end': 1751842800000, 'open_house_start': 1751830200000}, {'open_house_end': 1752361200000, 'open_house_start': 1752348600000}, {'open_house_end': 1752447600000, 'open_house_start': 1752435000000}, {'open_house_end': 1752966000000, 'open_house_start': 1752953400000}, {'open_house_end': 1753052400000, 'open_house_start': 1753039800000}, {'open_house_end': 1753570800000, 'open_house_start': 1753558200000}, {'open_house_end': 1753657200000, 'open_house_start': 1753644600000}, {'open_house_end': 1754175600000, 'open_house_start': 1754163000000}, {'open_house_end': 1754262000000, 'open_house_start': 1754249400000}, {'open_house_end': 1754780400000, 'open_house_start': 1754767800000}, {'open_house_end': 1754866800000, 'open_house_start': 1754854200000}]}",467990.0,,467990.0,,,,,False,MN,13731 Hollybrook Cir,,315608000,,,55124,447167709
3.0,3.0,Apple Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/76efe46b75e96ef23d0ea1d8c6fafa11-p_e.jpg,False,True,False,False,False,False,False,44.750008,"{'is_newHome': True, 'is_openHouse': True}",2382.0,-93.24075,sqft,0.05,NEW_CONSTRUCTION_TYPE_OTHER,Sat. 12:30-4pm,"{'open_house_showing': [{'open_house_end': 1739664000000, 'open_house_start': 1739651400000}, {'open_house_end': 1739750400000, 'open_house_start': 1739737800000}, {'open_house_end': 1740268800000, 'open_house_start': 1740256200000}, {'open_house_end': 1740355200000, 'open_house_start': 1740342600000}, {'open_house_end': 1740873600000, 'open_house_start': 1740861000000}, {'open_house_end': 1740960000000, 'open_house_start': 1740947400000}, {'open_house_end': 1741478400000, 'open_house_start': 1741465800000}, {'open_house_end': 1741561200000, 'open_house_start': 1741548600000}, {'open_house_end': 1742079600000, 'open_house_start': 1742067000000}, {'open_house_end': 1742166000000, 'open_house_start': 1742153400000}, {'open_house_end': 1742684400000, 'open_house_start': 1742671800000}, {'open_house_end': 1742770800000, 'open_house_start': 1742758200000}, {'open_house_end': 1743289200000, 'open_house_start': 1743276600000}, {'open_house_end': 1743375600000, 'open_house_start': 1743363000000}, {'open_house_end': 1743894000000, 'open_house_start': 1743881400000}, {'open_house_end': 1743980400000, 'open_house_start': 1743967800000}, {'open_house_end': 1744498800000, 'open_house_start': 1744486200000}, {'open_house_end': 1744585200000, 'open_house_start': 1744572600000}, {'open_house_end': 1745103600000, 'open_house_start': 1745091000000}, {'open_house_end': 1745190000000, 'open_house_start': 1745177400000}, {'open_house_end': 1745708400000, 'open_house_start': 1745695800000}, {'open_house_end': 1745794800000, 'open_house_start': 1745782200000}, {'open_house_end': 1746313200000, 'open_house_start': 1746300600000}, {'open_house_end': 1746399600000, 'open_house_start': 1746387000000}, {'open_house_end': 1746918000000, 'open_house_start': 1746905400000}, {'open_house_end': 1747004400000, 'open_house_start': 1746991800000}, {'open_house_end': 1747522800000, 'open_house_start': 1747510200000}, {'open_house_end': 1747609200000, 'open_house_start': 1747596600000}, {'open_house_end': 1748127600000, 'open_house_start': 1748115000000}, {'open_house_end': 1748214000000, 'open_house_start': 1748201400000}, {'open_house_end': 1748732400000, 'open_house_start': 1748719800000}, {'open_house_end': 1748818800000, 'open_house_start': 1748806200000}, {'open_house_end': 1749337200000, 'open_house_start': 1749324600000}, {'open_house_end': 1749423600000, 'open_house_start': 1749411000000}, {'open_house_end': 1749942000000, 'open_house_start': 1749929400000}, {'open_house_end': 1750028400000, 'open_house_start': 1750015800000}, {'open_house_end': 1750546800000, 'open_house_start': 1750534200000}, {'open_house_end': 1750633200000, 'open_house_start': 1750620600000}, {'open_house_end': 1751151600000, 'open_house_start': 1751139000000}, {'open_house_end': 1751238000000, 'open_house_start': 1751225400000}, {'open_house_end': 1751756400000, 'open_house_start': 1751743800000}, {'open_house_end': 1751842800000, 'open_house_start': 1751830200000}, {'open_house_end': 1752361200000, 'open_house_start': 1752348600000}, {'open_house_end': 1752447600000, 'open_house_start': 1752435000000}, {'open_house_end': 1752966000000, 'open_house_start': 1752953400000}, {'open_house_end': 1753052400000, 'open_house_start': 1753039800000}, {'open_house_end': 1753570800000, 'open_house_start': 1753558200000}, {'open_house_end': 1753657200000, 'open_house_start': 1753644600000}, {'open_house_end': 1754175600000, 'open_house_start': 1754163000000}, {'open_house_end': 1754262000000, 'open_house_start': 1754249400000}, {'open_house_end': 1754780400000, 'open_house_start': 1754767800000}, {'open_house_end': 1754866800000, 'open_house_start': 1754854200000}]}",464990.0,,464990.0,,,,,False,MN,13727 Hollybrook Cir,,316235000,,,55124,447167654
3.0,4.0,Apple Valley,USA,USD,1732867200000,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/590898951dc376102c1a12acca13ab80-p_e.jpg,False,True,False,True,False,False,False,44.751465,"{'is_newHome': True, 'is_openHouse': True}",2412.0,-93.24261,sqft,0.05,BUILDER_SPEC,Sat. 12:30-4pm,"{'open_house_showing': [{'open_house_end': 1739664000000, 'open_house_start': 1739651400000}, {'open_house_end': 1739750400000, 'open_house_start': 1739737800000}, {'open_house_end': 1740268800000, 'open_house_start': 1740256200000}, {'open_house_end': 1740355200000, 'open_house_start': 1740342600000}, {'open_house_end': 1740873600000, 'open_house_start': 1740861000000}, {'open_house_end': 1740960000000, 'open_house_start': 1740947400000}, {'open_house_end': 1741478400000, 'open_house_start': 1741465800000}, {'open_house_end': 1741561200000, 'open_house_start': 1741548600000}, {'open_house_end': 1742079600000, 'open_house_start': 1742067000000}, {'open_house_end': 1742166000000, 'open_house_start': 1742153400000}, {'open_house_end': 1742684400000, 'open_house_start': 1742671800000}, {'open_house_end': 1742770800000, 'open_house_start': 1742758200000}, {'open_house_end': 1743289200000, 'open_house_start': 1743276600000}, {'open_house_end': 1743375600000, 'open_house_start': 1743363000000}, {'open_house_end': 1743894000000, 'open_house_start': 1743881400000}, {'open_house_end': 1743980400000, 'open_house_start': 1743967800000}, {'open_house_end': 1744498800000, 'open_house_start': 1744486200000}, {'open_house_end': 1744585200000, 'open_house_start': 1744572600000}, {'open_house_end': 1745103600000, 'open_house_start': 1745091000000}, {'open_house_end': 1745190000000, 'open_house_start': 1745177400000}, {'open_house_end': 1745708400000, 'open_house_start': 1745695800000}, {'open_house_end': 1745794800000, 'open_house_start': 1745782200000}]}",470575.0,1140,470575.0,,,30156730,,False,MN,13609 Hollybrook Dr,,9210758000,,,55124,442151541
2.0,2.0,Saint Paul,USA,USD,1739174400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6062e471b9309dc70d2706ac73a2e6fd-p_e.jpg,False,True,False,True,False,False,False,44.752384,{'is_newHome': True},1527.0,-93.24375,sqft,4356.0,BUILDER_SPEC,,,469990.0,-6000,469990.0,"$6,000 (Feb 10)",,30156729,,False,MN,13565 Hollybrook Ct,18600.0,36520006000,,,55124,2053764886
3.0,4.0,Apple Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/c556180ef1cc49e00f92cda9e3828281-p_e.jpg,False,True,False,True,False,False,False,44.75136,{'is_newHome': True},2412.0,-93.242615,sqft,0.05,BUILDER_SPEC,,,458050.0,,458050.0,,,30156730,,False,MN,13613 Hollybrook Dr,,9211666000,,,55124,442151267
3.0,3.0,Apple Valley,USA,USD,1733385600000,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/b3fc540deebe9903ca1ae9f34abb25a1-p_e.jpg,False,True,False,True,False,False,False,44.750614,{'is_newHome': True},2209.0,-93.2423,sqft,0.05,BUILDER_SPEC,,,457990.0,-5000,457990.0,"$5,000 (Dec 5)",,30156730,,False,MN,13627 Hollybrook Dr,,23727574000,,,55124,349972019
3.0,3.0,Apple Valley,USA,USD,,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/2cf0f1bfdc47b507a5966ab3c1d943ea-p_e.jpg,False,True,False,True,False,False,False,44.7501,{'is_newHome': True},2102.0,-93.24067,,,BUILDER_PLAN,,,451990.0,,451990.0,,+,30156730,,False,MN,"The Adler Plan, Eagle Pointe Townhomes",,845743000,# 6H6O3L,451700,55124,443909895
2.0,2.0,Saint Paul,USA,USD,1736841600000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d4c2070dfbe3dcd919c8fb966c3b13d4-p_e.jpg,False,True,False,True,False,False,False,44.7507,{'is_newHome': True},1527.0,-93.24106,,,BUILDER_PLAN,,,459990.0,-22000,459990.0,"$22,000 (Jan 14)",+,30156729,2429,False,MN,"The Cypress - Patio Villa Plan, Eagle Pointe Villas",,5928533000,# WEKZT2,,55124,2052997273
,,Apple Valley,USA,USD,1718694000000,-1,,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/ea97e299337a258409a9256087465d74-p_e.jpg,False,True,False,False,False,False,False,44.759808,{'is_FSBA': True},,-93.160545,acres,1.0,,,,492000.0,7000,492000.0,,,,,False,MN,13105 Diamond Path,214700.0,19854909000,,,55124,339026953
