bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/693a3594c82f5f0f122f2f5ef428704a-p_e.jpg,False,True,False,False,False,False,False,39.68186,{'is_FSBA': True},2206.0,-104.780525,acres,0.3,,,,499000.0,,499000.0,,,,False,CO,1912 S Truckee Street,571400.0,412094000,,80013,13077004
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/900fb2f97c849f603dba3f3f23604f88-p_e.jpg,False,True,False,False,True,False,False,39.75539,{'is_FSBA': True},1950.0,-104.828674,sqft,7020.0,,,,450000.0,,450000.0,,,2369,False,CO,2738 Xanadu Street,389000.0,106917000,450100,80011,13018782
2.0,3.0,Aurora,1739404800000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6e0594bb38ba56c4a1161dd4f4eb072f-p_e.jpg,False,True,False,False,False,False,False,39.727802,{'is_comingSoon': True},1821.0,-104.837975,sqft,10367.0,,,,475000.0,,475000.0,,,,False,CO,760 Scranton Court,440700.0,109293000,,80011,13033073
3.0,4.0,Aurora,,USA,USD,1738656000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e7d8f5cb28a7f2edb2d6d1f554700249-p_e.jpg,False,True,False,False,False,False,False,39.641083,{'is_FSBA': True},1934.0,-104.763275,sqft,7840.8,,,,460000.0,-5000,460000.0,"$5,000 (Feb 4)",,,False,CO,4153 S Dunkirk Way,537700.0,11055583000,,80013,13094491
3.0,3.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5b954015a9375328c0cbdf79970175d0-p_e.jpg,False,True,False,False,False,False,False,39.625557,{'is_FSBA': True},2024.0,-104.75353,sqft,4748.0,,,,500000.0,,500000.0,,,2862,False,CO,20112 E Grand Place,566100.0,287834000,499300,80015,54645394
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b56aaadca9e0e4f18844e262458fb54e-p_e.jpg,False,True,False,False,False,False,False,39.7026,"{'is_FSBA': True, 'is_openHouse': True}",2307.0,-104.83853,acres,0.25121671258034894,,Sun. 12-2pm,"{'open_house_showing': [{'open_house_end': 1739138400000, 'open_house_start': 1739131200000}]}",500000.0,,500000.0,,,2626,False,CO,638 S Troy Street,581400.0,195432000,498700,80012,13041511
1.0,3.0,Aurora,1739491200000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0fb252be97671cc6502f4dfd7133edb8-p_e.jpg,False,True,False,False,False,False,False,39.700344,{'is_comingSoon': True},962.0,-104.83456,sqft,6969.6,,,,450000.0,,450000.0,,,,False,CO,757 S Wheeling Street,473100.0,110197000,,80012,13042311
2.0,4.0,Aurora,1739491200000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f4b96385c440884d290df8db59dda0c3-p_e.jpg,False,True,False,False,False,False,False,39.74963,{'is_comingSoon': True},1824.0,-104.86917,sqft,6750.0,,,,500000.0,,500000.0,,,,False,CO,2222 Galena Street,494000.0,90117000,,80010,13018979
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eba4826e3b9b0bc947b490e2d0bdb2f8-p_e.jpg,False,True,False,False,False,False,False,39.74516,{'is_FSBA': True},1878.0,-104.803154,sqft,5680.0,,,,455000.0,,455000.0,,,2577,False,CO,15895 E 17th Place,474000.0,966481000,451000,80011,13012165
3.0,3.0,Aurora,,USA,USD,1737619200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5f673ec70bc7a40d160217d35f66bd3d-p_e.jpg,False,True,False,False,False,False,False,39.64626,{'is_FSBA': True},1591.0,-104.753525,sqft,5314.0,,,,454000.0,-15000,454000.0,"$15,000 (Jan 23)",,,False,CO,3869 S Himalaya Way,542100.0,5800750000,,80013,13091737
