bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,2.0,Boulder,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/9d0cf8b3dbf9c8238be7d28c7acedaa9-p_e.jpg,False,True,False,False,True,False,False,40.06073,{'is_FSBA': True},1114.0,-105.21582,,,,,475000.0,,475000.0,,,False,CO,5922 Gunbarrel Avenue  Unit E,,1108879000,Apt E,469300,80301,446771008
2.0,2.0,Boulder,USA,USD,1737187200000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/0fda0320d00896fea5be7c5a4e45178d-p_e.jpg,False,True,False,False,False,False,False,40.02975,{'is_FSBA': True},1032.0,-105.24096,sqft,871.0,,,499000.0,-10000,499000.0,"$10,000 (Jan 18)",,False,CO,3054 Fulton Cir,525700.0,8430334000,,,80301,13235267
4.0,3.0,Boulder,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/6f091fb0da259c5d798afc6d58cebb26-p_e.jpg,False,True,False,False,False,False,False,40.06088,"{'is_FSBA': True, 'is_openHouse': True}",2274.0,-105.21037,,,Sat. 1-3pm,"{'open_house_showing': [{'open_house_end': 1739660400000, 'open_house_start': 1739653200000}]}",499900.0,,499900.0,,,False,CO,6168 Habitat Dr,556363.0,3092176000,,,80301,13241488
1.0,2.0,Boulder,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/78236e5739fedea511a3e521f1f53be6-p_e.jpg,False,True,False,False,False,False,False,39.97996,"{'is_FSBA': True, 'is_openHouse': True}",892.0,-105.23626,sqft,918.0,Sat. 10am-12pm,"{'open_house_showing': [{'open_house_end': 1739649600000, 'open_house_start': 1739642400000}]}",495000.0,-4000,495000.0,"$4,000 (Feb 7)",2108,False,CO,4853 W Moorhead Cir,472800.0,2568855000,,487300,80305,13224174
2.0,2.0,Boulder,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/c7f1cbcb54bd621f95f7299d63a193da-p_e.jpg,False,True,False,False,False,False,False,40.029743,{'is_FSBA': True},843.0,-105.2825,,,,,485000.0,,485000.0,,2291,False,CO,3025 Broadway Street Bldg A  Unit 2,,1445750000,# A-2,478000,80304,2060475686
2.0,2.0,Boulder,USA,USD,1739347200000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/ae90b8e25cea3d0401faf8b8011e4f41-p_e.jpg,False,True,False,False,False,False,False,40.017757,{'is_FSBA': True},1059.0,-105.26585,,,,,473000.0,-2000,473000.0,"$2,000 (Feb 12)",,False,CO,2227 Canyon Boulevard  Unit 312a,471497.0,3263164000,Apt 312A,,80302,13224871
1.0,2.0,Boulder,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/59f1c790a328fc538a3f35f91fec3c07-p_e.jpg,False,True,False,False,False,False,False,40.04416,{'is_FSBA': True},936.0,-105.25963,,,,,459000.0,,459000.0,,1821,False,CO,3805 Northbrook Dr UNIT A,,1191926000,Apt A,447600,80304,13226700
2.0,2.0,Boulder,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/80a5470d7ca727b07e54d5155c71628d-p_e.jpg,False,True,False,False,False,False,False,40.05977,{'is_FSBA': True},1030.0,-105.21055,,,,,469000.0,,469000.0,,2187,False,CO,6148 Willow Ln,512921.0,10847718000,,465600,80301,13235348
2.0,2.0,Boulder,USA,USD,1727334000000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/d971e91c493af0915943dbf8b53b2286-p_e.jpg,False,True,False,False,False,False,False,40.03534,{'is_FSBA': True},968.0,-105.24691,sqft,502.0,,,450000.0,-15000,450000.0,,2381,False,CO,3727 Talisman Pl UNIT B,430200.0,1849113000,Apt B,438300,80301,13222080
1.0,2.0,Boulder,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/238f8474d1e618d0e049ff567f2b8613-p_e.jpg,False,True,False,False,False,False,False,40.03451,{'is_FSBA': True},930.0,-105.24923,,,,,470000.0,,470000.0,,1924,False,CO,3275 34th St UNIT 77,379664.0,483091000,Apt 77,465200,80301,13233296
