bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,5.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eb9fef2a7f90314e2b2af062485c2532-p_e.jpg,False,True,False,False,False,False,False,39.99283,{'is_FSBA': True},2342.0,-104.807076,sqft,7000.0,,,,490000.0,,490000.0,,,,2667,False,CO,327 N 12th Avenue,443000.0,158411000,,,80601,12940134
3.0,3.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b6209f3d5ff52f32aafb31204a323e6e-p_e.jpg,False,True,False,False,False,False,False,39.992,{'is_FSBA': True},3195.0,-104.76642,sqft,6050.0,,,,490000.0,,490000.0,,,,2773,False,CO,4261 Threshing Drive,561000.0,555897000,,489400,80601,68568242
2.0,4.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/53606b033a2dc782ed2727b60704da2b-p_e.jpg,False,True,False,False,False,False,False,39.97712,{'is_FSBO': True},2200.0,-104.82213,sqft,6495.0,,,,495000.0,,495000.0,,,,1469,False,CO,609 S 1st Ave,393000.0,570648000,,495000,80601,12941655
4.0,4.0,Brighton,USA,USD,1739433600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/68ac4b5b098942d95cfebef2980e3495-p_e.jpg,False,True,False,False,False,False,False,39.96915,"{'is_FSBA': True, 'is_openHouse': True}",1877.0,-104.833595,sqft,4356.0,,Thu. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}]}",475000.0,-10000,475000.0,"$10,000 (Feb 13)",,,,False,CO,1090 Quail Circle,462000.0,1276914000,,,80601,12945333
2.0,3.0,Brighton,USA,USD,1737705600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/026db7ef7e15d4d91816fb5bf951a483-p_e.jpg,False,True,False,False,True,False,False,39.985905,{'is_FSBA': True},1502.0,-104.760414,sqft,3484.8,,,,465500.0,-4499,465500.0,"$4,499 (Jan 24)",,,,False,CO,4552 Crestone Peak Street,467000.0,2974543000,,,80601,67151353
2.0,3.0,Brighton,USA,USD,1739001600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/46a54c744dc728eaa7004084f3b6e626-p_e.jpg,False,True,False,False,False,False,False,39.985065,{'is_FSBA': True},1872.0,-104.8086,sqft,8276.4,,,,479900.0,20000,479900.0,,,,2401,False,CO,101 S 11th Avenue,373000.0,10438946000,,480400,80601,12943069
3.0,3.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5def12ab4de0995c51766754ba88804f-p_e.jpg,False,True,False,False,False,False,False,39.992653,{'is_FSBA': True},2205.0,-104.766785,sqft,7586.0,,,,490000.0,,490000.0,,,,2841,False,CO,303 Tumbleweed Drive,501000.0,5235401000,,489500,80601,61505304
2.0,3.0,Brighton,USA,USD,1738742400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/60afa1fb20ef8c60dc54ead597f55a62-p_e.jpg,False,True,False,True,False,False,False,39.996876,{'is_newHome': True},1619.0,-104.73127,sqft,5153.0,BUILDER_SPEC,,,479990.0,-20000,479990.0,"$20,000 (Feb 5)",,29640983,,False,CO,6050 Hourglass Drive,61110.0,2662827000,,480000,80601,442902965
3.0,2.0,Brighton,USA,USD,1737446400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5b79e0a132f882012ada9d44b354ac87-p_e.jpg,False,True,False,False,False,False,False,39.986267,{'is_FSBA': True},1620.0,-104.749794,sqft,5662.8,,,,450000.0,-8000,450000.0,"$8,000 (Jan 21)",,,2460,False,CO,33 Gaviota Avenue,479000.0,10926741000,,450100,80601,58289064
2.0,3.0,Brighton,USA,USD,1738828800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a2afcec1b007483d5c26d68821e7be9a-p_e.jpg,False,True,False,False,False,False,False,39.98032,{'is_FSBA': True},1825.0,-104.75129,sqft,6355.0,,,,475000.0,5100,475000.0,,,,,False,CO,470 Grey Swallow Street,480000.0,581090000,,,80601,12943988
3.0,3.0,Brighton,USA,USD,1738310400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bda857a7a298d0ae2e3dd771bc8c773b-p_e.jpg,False,True,False,False,False,False,False,39.992535,{'is_FSBA': True},2202.0,-104.76445,sqft,6325.0,,,,500000.0,5000,500000.0,,,,2803,False,CO,4384 Threshing Drive,489000.0,3404762000,,499900,80601,61505347
3.0,3.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc91e032c06a0ddfe1e497776c06944f-p_e.jpg,False,True,False,False,False,False,False,39.9569,{'is_newHome': True},1606.0,-104.80709,sqft,3040.0,BUILDER_SPEC,,,458990.0,,458990.0,,,,,False,CO,2078 Wagon Wheel Aly,,144010000,,,80601,447171901
2.0,4.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d28fb4f07100e891995fe63c0bc7ad0e-p_e.jpg,False,True,False,False,False,False,False,39.992878,{'is_FSBA': True},1900.0,-104.80333,sqft,7350.0,,,,475000.0,,475000.0,,,,2585,False,CO,335 N 16th Avenue,442000.0,117309000,,474200,80601,12940149
2.0,3.0,Brighton,USA,USD,1738051200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9844bf90fa1a71f1988f1b1b6d23d120-p_e.jpg,False,True,False,True,False,False,False,39.990986,{'is_newHome': True},1366.0,-104.754,sqft,5500.0,BUILDER_SPEC,,,474900.0,-96000,474900.0,"$96,000 (Jan 28)",,28841314,,False,CO,4847 Astor Place,60814.0,1694717000,,,80601,442364866
3.0,3.0,Brighton,USA,USD,1737360000000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3a7387f4570dd5747e799a190ce237d2-p_e.jpg,False,True,False,False,False,False,False,39.986305,{'is_FSBA': True},2542.0,-104.75786,sqft,3829.0,,,,485000.0,-10000,485000.0,"$10,000 (Jan 20)",,,,False,CO,4715 Crestone Peak Street,543000.0,3005446000,,,80601,103008932
4.0,4.0,Brighton,USA,USD,1737792000000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9e36a2953269fb82ef355b50db85081c-p_e.jpg,False,True,False,False,False,False,False,39.986473,{'is_FSBA': True},2100.0,-104.7591,sqft,3829.0,,,,472900.0,-7000,472900.0,"$7,000 (Jan 25)",,,2942,False,CO,4635 Crestone Peak Street,499000.0,11390643000,,473100,80601,103005772
2.0,5.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8bca2a89eecdf7daed829667e2d4a0f0-p_e.jpg,False,True,False,False,False,False,False,39.98825,{'is_FSBA': True},2000.0,-104.805695,sqft,7200.0,,,,478000.0,,478000.0,,,,2665,False,CO,79 N 13th Avenue,392000.0,1864835000,,478500,80601,12940055
3.0,3.0,Henderson,USA,USD,1738137600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2c2406f64df3550bf3a09dafc8e964ce-p_e.jpg,False,True,False,False,False,False,False,39.91258,{'is_FSBA': True},1860.0,-104.8357,sqft,2700.0,,,,468000.0,-7000,468000.0,"$7,000 (Jan 29)",,,2841,False,CO,5108 Buckwheat Rd,497000.0,2921784000,,468000,80640,337808723
3.0,3.0,Henderson,USA,USD,1735804800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5cfe95cbdc6dc2035d2c7fc667ac0de2-p_e.jpg,False,True,False,False,False,False,False,39.91146,{'is_FSBA': True},1976.0,-104.8336,sqft,2700.0,,,,475000.0,5000,475000.0,,,,,False,CO,765 Tarragon Road,509000.0,11024561000,,,80640,337808946
3.0,3.0,Brighton,USA,USD,1738051200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/351670e900a36ce0dba71a31ea2be38c-p_e.jpg,False,True,False,False,False,False,False,39.99811,{'is_FSBA': True},1816.0,-104.73664,sqft,5663.0,,,,497000.0,-11000,497000.0,"$11,000 (Jan 28)",,,,False,CO,877 Twining Ave,526000.0,8324513000,,,80601,334259286
3.0,3.0,Brighton,USA,USD,1733385600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1e7f56ff3e7740b776daaaae01086ca7-p_e.jpg,False,True,False,True,False,False,False,39.95565,"{'is_newHome': True, 'is_openHouse': True}",1672.0,-104.80186,sqft,2460.0,BUILDER_SPEC,Fri. 11am-4pm,"{'open_house_showing': [{'open_house_end': 1739577600000, 'open_house_start': 1739559600000}, {'open_house_end': 1739664000000, 'open_house_start': 1739646000000}, {'open_house_end': 1739750400000, 'open_house_start': 1739732400000}]}",479000.0,-10000,479000.0,"$10,000 (Dec 5)",,30499782,,False,CO,2174 Farmlore Drive,,8949444000,,479000,80601,438822347
3.0,4.0,Brighton,USA,USD,1738656000000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fea6b9da66415e1f2b0ad100f3df6f39-p_e.jpg,False,True,False,True,False,False,False,39.957214,{'is_newHome': True},1803.0,-104.80818,,,BUILDER_PLAN,,,474999.0,1000,474999.0,,+,30214447,2983,False,CO,"Aurora Plan, Farmlore",,1241977000,# 3CV3DK,,80601,351155289
3.0,3.0,Brighton,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c8feac781d2f68f84c590e7e2803ce44-p_e.jpg,False,True,False,True,False,False,False,39.955395,"{'is_newHome': True, 'is_openHouse': True}",1672.0,-104.80193,sqft,2460.0,BUILDER_SPEC,Fri. 11am-4pm,"{'open_house_showing': [{'open_house_end': 1739577600000, 'open_house_start': 1739559600000}, {'open_house_end': 1739664000000, 'open_house_start': 1739646000000}, {'open_house_end': 1739750400000, 'open_house_start': 1739732400000}]}",482000.0,,482000.0,,,30499782,,False,CO,2192 Farmlore Drive,53602.0,759953000,,482000,80601,442906205
3.0,3.0,Brighton,USA,USD,1738569600000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d0ba4a8eb213a2b5025737d55c40e77d-p_e.jpg,False,True,False,True,False,False,False,39.954475,{'is_newHome': True},1804.0,-104.788086,,,BUILDER_PLAN,,,483950.0,3000,483950.0,,+,30210973,,False,CO,"Madrid Plan, Parkway at Prairie Center Village",,1425844000,# CGJE3N,484100,80601,440011216
2.0,2.0,Brighton,USA,USD,1736323200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f6b2c8f67dc56452a998f7a3271ab957-p_e.jpg,False,True,False,True,False,False,False,39.995327,{'is_newHome': True},966.0,-104.73581,sqft,8276.4,BUILDER_SPEC,,,452900.0,5000,452900.0,,,29737226,2266,False,CO,5863 Sawdust Drive,103604.0,29615689000,,,80601,334259253
