bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/27f74b0c71db63ce96754edb8597dfa7-p_e.jpg,False,True,False,False,False,False,False,39.92882,{'is_FSBA': True},1320.0,-105.10788,sqft,8712.0,,,,499990.0,,499990.0,,,,,False,CO,3272 W 10th Ave Pl,492370.0,480199000,,,80020,60236835
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ae2580b06a3f71b9a514c3dc05344dd7-p_e.jpg,False,True,False,False,False,False,False,39.936947,{'is_FSBA': True},2056.0,-105.07438,sqft,5793.0,,,,478000.0,,478000.0,,,,2579,False,CO,57 Scott Drive S,600860.0,201309000,,471700,80020,60235367
2.0,4.0,Broomfield,USA,USD,1739174400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1f31b956be2c118502b4f4a74652e67c-p_e.jpg,False,True,False,False,False,False,False,39.93567,{'is_FSBA': True},1588.0,-105.02221,sqft,8568.0,,,,485896.0,-1,485896.0,$1 (Feb 10),,,,False,CO,2873 W 132nd Ave,503790.0,16493405000,,,80020,60229105
2.0,4.0,Broomfield,USA,USD,1738137600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b3a1a24edfcf04ea0d0560507a8c9e81-p_e.jpg,False,True,False,False,False,False,False,39.93952,{'is_FSBA': True},2284.0,-105.02684,sqft,7754.0,,,,489700.0,-700,489700.0,$700 (Jan 29),,,2951,False,CO,13430 Green Circle,450000.0,52585960000,,,80020,249256943
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/8ce2cb5ff3b4f512a247334e687f2bd3-p_e.jpg,False,True,False,False,False,False,False,39.95277,"{'is_FSBA': True, 'is_openHouse': True}",1438.0,-105.03396,,,,Sat. 11:30am-1:30pm,"{'open_house_showing': [{'open_house_end': 1739655000000, 'open_house_start': 1739647800000}, {'open_house_end': 1739655000000, 'open_house_start': 1739647800000}, {'open_house_end': 1739662200000, 'open_house_start': 1739655000000}]}",470000.0,,470000.0,,,,,False,CO,14190 Sun Blaze Loop  Unit E,468400.0,47104000,Unit E,,80023,63440965
3.0,3.0,Broomfield,USA,USD,1738051200000,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/3eafe50b07cb5c1a733d8422e6ac3d4f-p_e.jpg,False,True,False,False,False,False,False,39.94798,{'is_FSBA': True},1739.0,-105.0175,sqft,799.0,,,,500000.0,100,500000.0,,,,2686,False,CO,13900 Lake Song Ln UNIT B6,439340.0,1709179000,Unit B6,497800,80023,60228663
3.0,2.0,Broomfield,USA,USD,1735891200000,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/205c88ed39c2a4a3d6e6cb12f26d6714-p_e.jpg,False,True,False,False,True,False,False,39.927715,"{'is_FSBA': True, 'is_openHouse': True}",1326.0,-105.12273,,,,Sun. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1739739600000, 'open_house_start': 1739732400000}]}",495000.0,-8000,495000.0,"$8,000 (Jan 3)",,,,False,CO,477 Interlocken Boulevard  Unit 103,,8252841000,# 103,490900,80021,444950783
2.0,2.0,Broomfield,USA,USD,1738742400000,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/1a4d7ac96a03f84ac09a5d0d8793a86c-p_e.jpg,False,True,False,False,False,False,False,39.95388,{'is_FSBA': True},1440.0,-105.03381,,,,,,460000.0,-2500,460000.0,"$2,500 (Feb 5)",,,,False,CO,14167 Sun Blaze Loop UNIT C,468810.0,2981875000,Unit C,,80023,64755429
2.0,2.0,Broomfield,USA,USD,1739347200000,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/acd1523c2448fb8b8355a67cdf300710-p_e.jpg,False,True,False,False,False,False,False,39.942505,"{'is_FSBA': True, 'is_openHouse': True}",1326.0,-105.12136,,,,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1739750400000, 'open_house_start': 1739739600000}]}",499900.0,-25100,499900.0,"$25,100 (Feb 12)",,,,False,CO,13598 Via Varra  Unit 301,,1693829000,Unit 301,,80020,447262146
2.0,2.0,Broomfield,USA,USD,1738051200000,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/ed7433b97fcfb9137a28789b1c5ecc74-p_e.jpg,False,True,False,False,False,False,False,39.928337,{'is_newHome': True},1203.0,-105.122574,,,NEW_CONSTRUCTION_TYPE_OTHER,,,499990.0,-10000,499990.0,"$10,000 (Jan 28)",,,,False,CO,487 Interlocken Boulevard Bldg 1  Unit 102,,9136630000,# 1-102,498400,80021,442188640
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/ee9a96ff15aa01fcd544f37c3294c813-p_e.jpg,False,True,False,True,False,False,False,39.928295,{'is_newHome': True},1138.0,-105.1227,,,BUILDER_SPEC,,,484990.0,,484990.0,,,30184327,2514,False,CO,487 Interlocken Blvd #407,,512619000,# 407,,80021,348795713
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/478f135419f7eeb41863abb2b5c69258-p_e.jpg,False,True,False,True,False,False,False,39.927967,{'is_newHome': True},1203.0,-105.121704,,,BUILDER_SPEC,,,499990.0,,499990.0,,,30184327,,False,CO,485 Interlocken Blvd #103,,512619000,# 103,,80021,447124236
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/48c54e84aab6421f4efa1455c16ca160-p_e.jpg,False,True,False,False,False,False,False,39.928345,{'is_newHome': True},1138.0,-105.12285,,,NEW_CONSTRUCTION_TYPE_OTHER,,,489990.0,,489990.0,,,,,False,CO,487 Interlocken Boulevard Bldg 1  Unit 410,,1970433000,# 1-410,487900,80021,445907715
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/6c528d2732f41e40784a3e1f75c8dd07-p_e.jpg,False,True,False,False,False,False,False,39.928345,{'is_newHome': True},1138.0,-105.12285,,,NEW_CONSTRUCTION_TYPE_OTHER,,,484990.0,,484990.0,,,,,False,CO,487 Interlocken Boulevard Bldg 1  Unit 407,,585304000,# 1-407,482700,80021,446949109
2.0,2.0,Broomfield,USA,USD,,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/b15d6da29d4e0e736cb6e128e0479bda-p_e.jpg,False,True,False,True,False,False,False,39.92502,{'is_newHome': True},1203.0,-105.12107,,,BUILDER_PLAN,,,499990.0,,499990.0,,+,30184327,,False,CO,"Residence 2B Plan, Grand Vue at Interlocken",,3716472000,# NJJO89,496300,80021,441165034
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/94bb0e01511647efde590860378598b1-p_e.jpg,False,True,False,False,False,False,False,39.92803,{'is_newHome': True},1203.0,-105.121826,,,NEW_CONSTRUCTION_TYPE_OTHER,,,499990.0,,499990.0,,,,,False,CO,485 Interlocken Boulevard Bldg 2  Unit 102,,584401000,# 2-102,497500,80021,446949613
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/94bb0e01511647efde590860378598b1-p_e.jpg,False,True,False,False,False,False,False,39.92803,{'is_newHome': True},1203.0,-105.121826,,,NEW_CONSTRUCTION_TYPE_OTHER,,,499990.0,,499990.0,,,,,False,CO,485 Interlocken Boulevard Bldg 2  Unit 101,,583497000,# 2-101,497900,80021,446950157
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/478f135419f7eeb41863abb2b5c69258-p_e.jpg,False,True,False,True,False,False,False,39.92806,{'is_newHome': True},1203.0,-105.12184,,,BUILDER_SPEC,,,499990.0,,499990.0,,,30184327,,False,CO,485 Interlocken Blvd #102,,512619000,# 102,,80021,447124237
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/94bb0e01511647efde590860378598b1-p_e.jpg,False,True,False,False,False,False,False,39.92803,{'is_newHome': True},1203.0,-105.121826,,,NEW_CONSTRUCTION_TYPE_OTHER,,,499990.0,,499990.0,,,,,False,CO,485 Interlocken Boulevard Bldg 2  Unit 103,,583190000,# 2-103,497500,80021,446950291
2.0,2.0,Broomfield,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/478f135419f7eeb41863abb2b5c69258-p_e.jpg,False,True,False,True,False,False,False,39.928185,{'is_newHome': True},1203.0,-105.121956,,,BUILDER_SPEC,,,499990.0,,499990.0,,,30184327,,False,CO,485 Interlocken Blvd #101,,512619000,# 101,,80021,447124235
2.0,2.0,Broomfield,USA,USD,1737792000000,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/478f135419f7eeb41863abb2b5c69258-p_e.jpg,False,True,False,True,False,False,False,39.928368,{'is_newHome': True},1203.0,-105.12243,,,BUILDER_SPEC,,,499990.0,-10000,499990.0,"$10,000 (Jan 25)",,30184327,2602,False,CO,487 Interlocken Blvd #102,,9084209000,# 102,498100,80021,2055221124
2.0,2.0,Broomfield,USA,USD,,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/5b73a39a4077d1185e39f91a6412573e-p_e.jpg,False,True,False,True,False,False,False,39.92502,{'is_newHome': True},1138.0,-105.12107,,,BUILDER_PLAN,,,494990.0,,494990.0,,+,30184327,,False,CO,"Residence 2A Plan, Grand Vue at Interlocken",,2612042000,# NK3GTN,491300,80021,441165051
2.0,2.0,Broomfield,USA,USD,1733558400000,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/ee9a96ff15aa01fcd544f37c3294c813-p_e.jpg,False,True,False,True,False,False,False,39.928223,{'is_newHome': True},1138.0,-105.12226,,,BUILDER_SPEC,,,489990.0,-26775,489990.0,"$26,775 (Dec 7)",,30184327,,False,CO,487 Interlocken Blvd #410,,9084210000,# 410,487400,80021,442245887
