bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Centennial,USA,USD,1737619200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6e8d23edbbb24c5d1ab19f3daf004f31-p_e.jpg,False,True,False,False,False,False,False,39.636436,{'is_FSBA': True},1527.0,-104.758354,sqft,6447.0,,,485000.0,-8000,485000.0,"$8,000 (Jan 23)",2633,False,CO,4391 S Fundy Street,503800.0,3195814000,,484700,80015,13109164
4.0,3.0,Centennial,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/0de2e8bc1ccf87dbe02fad838a731bd2-p_e.jpg,False,True,False,False,False,False,False,39.58251,"{'is_FSBA': True, 'is_openHouse': True}",1823.0,-104.94046,,,Sat. 3-4pm,"{'open_house_showing': [{'open_house_end': 1739059200000, 'open_house_start': 1739055600000}]}",500000.0,,500000.0,,2787,False,CO,4042 E Geddes Circle,541100.0,240479000,,499100,80122,13137341
2.0,3.0,Centennial,USA,USD,1737100800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/63248c4502d21964d05e62731879a74d-p_e.jpg,False,True,False,False,False,False,False,39.609962,"{'is_FSBA': True, 'is_openHouse': True}",1431.0,-104.73902,sqft,8712.0,Sun. 11:30am-1:30pm,"{'open_house_showing': [{'open_house_end': 1739136600000, 'open_house_start': 1739129400000}]}",496800.0,-1200,496800.0,"$1,200 (Jan 17)",2370,False,CO,5832 S Netherland Circle,504300.0,8143200000,,497700,80015,13114154
2.0,3.0,Centennial,USA,USD,1733212800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/296999a35dc34a12d5525bc1d3b45833-p_e.jpg,False,True,False,False,False,False,False,39.62332,{'is_FSBA': True},2067.0,-104.79095,sqft,10454.4,,,475000.0,-8500,475000.0,"$8,500 (Dec 3)",2650,False,CO,5117 S Pagosa Street,524500.0,8559602000,,474000,80015,13117146
3.0,3.0,Centennial,USA,USD,1738828800000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/21a4b898b9c151c1858c76ccfa1bcdad-p_e.jpg,False,True,False,False,False,False,False,39.587566,{'is_FSBA': True},1612.0,-104.96587,sqft,3441.0,,,499999.0,-18001,499999.0,"$18,001 (Feb 6)",2673,False,CO,7165 S Vine Circle W,514100.0,795200000,,498900,80122,13163968
2.0,3.0,Centennial,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/a4baeeded9ab14431e7c60201072235a-p_e.jpg,False,True,False,False,False,False,False,39.58684,{'is_FSBA': True},2024.0,-104.959755,sqft,1306.8,,,485000.0,,485000.0,,2773,False,CO,2427 E Fremont Court,484500.0,765144000,,477300,80122,13161749
3.0,3.0,Centennial,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/2b2703aa4b7278dd0289b7fcc1a946fc-p_e.jpg,False,True,False,False,False,False,False,39.592407,{'is_FSBA': True},2080.0,-104.906494,sqft,1306.8,,,500000.0,,500000.0,,2781,False,CO,7114 E Briarwood Drive,502700.0,1915414000,,496900,80112,13134573
2.0,2.0,Centennial,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/7700016ecbb57c863f29c1bb0402f778-p_e.jpg,False,True,False,False,False,False,False,39.593155,{'is_FSBA': True},1944.0,-104.91108,,,,,475000.0,,475000.0,,,False,CO,6712 E Briarwood Drive,509200.0,690212000,,,80112,13134720
3.0,2.0,Centennial,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/e1d02723b55d613a038f59d126d5f055-p_e.jpg,False,True,False,False,False,False,False,39.59253,{'is_FSBA': True},1928.0,-104.92547,sqft,871.0,,,478850.0,,478850.0,,,False,CO,5555 E Briarwood Avenue  Unit 2403,486100.0,2613513000,Apt 2403,,80122,13136358
2.0,2.0,Centennial,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/e3952b65a673160c0f09bf1cf1b569ee-p_e.jpg,False,True,False,False,False,False,False,39.605423,{'is_FSBA': True},1640.0,-104.93621,sqft,871.2,,,495000.0,,495000.0,,,False,CO,4202 E Maplewood Way,440400.0,7536319000,,,80121,13127582
