bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,4.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3956a700226e689def6bc2548d75d8d6-p_e.jpg,False,True,False,False,False,False,False,33.214718,{'is_FSBA': True},1700.0,-111.797264,sqft,4731.0,,,499900.0,,499900.0,,,False,AZ,2528 E La Costa Dr,384300.0,501616000,,,85249,8216065
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a5c493435652fa6a782da0e74809c330-p_e.jpg,False,True,False,False,False,False,False,33.28897,"{'is_FSBA': True, 'is_openHouse': True}",1162.0,-111.83261,sqft,5033.0,Sat. 1:30-4pm,"{'open_house_showing': [{'open_house_end': 1739664000000, 'open_house_start': 1739655000000}]}",459900.0,,459900.0,,,False,AZ,601 E Banelli Pl,367700.0,248675000,,,85286,59262354
2.0,4.0,Chandler,USA,USD,1738483200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/544ba6482a7e254c446bc87d427debe0-p_e.jpg,False,True,False,False,False,False,False,33.347126,{'is_FSBA': True},1739.0,-111.86623,sqft,8093.0,,,500000.0,-30000,500000.0,"$30,000 (Feb 2)",,False,AZ,1402 W Cheyenne Dr,427300.0,12332855000,,,85224,8199273
2.0,3.0,Chandler,USA,USD,1737705600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/336d1c790169d1f79fd3cd80b82b2b84-p_e.jpg,False,True,False,False,False,False,False,33.314915,{'is_FSBA': True},1801.0,-111.956245,sqft,5114.0,,,499000.0,-26000,499000.0,"$26,000 (Jan 24)",,False,AZ,657 N Gregory Pl,444500.0,4483235000,,,85226,8157899
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1fb628518bfb2de0593d602e21d4ea2d-p_e.jpg,False,True,False,False,False,False,False,33.313755,{'is_FSBA': True},1289.0,-111.953545,sqft,7854.0,,,450000.0,,450000.0,,,False,AZ,6325 W Monterey Pl,356600.0,592345000,,,85226,8157240
3.0,4.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ea4b93545ff800e4e8f67877b831aba7-p_e.jpg,False,True,False,False,False,False,False,33.31155,{'is_FSBA': True},1878.0,-111.81536,sqft,7144.0,,,475000.0,,475000.0,,,False,AZ,524 N Leoma Ln,456100.0,1964791000,,,85225,8196628
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a921c2a66f740a9abb86c7cf35fe0953-p_e.jpg,False,True,False,False,False,False,False,33.318043,{'is_FSBA': True},1398.0,-111.90726,sqft,4382.0,,,460000.0,,460000.0,,,False,AZ,3821 W Dublin St,370000.0,2851218000,,,85226,8265039
3.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2c8d4c847af8d5e8abaf25f6533b44a5-p_e.jpg,False,True,False,False,False,False,False,33.33577,{'is_FSBA': True},1588.0,-111.830894,sqft,4066.0,,,485000.0,,485000.0,,,False,AZ,681 E Los Arboles Pl,400100.0,546692000,,,85225,52430801
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/42795ddfa347ca53c2acce30942d656e-p_e.jpg,False,True,False,False,False,False,False,33.26755,{'is_FSBA': True},1233.0,-111.87958,sqft,6007.0,,,480000.0,,480000.0,,,False,AZ,2640 S Los Altos Dr,356700.0,488076000,,,85286,8210837
2.0,3.0,Chandler,USA,USD,1738310400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c28279e0330275f731157ec48f8095eb-p_e.jpg,False,True,False,False,False,False,False,33.299744,{'is_FSBA': True},1760.0,-111.80258,sqft,9331.0,,,489900.0,-3600,489900.0,"$3,600 (Jan 31)",,False,AZ,2221 E Frye Rd,421200.0,7952005000,,,85225,8204955
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ca2ebe963b75619b7dba1dd0688df206-p_e.jpg,False,True,False,False,False,False,False,33.31717,{'is_FSBA': True},1305.0,-111.84787,sqft,7593.0,,,459000.0,,459000.0,,,False,AZ,481 W Ivanhoe Pl,347500.0,1702269000,,,85225,8190114
3.0,3.0,Chandler,USA,USD,1736496000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/31aa65ded90475847baa6d009fa50356-p_e.jpg,False,True,False,False,False,False,False,33.31757,{'is_FSBA': True},1715.0,-111.922585,sqft,4238.0,,,499900.0,-15100,499900.0,"$15,100 (Jan 10)",,False,AZ,4662 W Ivanhoe St,383600.0,7597369000,,,85226,8156501
2.0,3.0,Chandler,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0edc6c2514eb58570df769378a198628-p_e.jpg,False,True,False,False,False,False,False,33.32114,{'is_FSBA': True},1528.0,-111.83168,sqft,5358.0,,,450000.0,-5000,450000.0,"$5,000 (Feb 7)",,False,AZ,645 E Gary Dr,369600.0,4211201000,,,85225,8182591
2.0,3.0,Chandler,USA,USD,1737792000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4a2e0228f5fed0b908fe88d2172639ef-p_e.jpg,False,True,False,False,False,False,False,33.211124,"{'is_FSBA': True, 'is_openHouse': True}",1525.0,-111.78685,sqft,7040.0,Sat. 10am-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739642400000}, {'open_house_end': 1739743200000, 'open_house_start': 1739728800000}]}",479900.0,-2100,479900.0,"$2,100 (Jan 25)",,False,AZ,3114 E Winged Foot Dr,387600.0,7804303000,,,85249,59262125
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/749f16b6120d3f4ef514f08895ab964f-p_e.jpg,False,True,False,False,False,False,False,33.312637,{'is_FSBA': True},1208.0,-111.80837,sqft,5358.0,,,450000.0,,450000.0,,,False,AZ,1903 E San Tan St,352200.0,487836000,,,85225,8196834
2.0,4.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/323665b3e28463bf6999ae16916f31a1-p_e.jpg,False,True,False,False,False,False,False,33.35242,{'is_FSBA': True},1726.0,-111.8791,sqft,8908.0,,,490000.0,,490000.0,,,False,AZ,2110 W Silvergate Dr,440300.0,19410387000,,,85224,8197331
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/066e6cd63a826890d05c79117b46e10d-p_e.jpg,False,True,False,False,False,False,False,33.316704,{'is_FSBA': True},1567.0,-111.95838,sqft,4948.0,,,500000.0,,500000.0,,,False,AZ,6703 W Linda Ln,424500.0,2448414000,,,85226,8268530
2.0,3.0,Sun Lakes,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/57f063f54c76b49981bc0e8b88d26a4d-p_e.jpg,False,True,False,False,False,False,False,33.21836,{'is_FSBA': True},1715.0,-111.88654,sqft,7932.0,,,495000.0,,495000.0,,,False,AZ,9041 E Stoney Vista Dr,398300.0,775950000,,,85248,8214056
