bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Denver,,USA,USD,1739260800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8f623a7d7e18dc27eac02a9a544d217a-p_e.jpg,False,True,False,False,False,False,False,39.71756,{'is_FSBA': True},1492.0,-105.04661,sqft,6250.0,,,485000.0,-10000,485000.0,"$10,000 (Feb 11)",2857,False,CO,46 Winona Court,406000.0,19923382000,,485800,80219,13339541
3.0,2.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5799cc5294ce2bb167de813158d198df-p_e.jpg,False,True,False,False,False,False,False,39.796913,{'is_FSBA': True},1574.0,-104.74998,sqft,4827.0,,,475000.0,,475000.0,,2375,False,CO,20498 March Drive,495700.0,26478000,,473400,80249,68050363
2.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/09d32cd7e8b1cbdfcf082656bf91261d-p_e.jpg,False,True,False,False,False,False,False,39.8408,"{'is_FSBA': True, 'is_openHouse': True}",1456.0,-105.0188,sqft,8250.0,Sat. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1739653200000, 'open_house_start': 1739646000000}]}",475000.0,,475000.0,,,False,CO,2600 Valley View Drive,491000.0,41772000,,,80221,12995879
3.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/09b78a9848408a8dd01dc913eed18155-p_e.jpg,False,True,False,False,False,False,False,39.790432,{'is_FSBA': True},1751.0,-104.76855,sqft,4863.0,,,480000.0,,480000.0,,,False,CO,18755 Burlington Place,502100.0,26478000,,,80249,82243579
2.0,4.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a7416bea3020d52facd602514f59bab5-p_e.jpg,False,True,False,False,False,False,False,39.671246,{'is_FSBA': True},2030.0,-105.044075,sqft,6910.0,,,499900.0,,499900.0,,2509,False,CO,2555 S Tennyson Way,501000.0,113415000,,498200,80219,13382890
2.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ec3bfd11dcf9d87ed6aafd2fae8a1b6a-p_e.jpg,False,True,False,False,False,False,False,39.71331,"{'is_FSBA': True, 'is_openHouse': True}",1148.0,-105.02418,sqft,6250.0,Sat. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1739653200000, 'open_house_start': 1739646000000}, {'open_house_end': 1739660400000, 'open_house_start': 1739653200000}]}",475000.0,,475000.0,,,False,CO,185 S Eliot Street,482200.0,1346448000,,,80219,13341793
2.0,4.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9bc2753b95ea5d8a203664ae72162a79-p_e.jpg,False,True,False,False,False,False,False,39.835934,{'is_FSBA': True},1976.0,-105.01826,sqft,7700.0,,,465000.0,,465000.0,,,False,CO,2583 Westchester Drive,445000.0,133506000,,,80221,12996189
2.0,3.0,Denver,,USA,USD,1738224000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ad42449e856c51f34c9ffcdc4648ff9c-p_e.jpg,False,True,False,False,False,False,False,39.736523,{'is_FSBA': True},1015.0,-104.895584,sqft,6500.0,,,450000.0,-9000,450000.0,"$9,000 (Jan 30)",2658,False,CO,1245 Tamarac Street,405600.0,11988858000,,450500,80220,13389330
1.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5a07db5b0808a30730dafbf6a4c44608-p_e.jpg,False,True,False,False,False,False,False,39.72276,"{'is_FSBA': True, 'is_openHouse': True}",1111.0,-105.043564,sqft,6000.0,Sun. 12-3pm,"{'open_house_showing': [{'open_house_end': 1739746800000, 'open_house_start': 1739736000000}]}",469900.0,,469900.0,,2491,False,CO,377 Stuart Street,447500.0,159893000,,468700,80219,13338548
3.0,4.0,Denver,1739491200000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3eb4d02cbdd3735f203b58c8d777ce5e-p_e.jpg,False,True,False,False,False,False,False,39.70521,{'is_comingSoon': True},1496.0,-105.03892,sqft,5670.0,,,500000.0,,500000.0,,2649,False,CO,632 S Patton Court,550300.0,46803000,,457400,80219,13360814
