bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ec3bfd11dcf9d87ed6aafd2fae8a1b6a-p_e.jpg,False,True,False,False,False,False,False,39.71331,{'is_FSBA': True},1148.0,-105.02418,sqft,6250.0,,,475000.0,,475000.0,,,False,CO,185 S Eliot Street,482200.0,954816000,,,80219,13341793
1.0,2.0,Denver,,USA,USD,1738569600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ee85387620e9e60fd9fe7554cc08aff7-p_e.jpg,False,True,False,False,False,False,False,39.72233,{'is_FSBA': True},1129.0,-104.9956,sqft,2950.0,,,485000.0,-35000,485000.0,"$35,000 (Feb 3)",2469,False,CO,614 W 4th Avenue,502600.0,6428994000,,483100,80223,13343790
2.0,4.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bd8447fade8d3e16bb42a360b6e0aa76-p_e.jpg,False,True,False,False,False,False,False,39.683773,{'is_FSBA': True},1308.0,-105.04349,sqft,6190.0,,,500000.0,,500000.0,,,False,CO,1800 S Tennyson Street,485900.0,1026178000,,,80219,13364038
2.0,3.0,Denver,1739491200000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/62003b1778bf16e375dc7dd1ad09ae60-p_e.jpg,False,True,False,False,False,False,False,39.740902,{'is_comingSoon': True},1355.0,-104.89792,sqft,6098.4,,,500000.0,,500000.0,,2427,False,CO,1535 Spruce Street,511100.0,100357000,,474900,80220,13289938
2.0,3.0,Denver,,USA,USD,1736409600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/45da8250ed87ffa0c53b7bb2a72a1407-p_e.jpg,False,True,False,False,False,False,False,39.66237,{'is_FSBA': True},2636.0,-105.01838,sqft,10700.0,,,499000.0,-18000,499000.0,"$18,000 (Jan 9)",3415,False,CO,2605 W Cornell Avenue,557400.0,7169997000,,493100,80236,13385937
2.0,3.0,Denver,,USA,USD,1736236800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e5547a902aad7b1971be024e16496997-p_e.jpg,False,True,False,False,False,False,False,39.758682,{'is_FSBA': True},1542.0,-104.94023,sqft,6534.0,,,488900.0,-1000,488900.0,"$1,000 (Jan 7)",,False,CO,2920 Colorado Boulevard,,5643931000,,489000,80207,443800242
2.0,5.0,Denver,,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/69f4b0b17fc9e681c41204b32bee8839-p_e.jpg,False,True,False,False,False,False,False,39.83524,{'is_FSBA': True},1700.0,-105.00576,sqft,6200.0,,,461888.0,-3312,461888.0,"$3,312 (Jan 29)",2843,False,CO,7630 Pecos Street,417000.0,6575406000,,462400,80221,12997738
3.0,2.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a86b5167eab434d8782503020b359557-p_e.jpg,False,True,False,False,False,False,False,39.67979,{'is_FSBA': True},1814.0,-104.91263,sqft,6098.4,,,500000.0,,500000.0,,2849,False,CO,6500 E Asbury Avenue,584200.0,712730000,,498600,80224,61471764
3.0,4.0,Denver,,USA,USD,1738483200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/92ba5979ae8ca87bd190d383cbf3cafb-p_e.jpg,False,True,False,False,False,False,False,39.740654,{'is_FSBA': True},2067.0,-104.89428,sqft,6098.4,,,499900.0,-15100,499900.0,"$15,100 (Feb 2)",,False,CO,1525 Ulster Street,,11069516000,,,80220,443920387
4.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a438a47e775ea92be0cae6ec2b596859-p_e.jpg,False,True,False,False,False,False,False,39.771397,{'is_FSBA': True},2386.0,-104.74364,sqft,4118.0,,,500000.0,,500000.0,,,False,CO,20942 E 40th Place,514900.0,717236000,,,80249,58297070
2.0,4.0,Denver,,USA,USD,1735891200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a80363bd4090f4fb79414b269c5f6ac4-p_e.jpg,False,True,False,False,False,False,False,39.73827,{'is_FSBA': True},1635.0,-104.89138,sqft,6100.0,,,499900.0,-10100,499900.0,"$10,100 (Jan 3)",2516,False,CO,1350 Valentia St,602300.0,11326604000,,499400,80220,13388693
2.0,5.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f2c893d0356e92f8de03083c8c9141d6-p_e.jpg,False,True,False,False,False,False,False,39.708817,"{'is_FSBA': True, 'is_openHouse': True}",1714.0,-105.047585,sqft,6250.0,Sat. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739070000000, 'open_house_start': 1739030400000}, {'open_house_end': 1739156400000, 'open_house_start': 1739116800000}, {'open_house_end': 1739242800000, 'open_house_start': 1739203200000}, {'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}]}",450000.0,,450000.0,,,False,CO,4620 W Alaska Place,458400.0,448138000,,,80219,13361137
