bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Lafayette,USA,USD,1737619200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97efd38fc7260e2a085bad369b68e2be-p_e.jpg,False,True,False,False,False,False,False,39.98837,{'is_FSBA': True},1440.0,-105.08193,sqft,7405.0,,,,480000.0,-10000,480000.0,"$10,000 (Jan 23)",2744,False,CO,1055 Malory St,505200.0,8666624000,,479500,80026,13221059
3.0,4.0,Lafayette,USA,USD,1738828800000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/14b4e1a922e003b6c9b3accad48c0298-p_e.jpg,False,True,False,False,False,False,False,39.986713,{'is_FSBA': True},1890.0,-105.11421,,,,,,462500.0,-16500,462500.0,"$16,500 (Feb 6)",3071,False,CO,1707 Elis Circle  Unit 39,480252.0,14719031000,# 39,462000,80026,13226183
2.0,3.0,Lafayette,USA,USD,1732348800000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/8704b4a7e4523f108f5fa691e67c7660-p_e.jpg,False,True,False,False,False,False,False,39.98363,{'is_FSBA': True},1530.0,-105.11711,,,,,,455000.0,-3000,455000.0,"$3,000 (Nov 23)",2531,False,CO,1509 Sidon Circle  Unit 148,385349.0,11568136000,# 148,454100,80026,13228031
3.0,3.0,Lafayette,USA,USD,1723532400000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/db87cbdc4640e03f889dedd8bb0d6e36-p_e.jpg,False,True,False,False,False,False,False,39.98483,{'is_FSBA': True},1705.0,-105.10574,,,,,,499000.0,-21000,499000.0,,,False,CO,1130 James Cir UNIT 6,424201.0,8054571000,# 6,,80026,13252659
2.0,2.0,Lafayette,USA,USD,1737446400000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/6402462925c9939a590c87a6d269b7dd-p_e.jpg,False,True,False,False,False,False,False,40.00796,{'is_FSBA': True},1099.0,-105.10941,sqft,1442.0,,,,470000.0,-10000,470000.0,"$10,000 (Jan 21)",,False,CO,1524 Sun Way,313750.0,2584196000,,,80026,2052944352
1.0,2.0,Lafayette,USA,USD,1726297200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/132bb19417a73a64b93e84576fb1d966-p_e.jpg,False,True,False,False,False,False,False,40.000896,{'is_FSBA': True},1161.0,-105.0946,sqft,7214.0,,,,499000.0,-21000,499000.0,,2251,False,CO,309 W Oak Street,453600.0,15044524000,,493800,80026,13190570
2.0,2.0,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/b851e5574f8063e68ae0b1b6d5546e13-p_e.jpg,False,True,False,False,False,False,False,39.973106,"{'is_newHome': True, 'is_openHouse': True}",1051.0,-105.093445,,,NEW_CONSTRUCTION_TYPE_OTHER,Sun. 1-3pm,"{'open_house_showing': [{'open_house_end': 1739142000000, 'open_house_start': 1739134800000}]}",457185.0,,457185.0,,,False,CO,290 S Cherrywood Dr UNIT 104,,11246574000,# 104,455300,80026,347286882
2.0,2.0,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/2be1f3812bcb84fa66a4acdc0d46e215-p_e.jpg,False,True,False,False,False,False,False,39.973633,{'is_FSBA': True},1087.0,-105.09178,,,,,,465000.0,,465000.0,,,False,CO,210 S Cherrywood  Unit 304,,54166000,# 304,,80026,441846416
2.0,2.0,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/15718f5850704ef79fd72ee0a2b028e2-p_e.jpg,False,True,False,False,False,False,False,39.973045,"{'is_newHome': True, 'is_openHouse': True}",1052.0,-105.09351,,,NEW_CONSTRUCTION_TYPE_OTHER,Sun. 1-3pm,"{'open_house_showing': [{'open_house_end': 1739142000000, 'open_house_start': 1739134800000}]}",457620.0,,457620.0,,2416,False,CO,290 S Cherrywood Dr UNIT 102,,20837386000,# 102,454700,80026,347286914
2.0,2.0,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/274ae255dbda7f8c3cbae424fc27419a-p_e.jpg,False,True,False,False,False,False,False,39.972767,"{'is_newHome': True, 'is_openHouse': True}",1088.0,-105.093506,,,NEW_CONSTRUCTION_TYPE_OTHER,Sun. 1-3pm,"{'open_house_showing': [{'open_house_end': 1739142000000, 'open_house_start': 1739134800000}]}",484160.0,,484160.0,,,False,CO,310 S Cherrywood Dr UNIT 303,,16087732000,# 303,481600,80026,416037010
2.0,2.0,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/13e8d7110b7057837212e0ebf97f3045-p_e.jpg,False,True,False,False,False,False,False,39.97279,"{'is_newHome': True, 'is_openHouse': True}",1106.0,-105.09357,,,NEW_CONSTRUCTION_TYPE_OTHER,Sun. 1-3pm,"{'open_house_showing': [{'open_house_end': 1739142000000, 'open_house_start': 1739134800000}]}",492170.0,,492170.0,,,False,CO,310 S Cherrywood Dr UNIT 301,,16084860000,# 301,489500,80026,416124988
