bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,3.0,Lakewood,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/4131a49c273d6637db147ea2536c5997-p_e.jpg,False,True,False,False,False,False,False,39.716484,{'is_FSBA': True},1697.0,-105.14246,,,,,465000.0,,465000.0,,,False,CO,12645 W 1st Place  Unit 82,467235.0,587399000,# 82,,80228,13766423
1.0,3.0,Lakewood,USA,USD,1736755200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/80b4d63660d9ce513c541b78fa9185b2-p_e.jpg,False,True,False,False,False,False,False,39.741596,{'is_FSBA': True},1222.0,-105.129814,sqft,6783.0,,,485000.0,-15000,485000.0,"$15,000 (Jan 13)",,False,CO,1577 Swadley Street,428777.0,11898857000,,,80215,13745099
1.0,3.0,Lakewood,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b8b81ca44043fdbd9f7ccbe048fe7059-p_e.jpg,False,True,False,False,False,False,False,39.70986,{'is_FSBA': True},875.0,-105.12916,sqft,6523.0,,,450000.0,,450000.0,,2170,False,CO,340 S Swadley Street,483299.0,3324941000,,449000,80228,13775265
3.0,3.0,Lakewood,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/55c16889a41820aa61582a56fd7d832a-p_e.jpg,False,True,False,False,False,False,False,39.72257,{'is_FSBA': True},2321.0,-105.07768,,,,,450000.0,,450000.0,,2652,False,CO,376 Upham Street,422773.0,814851000,,446100,80226,13767865
4.0,5.0,Lakewood,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/cee1d3a72240bf8f33777d7a7d676b0e-p_e.jpg,False,True,False,False,False,False,False,39.70648,{'is_FSBA': True},2336.0,-105.14125,sqft,741.0,,,470000.0,,470000.0,,3624,False,CO,12644 W Virginia Avenue,464095.0,1849837000,,466800,80228,13775885
3.0,2.0,Lakewood,USA,USD,1738742400000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/557b00bd6d936942b382998cc8f41b4f-p_e.jpg,False,True,False,False,False,False,False,39.738155,{'is_FSBA': True},1416.0,-105.10337,sqft,860.0,,,499000.0,-6000,499000.0,"$6,000 (Feb 5)",,False,CO,9490 W 14th Avenue  Unit 3,537436.0,1331742000,# 3,,80215,331704798
2.0,3.0,Lakewood,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/05259b9a0bc04f87550340e011c70754-p_e.jpg,False,True,False,False,False,False,False,39.74545,{'is_FSBA': True},2100.0,-105.127945,sqft,2178.0,,,465000.0,,465000.0,,2572,False,CO,1832 Simms Street,416990.0,1243810000,,462300,80215,13746047
1.0,3.0,Lakewood,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/41614beef66136c6cf4ced2be282aad5-p_e.jpg,False,True,False,False,False,False,False,39.742733,{'is_FSBA': True},1072.0,-105.08345,sqft,6892.0,,,462000.0,,462000.0,,2334,False,CO,1624 Yarrow Street,482768.0,3013247000,,458200,80214,13748163
3.0,4.0,Lakewood,USA,USD,1736841600000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/f830edb69934737136eae35fbac49355-p_e.jpg,False,True,False,False,False,False,False,39.746044,{'is_FSBA': True},1963.0,-105.124,,,,,460000.0,-15000,460000.0,"$15,000 (Jan 14)",,False,CO,1827 Quail Street  Unit 3,347745.0,6868646000,Apt 3,,80215,13745974
3.0,3.0,Lakewood,USA,USD,1733817600000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/1b06cab74fe2753e7dc01d5f7bdfa6aa-p_e.jpg,False,True,False,False,False,False,False,39.72767,"{'is_FSBA': True, 'is_openHouse': True}",2071.0,-105.09995,,,Fri. 1-3pm,"{'open_house_showing': [{'open_house_end': 1739574000000, 'open_house_start': 1739566800000}, {'open_house_end': 1739653200000, 'open_house_start': 1739646000000}]}",465000.0,-9000,465000.0,"$9,000 (Dec 10)",,False,CO,9193 W 7th Avenue,461334.0,12661765000,,,80215,13762080
