bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
4.0,3.0,Littleton,,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/54014258e6a80c2ae2a26b184cf50bff-p_e.jpg,False,True,False,False,False,False,False,39.57105,{'is_FSBA': True},2532.0,-105.115906,sqft,1612.0,450000.0,,450000.0,,,False,CO,10425 Red Mountain West,,213310000,,,80127,447230035
2.0,3.0,Littleton,,USA,USD,1738310400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/32ecd2fb5919255a7322e1ef4cf0cc90-p_e.jpg,False,True,False,False,False,False,False,39.6219,{'is_FSBA': True},1066.0,-105.00709,sqft,6229.0,494900.0,-5000,494900.0,"$5,000 (Jan 31)",2297,False,CO,5259 S Windermere Street,535200.0,11976865000,,495400,80120,13151663
3.0,3.0,Littleton,1739491200000,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/b24a53d02f766d82daed25c106435ac4-p_e.jpg,False,True,False,False,False,False,False,39.5702,{'is_comingSoon': True},2532.0,-105.11718,sqft,1742.4,469900.0,,469900.0,,2717,False,CO,10588 E Park Mountain,,241199000,,506700,80127,2054731182
3.0,3.0,Littleton,,USA,USD,1720854000000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/5ed1a88f7eab3bb45151bd9fe127e477-p_e.jpg,False,True,False,False,True,False,False,39.495586,{'is_FSBA': True},1450.0,-105.03412,sqft,1481.0,480000.0,-5000,480000.0,,,False,CO,7887 Yampa River Avenue,524898.0,20038247000,,,80125,306059871
3.0,4.0,Littleton,,USA,USD,1737100800000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/8afc3126d5ac4d74c056eb9b47d2d68d-p_e.jpg,False,True,False,False,False,False,False,39.57036,{'is_FSBA': True},3263.0,-105.11539,sqft,2091.0,478000.0,-2000,478000.0,"$2,000 (Jan 17)",,False,CO,10395 Red Mountain E,,7651344000,,,80127,2054732878
4.0,4.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/5d012f75c9697fb21a651c8d25f0c3f7-p_e.jpg,False,True,False,False,False,False,False,39.628998,{'is_FSBA': True},2415.0,-105.08415,,,489900.0,,489900.0,,3510,False,CO,7900 W Layton Avenue  Unit 833,432700.0,6033761000,Unit 833,487100,80123,13432650
3.0,3.0,Littleton,,USA,USD,1738742400000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/7542a23ee9b3ede72c91d247409173a1-p_e.jpg,False,True,False,False,False,False,False,39.577263,{'is_FSBA': True},2181.0,-105.13047,sqft,1437.0,480000.0,-15000,480000.0,"$15,000 (Feb 5)",,False,CO,11733 Elk Head Range Road,467631.0,2734837000,,,80127,13831303
4.0,4.0,Littleton,,USA,USD,1737964800000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/4a65728d410625ab486edb8786f9727c-p_e.jpg,False,True,False,False,False,False,False,39.57,{'is_FSBA': True},2527.0,-105.11985,sqft,1306.8,475000.0,-10000,475000.0,"$10,000 (Jan 27)",,False,CO,8099 S Trinchera Peak,458011.0,6187966000,,,80127,13832418
3.0,2.0,Littleton,,USA,USD,1733299200000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/dfd172ef0922369b0579625530828998-p_e.jpg,False,True,False,False,False,False,False,39.577023,{'is_FSBA': True},1593.0,-104.99019,sqft,828.0,453000.0,-1000,453000.0,"$1,000 (Dec 4)",2471,False,CO,209 W Jamison Circle  Unit 32,448300.0,13857268000,Unit 32,452600,80120,13170179
3.0,3.0,Littleton,,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/fe7d26ebad0e5eb86cc6ccaaa686b84f-p_e.jpg,False,True,False,False,False,False,False,39.592716,{'is_FSBA': True},1829.0,-105.081924,sqft,871.0,499000.0,,499000.0,,,False,CO,7600 W Coal Mine Avenue  Unit K,419871.0,6115357000,Apt K,,80123,13824666
3.0,2.0,Denver,1739491200000,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/02ddffaa71e46e7890535f684ac31eb8-p_e.jpg,False,True,False,False,False,False,False,39.637848,{'is_comingSoon': True},1311.0,-105.07297,,,465000.0,,465000.0,,2203,False,CO,4301 S Pierce Street  Unit 5b,441300.0,26487000,Apt 5B,419800,80123,13432339
2.0,2.0,Littleton,,USA,USD,1735372800000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/baad8606d0f2dd2c67cb178974230213-p_e.jpg,False,True,False,False,False,False,False,39.620514,{'is_FSBA': True},1192.0,-105.022934,,,459950.0,-10000,459950.0,"$10,000 (Dec 28)",,False,CO,2894 W Riverwalk Circle  Unit B219,488500.0,7415553000,Apt B219,,80123,54648259
,,Littleton,,USA,USD,1726124400000,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/15b831b2828825f3d7acafddb5021cba-p_e.jpg,False,True,False,False,False,False,False,39.52294,{'is_FSBA': True},,-105.17287,acres,37.9633,499000.0,-51000,499000.0,,,False,CO,W Sampson Rd,,24920785000,,,80127,2085026557
,,Littleton,,USA,USD,1726124400000,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/8dc18fc5d88f40243f7c80cc70210177-p_e.jpg,False,True,False,False,False,False,False,39.523273,{'is_FSBA': True},,-105.173256,acres,37.96,499000.0,-51000,499000.0,,,False,CO,Sampson Rd,,26031036000,,,80127,2113466989
