bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
4.0,4.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b4504a50d15bb761ec305c2de4cef756-p_e.jpg,False,True,False,False,,False,False,False,40.410255,{'is_FSBA': True},1950.0,-105.04538,sqft,7623.0,,,,499998.0,,499998.0,,,,2745,False,CO,2166 Chelsea Drive,484200.0,21623000,,496700,80538,13859938
2.0,4.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/19c67ff2cda919d12b6fdebc60c15ff9-p_e.jpg,False,True,False,False,,False,False,False,40.43318,{'is_FSBA': True},2147.0,-105.09391,sqft,6757.0,,,,475000.0,,475000.0,,,,,False,CO,4020 Delcon Ct,484800.0,1082904000,,,80538,13879323
2.0,3.0,Loveland,USA,USD,1739347200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8bdfda2231f9d2404b0c309a1bb19f2b-p_e.jpg,False,True,False,False,,False,False,False,40.40341,{'is_FSBA': True},1957.0,-105.07107,sqft,6132.0,,,,495000.0,-5000,495000.0,"$5,000 (Feb 12)",,,,False,CO,427 E 11th St,496800.0,51446000,,,80537,13885112
3.0,4.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8a677068576d2beb48add31654f65a8f-p_e.jpg,False,True,False,False,,False,False,False,40.39489,{'is_FSBA': True},2984.0,-105.12587,sqft,4828.0,,,,470000.0,,470000.0,,,,2663,False,CO,264 Medina Court,535800.0,654262000,,467400,80537,54690707
2.0,3.0,Loveland,USA,USD,1739433600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c4ae621e66841ffb97c51f467729c11f-p_e.jpg,False,True,False,False,,False,False,False,40.440006,"{'is_FSBA': True, 'is_openHouse': True}",1550.0,-105.083206,sqft,8712.0,,Thu. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}]}",455000.0,-15000,455000.0,"$15,000 (Feb 13)",,,,False,CO,617 W 47th Street,476100.0,564819000,,,80538,13898495
3.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0b3a203238eeed7e02388de93159477a-p_e.jpg,False,True,False,False,,False,False,False,40.37481,{'is_FSBA': True},2488.0,-105.08434,sqft,4356.0,,,,475000.0,,475000.0,,,,2402,False,CO,568 18th St SW,433600.0,654676000,,470800,80537,13891606
3.0,4.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f5a07619cfd10a7ec269254e078d94b8-p_e.jpg,False,True,False,False,,False,False,False,40.41141,{'is_FSBO': True},1577.0,-105.044525,sqft,5657.0,,,,460000.0,,460000.0,,,,2531,False,CO,2268 Hampstead Dr,462000.0,2572732000,,477500,80538,13860096
2.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/086613aa1846bfe37f09cc94b951c69c-p_e.jpg,False,True,False,False,,False,False,False,40.40182,{'is_FSBA': True},2609.0,-105.0472,sqft,5988.0,,,,500000.0,,500000.0,,,,2436,False,CO,950 Delphinus Pl,365900.0,1109492000,,,80537,96111580
3.0,4.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7f7188d59e166e1e28a907cc09169766-p_e.jpg,False,True,False,False,,False,False,False,40.40364,{'is_FSBA': True},2358.0,-105.09144,sqft,6098.0,,,,500000.0,,500000.0,,,,,False,CO,955 Winona Cir,480600.0,18197157000,,,80537,13886586
4.0,5.0,Loveland,USA,USD,1737360000000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/55787b39d94bc4ee8da3dec88bd49d17-p_e.jpg,False,True,False,False,,False,False,False,40.384827,{'is_FSBA': True},2292.0,-105.11624,sqft,6489.0,,,,480000.0,-20000,480000.0,"$20,000 (Jan 20)",,,2734,False,CO,2802 Sw Bridalwreath Place,473800.0,7211783000,,479200,80537,13889639
2.0,3.0,Loveland,USA,USD,1738828800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/af1de9f385bb986ddc397e29c2a8bb2f-p_e.jpg,False,True,False,False,,False,False,False,40.36639,{'is_FSBA': True},1709.0,-105.08654,sqft,7453.0,,,,464900.0,-5000,464900.0,"$5,000 (Feb 6)",,,2320,False,CO,636 26th St SW,442300.0,1860257000,,463200,80537,13892209
3.0,4.0,Loveland,USA,USD,1735804800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/947cddd69ce8d0de4f5150841ae7b788-p_e.jpg,False,True,False,False,,False,False,False,40.40244,{'is_FSBA': True},2036.0,-105.05036,sqft,4812.0,,,,492000.0,-8000,492000.0,"$8,000 (Jan 2)",,,,False,CO,1892 E 11th St,477400.0,10914971000,,,80537,92355935
2.0,3.0,Loveland,USA,USD,1739433600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/04a6d3384fcc555c4f1a688cac9d25fb-p_e.jpg,False,True,False,False,,False,False,False,40.372265,"{'is_FSBA': True, 'is_openHouse': True}",1976.0,-105.08946,sqft,6970.0,,Thu. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}]}",452000.0,-3000,452000.0,"$3,000 (Feb 13)",,,,False,CO,2115 S Custer Avenue,401300.0,2576661000,,,80537,13891830
2.0,3.0,Loveland,USA,USD,1737532800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/833750ac84db881c66a4390535fca6e3-p_e.jpg,False,True,False,False,,False,False,False,40.41938,{'is_FSBA': True},2508.0,-105.11094,sqft,8901.0,,,,469000.0,-6000,469000.0,"$6,000 (Jan 22)",,,2310,False,CO,2629 Hayden Ct,486000.0,8417665000,,468400,80538,13882766
2.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7213fad43a6715157246fc873722504a-p_e.jpg,False,True,False,False,,False,False,False,40.40122,{'is_FSBA': True},1806.0,-105.08039,sqft,6530.0,,,,475000.0,,475000.0,,,,,False,CO,349 W 9th St,482400.0,3618730000,,,80537,13886124
2.0,4.0,Loveland,USA,USD,1739433600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/661acdcf66a604b8608eaea8ce58dd07-p_e.jpg,False,True,False,False,,False,False,False,40.422638,"{'is_FSBA': True, 'is_openHouse': True}",1517.0,-105.06186,sqft,10019.0,,Thu. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}]}",491000.0,-5000,491000.0,"$5,000 (Feb 13)",,,,False,CO,1107 White Elm Drive,460300.0,1194897000,,,80538,13878360
