bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0fd4ab8b56bbe4d129286689377af3fe-p_e.jpg,False,True,False,False,False,False,False,33.38088,{'is_FSBA': True},1640.0,-111.77429,sqft,9645.0,,,,450000.0,,450000.0,,,False,AZ,2643 E Jerome Ave,400200.0,42500000,,,85204,7653227
3.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f05a777fb98a1874536e917f6c4486b7-p_e.jpg,False,True,False,False,False,False,False,33.364155,{'is_FSBA': True},1871.0,-111.64996,sqft,3401.0,,,,498000.0,,498000.0,,,False,AZ,8535 E Olla Ave,10100.0,13277000,,,85212,300110724
2.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/792afaedeeb4ae2331c0c327dcb1e96a-p_e.jpg,False,True,False,False,False,False,False,33.417957,{'is_FSBA': True},2072.0,-111.643814,acres,0.3037190082644628,,,,452900.0,,452900.0,,,False,AZ,134 N 87th St,363200.0,605128000,,,85207,92355417
2.0,3.0,Mesa,USA,USD,1739260800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a96838cc4de9e070f09e0939421106f2-p_e.jpg,False,True,False,False,False,False,False,33.40195,{'is_FSBA': True},1674.0,-111.76779,acres,0.31843434343434346,,,,485000.0,-10000,485000.0,"$10,000 (Feb 11)",,False,AZ,748 S Rico Cir,434800.0,8449240000,,,85204,7646059
2.0,4.0,Mesa,USA,USD,1738656000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1eec51d28d401167bd849020d33c1722-p_e.jpg,False,True,False,False,False,False,False,33.383453,{'is_FSBA': True},1742.0,-111.8498,sqft,7998.0,,,,485000.0,-15000,485000.0,"$15,000 (Feb 4)",,False,AZ,834 W Isabella Ave,400800.0,6480012000,,,85210,7600118
3.0,3.0,Mesa,USA,USD,1738828800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fe0597c205a230c1893042262a6dcb1a-p_e.jpg,False,True,False,False,False,False,False,33.465008,{'is_FSBA': True},1752.0,-111.689735,sqft,6734.0,,,,499900.0,-15000,499900.0,"$15,000 (Feb 6)",,False,AZ,2726 N Ricardo,438200.0,11306675000,,,85215,7669564
2.0,3.0,Mesa,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3b54d90714aad433a408f2b13ccd1375-p_e.jpg,False,True,False,False,False,False,False,33.441624,{'is_FSBA': True},1522.0,-111.67424,sqft,10585.0,,,,499900.0,-10000,499900.0,"$10,000 (Feb 7)",,False,AZ,7265 E Hillview St,353600.0,7760907000,,,85207,8067240
2.0,3.0,Mesa,USA,USD,1738742400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3b866456caff7e3ed47fa01a538bed78-p_e.jpg,False,True,False,False,False,False,False,33.342594,"{'is_FSBA': True, 'is_openHouse': True}",1730.0,-111.620735,sqft,6250.0,,Sat. 10am-1pm,"{'open_house_showing': [{'open_house_end': 1739653200000, 'open_house_start': 1739642400000}]}",479000.0,-10000,479000.0,"$10,000 (Feb 5)",,False,AZ,9854 E Red Giant Dr,436500.0,8013618000,,,85212,300110836
2.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/44350c2495300262dcb265b445068890-p_e.jpg,False,True,False,False,False,False,False,33.430786,{'is_FSBA': True},1822.0,-111.80168,sqft,10180.0,,,,490000.0,,490000.0,,,False,AZ,1344 E Ellis Cir,379600.0,1623805000,,,85203,7619268
2.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/581a14a3660f0db0d8060308a251365b-p_e.jpg,False,True,False,False,False,False,False,33.443336,{'is_FSBA': True},1891.0,-111.6388,sqft,7136.0,,,,499000.0,,499000.0,,,False,AZ,1538 N Atwood,457300.0,494947000,,,85207,52428712
2.0,3.0,Mesa,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d0bb946882b12d2c4728cc37ca9ed8fe-p_e.jpg,False,True,False,False,False,False,False,33.420902,{'is_FSBA': True},1721.0,-111.79871,sqft,9791.0,,,,465000.0,-4900,465000.0,"$4,900 (Feb 7)",,False,AZ,1466 E 3rd St,366800.0,3546092000,,,85203,84074898
2.0,2.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aa47d3b4252ba198cbfdf662ec813e1c-p_e.jpg,False,True,False,False,False,False,False,33.48115,{'is_FSBA': True},1728.0,-111.696495,sqft,5670.0,,,,479000.0,,479000.0,,,False,AZ,6215 E Sierra Morena St,384700.0,312203000,,,85215,7679224
2.0,3.0,Mesa,USA,USD,1739433600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/836ae6d9ed891306085b5e0f4ee0437d-p_e.jpg,False,True,False,False,False,False,False,33.380665,{'is_FSBA': True},1346.0,-111.78284,sqft,6534.0,,,,455000.0,-14500,455000.0,"$14,500 (Feb 13)",1999,False,AZ,1860 S 24th St,327500.0,2477593000,,452300,85204,7652808
2.0,4.0,Mesa,USA,USD,1739001600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2cb8052c71f027c4e1e22be54a601740-p_e.jpg,False,True,False,False,False,False,False,33.430622,{'is_FSBA': True},2369.0,-111.81151,sqft,8886.0,,,,480000.0,-5000,480000.0,"$5,000 (Feb 8)",,False,AZ,910 E 8th Pl,370800.0,5507240000,,,85203,7622495
2.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d3ec8dea0e43c957405611d358678caa-p_e.jpg,False,True,False,False,False,False,False,33.32219,{'is_FSBA': True},1509.0,-111.6125,sqft,5817.0,,,,469900.0,,469900.0,,,False,AZ,10242 E Sable Ave,399500.0,478943000,,,85212,121851250
2.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9e212a62d980960b356e2a6bf6986db9-p_e.jpg,False,True,False,False,False,False,False,33.368523,{'is_FSBA': True},1701.0,-111.58536,sqft,6660.0,,,,485000.0,,485000.0,,,False,AZ,11530 E Monterey Ave,414100.0,494668000,,,85209,60990254
2.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7bd0e34cf481334ca7f6e3b7c99727bd-p_e.jpg,False,True,False,False,False,False,False,33.423424,{'is_FSBA': True},1568.0,-111.59763,sqft,8140.0,,,,495000.0,,495000.0,,,False,AZ,10811 E Contessa St,383000.0,2292380000,,,85207,29617613
2.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9b024e764e61f96d64fc3afb2637eab0-p_e.jpg,False,True,False,False,False,False,False,33.39938,{'is_FSBA': True},2040.0,-111.75112,sqft,4440.0,,,,455000.0,,455000.0,,,False,AZ,921 S Val Vista Dr UNIT 43,339700.0,1757147000,Unit 43,,85204,68010907
3.0,3.0,Mesa,USA,USD,1739433600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/282da703321189baf04fff495d926d9b-p_e.jpg,False,True,False,False,False,False,False,33.36316,"{'is_FSBA': True, 'is_openHouse': True}",1880.0,-111.60498,sqft,7901.0,,Thu. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}, {'open_house_end': 1739847600000, 'open_house_start': 1739808000000}, {'open_house_end': 1739934000000, 'open_house_start': 1739894400000}, {'open_house_end': 1740020400000, 'open_house_start': 1739980800000}, {'open_house_end': 1740106800000, 'open_house_start': 1740067200000}, {'open_house_end': 1740193200000, 'open_house_start': 1740153600000}]}",471000.0,-4000,471000.0,"$4,000 (Feb 13)",,False,AZ,2845 S Benton Cir,426200.0,21025415000,,,85212,8277577
3.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5cb73b1fdaab46e55ddee15e47a4eb23-p_e.jpg,False,True,False,False,False,False,False,33.38902,{'is_FSBA': True},2135.0,-111.7165,sqft,3700.0,,,,486000.0,,486000.0,,,False,AZ,5331 E Holmes Ave,402500.0,1756321000,,,85206,54854827
4.0,4.0,Mesa,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1edeaba3dab7acf345e294c139319e7a-p_e.jpg,False,True,False,False,False,False,False,33.415676,{'is_FSBA': True},2051.0,-111.8158,sqft,8666.0,,,,499998.0,-1,499998.0,$1 (Jan 29),,False,AZ,15 N Ashland St,,6648089000,,,85203,443823811
3.0,4.0,Mesa,USA,USD,1739001600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/87c64938f9fbaa17425dbcc75fcf67e7-p_e.jpg,False,True,False,False,False,False,False,33.413174,{'is_FSBA': True},1825.0,-111.743614,sqft,8600.0,,,,463000.0,-2000,463000.0,"$2,000 (Feb 8)",,False,AZ,4043 E Arbor Ave,404800.0,1088366000,,,85206,92352945
3.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3974c64fe03e8502f39647c840839d69-p_e.jpg,False,True,False,False,False,False,False,33.362736,{'is_FSBA': True},1880.0,-111.60602,sqft,7078.0,,,,499000.0,,499000.0,,,False,AZ,2865 S Vegas,397100.0,2995003000,,,85212,50199477
3.0,4.0,Mesa,USA,USD,1737792000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9f7aabb96b0216710d979742a786a6d1-p_e.jpg,False,True,False,False,False,False,False,33.40569,{'is_FSBA': True},1925.0,-111.71568,sqft,5503.0,,,,500000.0,-15000,500000.0,"$15,000 (Jan 25)",,False,AZ,5341 E Carol Ave,425600.0,1715097000,,,85206,67798955
2.0,3.0,Mesa,USA,USD,1738828800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/75535c50758b4ca25c926b08ec16a524-p_e.jpg,False,True,False,False,False,False,False,33.36075,{'is_FSBA': True},1622.0,-111.84759,sqft,8316.0,,,,479900.0,-4600,479900.0,"$4,600 (Feb 6)",,False,AZ,628 W Portobello Ave,411000.0,5988488000,,,85210,8190950
3.0,3.0,Mesa,USA,USD,1738828800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4927612eb67829199666f47caf98806f-p_e.jpg,False,True,False,False,False,False,False,33.368664,{'is_FSBA': True},1860.0,-111.64738,sqft,4770.0,,,,470000.0,-10000,470000.0,"$10,000 (Feb 6)",,False,AZ,8652 E Nido Ave,402500.0,7738860000,,,85209,8285829
3.0,3.0,Mesa,USA,USD,1738656000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/420227e8f886202552b6134c4c300ea5-p_e.jpg,False,True,False,False,False,False,False,33.367073,"{'is_FSBA': True, 'is_openHouse': True}",2148.0,-111.602745,sqft,3555.0,,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1739664000000, 'open_house_start': 1739649600000}, {'open_house_end': 1739750400000, 'open_house_start': 1739739600000}]}",460000.0,-19000,460000.0,"$19,000 (Feb 4)",,False,AZ,2632 S Tobin,449200.0,2048066000,,,85209,125986202
