bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
3.0,4.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6c035fe805fe87fb3f3733ab728a80a8-p_e.jpg,False,True,False,False,False,False,False,44.951096,{'is_FSBA': True},2194.0,-93.213646,sqft,5227.2,,,475000.0,,475000.0,,2391,False,MN,2825 41st Ave S,445000.0,425922000,,,483900,55406,1977630
1.0,3.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d5ac7146ea5dcd72b5104de2a7c6d301-p_e.jpg,False,True,False,False,False,False,False,44.901936,{'is_comingSoon': True},1920.0,-93.28098,sqft,6534.0,,,450000.0,,450000.0,,,False,MN,5536 Wentworth Ave,371000.0,178700000,,,,55419,1905198
3.0,3.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/46b2e457e2ab258a245d545eef58546d-p_e.jpg,False,True,False,False,False,False,False,44.929905,{'is_FSBA': True},2432.0,-93.21877,sqft,5227.2,,,499900.0,,499900.0,,2542,False,MN,4021 37th Ave S,401000.0,332857000,,,504000,55406,1748327
2.0,3.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/77ab922f4bffea62f0e47be7a7eb0ac0-p_e.jpg,False,True,False,False,False,False,False,44.91755,{'is_FSBA': True},1676.0,-93.317986,sqft,5662.8,,,495000.0,,495000.0,,3013,False,MN,4708 Washburn Ave S,416000.0,615226000,,,497000,55410,1846974
2.0,4.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cc553f24a034b78d96c52b016aa976ab-p_e.jpg,False,True,False,False,False,False,False,44.96071,"{'is_FSBA': True, 'is_openHouse': True}",1779.0,-93.2388,sqft,4791.6,Sun. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1739134800000, 'open_house_start': 1739127600000}]}",475000.0,,475000.0,,,False,MN,2313 E 22nd St,,430413000,,,475700,55406,445834689
4.0,5.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/1626d83ad20e341ecd3a2202f3c4b892-p_e.jpg,False,True,False,False,False,False,False,44.954155,{'is_FSBA': True},4780.0,-93.2966,sqft,6098.4,,,479000.0,,479000.0,,2051,False,MN,2637 Girard Ave S,419000.0,95606000,,,467500,55408,2002005
2.0,4.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/d42c9218020d03b6dfa9822348e9d6fb-p_e.jpg,False,True,False,False,False,False,False,44.940216,{'is_comingSoon': True},2883.0,-93.289116,sqft,0.11,,,475000.0,,475000.0,,,False,MN,3431 Aldrich Ave S,443000.0,190106000,,,,55408,1718237
3.0,4.0,Minneapolis,USA,USD,1738828800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9f5f7f989c185590da703dcaac0f2e67-p_e.jpg,False,True,False,False,False,False,False,44.935097,{'is_FSBA': True},2670.0,-93.25403,sqft,6534.0,,,479900.0,-19100,479900.0,"$19,100 (Feb 6)",1809,False,MN,3720 15th Ave S,211000.0,885306000,,,475900,55407,1706282
2.0,2.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/3b946e846015e551a7fadd84d9da6f89-p_e.jpg,False,True,False,False,False,False,False,44.981617,{'is_FSBA': True},1202.0,-93.26319,acres,0.9400000000000001,,,495000.0,,495000.0,,2456,False,MN,100 3rd Ave S UNIT 1404,520000.0,272292000,Unit 1404,,491500,55401,82647288
3.0,4.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aabfbfa24150cbe570c0a8db362c0649-p_e.jpg,False,True,False,False,False,False,False,44.944904,{'is_FSBA': True},3140.0,-93.29094,sqft,3484.8,,,474900.0,,474900.0,,3188,False,MN,3148 Bryant Ave S,438000.0,978239000,,,477300,55408,1717122
