bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
1.0,3.0,Parker,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b4219de1739018be3e27ccd2cceb175c-p_e.jpg,False,True,False,False,True,False,False,39.56145,{'is_FSBA': True},1192.0,-104.78616,sqft,5184.0,,,,480000.0,,480000.0,,2021,False,CO,8546 Willows Place,522349.0,1408423000,,481900,80134,13463901
3.0,3.0,Parker,1739404800000,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/6e88472d0e0b8ef1d7f6c4e86d5fc796-p_e.jpg,False,True,False,False,False,False,False,39.486366,{'is_comingSoon': True},2380.0,-104.75962,,,,,,475000.0,,475000.0,,,False,CO,19698 E Mann Creek Drive  Unit B,515160.0,202680000,Apt B,,80134,13475421
3.0,3.0,Parker,,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/b74accb2d764883a462b13f39a57ac0e-p_e.jpg,False,True,False,False,False,False,False,39.45721,{'is_FSBA': True},1992.0,-104.75483,,,,,,500000.0,,500000.0,,,False,CO,6539 Pinewood Drive  Unit 57,498037.0,692338000,# 57,,80134,13479127
3.0,3.0,Parker,,USA,USD,1736496000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b3280e489f2eaa1386693ae67ad85232-p_e.jpg,False,True,False,False,False,False,False,39.491005,{'is_FSBA': True},1615.0,-104.760895,sqft,3484.8,,,,500000.0,-10000,500000.0,"$10,000 (Jan 10)",,False,CO,19583 E Hollow Creek Drive,517202.0,12285142000,,,80134,13475450
2.0,4.0,Parker,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7e9d45115d9770055ae9ab448947e4eb-p_e.jpg,False,True,False,False,False,False,False,39.562885,{'is_FSBA': True},1217.0,-104.79721,sqft,4791.6,,,,450000.0,,450000.0,,2623,False,CO,8483 Sandreed Circle,468330.0,103940000,,450600,80134,13464525
3.0,3.0,Parker,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d9badbc3f107be6cf502d3800501c7e0-p_e.jpg,False,True,False,False,False,False,False,39.522152,{'is_FSBA': True},2548.0,-104.79262,sqft,5227.0,,,,500000.0,,500000.0,,2923,False,CO,10703 Jordan Court,623363.0,1913627000,,501000,80134,13470585
1.0,2.0,Parker,,USA,USD,1738569600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f7da58ba1941a2765ff9aa4586354e6a-p_e.jpg,False,True,False,False,False,False,False,39.56302,{'is_FSBA': True},1628.0,-104.79713,sqft,4792.0,,,,454900.0,-10000,454900.0,"$10,000 (Feb 3)",,False,CO,8479 Sandreed Circle,451924.0,12741150000,,,80134,13464526
3.0,3.0,Parker,,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/825af386327b0c124fa19538ca64c097-p_e.jpg,False,True,False,False,False,False,False,39.488365,{'is_FSBA': True},1665.0,-104.77826,sqft,871.0,,,,459000.0,,459000.0,,,False,CO,18189 E Saskatoon Place,498890.0,3725916000,,,80134,67454269
3.0,3.0,Parker,,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/f08b302a9108b25ddcff0d7acecdae0e-p_e.jpg,False,True,False,False,False,False,False,39.51396,{'is_FSBA': True},1520.0,-104.72125,acres,0.41,,,,495000.0,,495000.0,,,False,CO,23080 York Avenue,483514.0,249184000,,,80138,63128681
3.0,3.0,Parker,,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/602d6d27a9a27aea40f5000c98d78d2b-p_e.jpg,False,True,False,False,False,False,False,39.512173,{'is_FSBA': True},1470.0,-104.79259,acres,0.29,,,,450000.0,,450000.0,,,False,CO,11259 S Cedar Gulch Lane  Unit A,326447.0,7966807000,Unit A,,80134,82025292
