bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
3.0,4.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8ba0f184bae7bf6ba3c863353a13f77f-p_e.jpg,False,True,False,False,True,False,False,33.609715,{'is_FSBA': True},2068.0,-112.09761,sqft,8174.0,,,499995.0,,499995.0,,,False,AZ,13446 N 18th Ave,348800.0,490169000,,,85029,7784069
3.0,5.0,Glendale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8939ce05942aff912a84575804833ea0-p_e.jpg,False,True,False,False,True,False,False,33.65116,{'is_FSBA': True},2570.0,-112.13543,acres,0.2644628099173554,,,475000.0,,475000.0,,,False,AZ,18202 N 35th Dr,400700.0,584163000,,,85308,7947898
3.0,5.0,Laveen,USA,USD,1737532800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9c821f1a4f13a722a993c57accf112ff-p_e.jpg,False,True,False,False,False,False,False,33.375443,{'is_FSBA': True},3413.0,-112.210686,sqft,7200.0,,,496500.0,-2400,496500.0,"$2,400 (Jan 22)",,False,AZ,7811 S 71st Ave,455500.0,11562383000,,,85339,71613880
2.0,3.0,Glendale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b5d112973df1915f6f4e92e91980e4e2-p_e.jpg,False,True,False,False,True,False,False,33.65725,{'is_FSBA': True},1449.0,-112.15605,sqft,6960.0,,,450000.0,,450000.0,,,False,AZ,4436 W Morrow Dr,323800.0,420983000,,,85308,7938765
2.0,3.0,Phoenix,USA,USD,1739260800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/79f37670fb2f6087323570c73521c5f8-p_e.jpg,False,True,False,False,False,False,False,33.623344,{'is_FSBA': True},1548.0,-112.01899,sqft,4834.0,,,469500.0,-5450,469500.0,"$5,450 (Feb 11)",,False,AZ,2920 E Nisbet Ct,381000.0,10446626000,,,85032,8011643
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bd462fd6aebdfa517614c821b5cc9acb-p_e.jpg,False,True,False,False,False,False,False,33.553677,{'is_FSBA': True},1472.0,-112.09189,sqft,9448.0,,,450000.0,,450000.0,,,False,AZ,1511 W Loma Ln,436800.0,147747000,,,85021,7780165
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b20f75487c355933ae3f8477e41bd69e-p_e.jpg,False,True,False,False,False,False,False,33.665634,{'is_FSBA': True},1548.0,-112.049835,acres,0.26535812672176307,,,482000.0,,482000.0,,2967,False,AZ,1517 E Piute Ave,411500.0,250827000,,477900,85024,7995570
2.0,3.0,Glendale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5d795b539af7665ce5a78876883ae092-p_e.jpg,False,True,False,False,True,False,False,33.601574,{'is_FSBA': True},1936.0,-112.15725,sqft,9437.0,,,450000.0,,450000.0,,,False,AZ,4531 W Aster Dr,371600.0,692133000,,,85304,7955215
1.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ce5db3e58743475e4905603310952595-p_e.jpg,False,True,False,False,False,False,False,33.65352,"{'is_FSBA': True, 'is_openHouse': True}",1092.0,-111.98896,sqft,9254.0,Sat. 10am-12pm,"{'open_house_showing': [{'open_house_end': 1739649600000, 'open_house_start': 1739642400000}]}",499000.0,,499000.0,,,False,AZ,4311 E Bluefield Ave,320800.0,13276000,,,85032,8017908
2.0,4.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/96def51f2a65b5416813e39f8907547e-p_e.jpg,False,True,False,False,False,False,False,33.650707,{'is_FSBA': True},2066.0,-112.0819,sqft,7379.0,,,495000.0,,495000.0,,,False,AZ,605 W Michigan Ave,440800.0,35750000,,,85023,7956463
