bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,5.0,Queen Creek,USA,USD,1739260800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ed374352b2c23279f061d0a214198d6d-p_e.jpg,False,True,False,False,False,False,False,33.25439,{'is_FSBA': True},1970.0,-111.6303,sqft,7200.0,,,,487500.0,-2500,487500.0,"$2,500 (Feb 11)",,,,False,AZ,21003 E Estrella Rd,404100.0,13986392000,,,85142,95126020
2.0,3.0,San Tan Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8dba473bbdf6c2cf23f5a338c35ec60-p_e.jpg,False,True,False,False,False,False,False,33.19597,{'is_FSBA': True},1687.0,-111.60509,sqft,5518.0,,,,490000.0,,490000.0,,,,,False,AZ,34870 N Colony Rd,,13280000,,,85144,447237197
2.0,3.0,Queen Creek,USA,USD,1737792000000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/061779d509c12e26eb2f15d98a8e4bf9-p_e.jpg,False,True,False,False,False,False,False,33.25916,{'is_FSBA': True},1505.0,-111.62696,sqft,7472.0,,,,479900.0,-20090,479900.0,"$20,090 (Jan 25)",,,,False,AZ,21171 E Stirrup St,381800.0,3657799000,,,85142,67760954
2.0,3.0,Queen Creek,USA,USD,1738224000000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4e92842d11aa69b5a4c1747b07af0819-p_e.jpg,False,True,False,False,False,False,False,33.23584,{'is_FSBA': True},1710.0,-111.59843,sqft,5828.0,,,,450000.0,-35000,450000.0,"$35,000 (Jan 30)",,,2398,False,AZ,23406 S 225th St,391100.0,15321950000,,449200,85142,284850794
2.0,3.0,Queen Creek,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c9c958719e2a05cf7b2a6408636fc5f1-p_e.jpg,False,True,False,False,False,False,False,33.236202,{'is_FSBA': True},1506.0,-111.596855,sqft,5500.0,,,,475000.0,,475000.0,,,,,False,AZ,22543 E Calle De Flores,390300.0,2290894000,,,85142,240313363
2.0,3.0,Queen Creek,USA,USD,1739347200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c04aefb40f278da35baa97e4c19b325f-p_e.jpg,False,True,False,False,True,False,False,33.24075,"{'is_FSBA': True, 'is_openHouse': True}",2074.0,-111.63302,sqft,7732.0,,Sat. 11am-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739646000000}]}",488000.0,-7000,488000.0,"$7,000 (Feb 12)",,,,False,AZ,20838 E Via Del Rancho,429300.0,13804342000,,,85142,60050544
2.0,3.0,Queen Creek,USA,USD,1738915200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/da937ad6bf59a9a6d7a66e928402387f-p_e.jpg,False,True,False,False,False,False,False,33.238712,{'is_FSBA': True},1721.0,-111.619125,sqft,6601.0,,,,450000.0,-20000,450000.0,"$20,000 (Feb 7)",,,,False,AZ,23077 S 214th St,392300.0,25342102000,,,85142,67767213
3.0,4.0,San Tan Valley,USA,USD,1737532800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/96cc31ba04580cb2eb4fb22241c81fb4-p_e.jpg,False,True,False,False,False,False,False,33.257614,{'is_FSBA': True},2491.0,-111.5676,sqft,5586.0,,,,494900.0,-5100,494900.0,"$5,100 (Jan 22)",,,,False,AZ,391 W Dragon Tree Ave,443017.0,9211518000,,,85140,92432032
2.0,3.0,Queen Creek,USA,USD,1739260800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a5d5868a79a9995960f1dda5724178c1-p_e.jpg,False,True,False,False,False,False,False,33.261,{'is_FSBA': True},1625.0,-111.61839,sqft,9085.0,,,,453000.0,-5000,453000.0,"$5,000 (Feb 11)",,,,False,AZ,21574 E Bonanza Ct,385300.0,8984888000,,,85142,89456689
2.0,4.0,Queen Creek,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3a6632a26666fcce048e5854725db241-p_e.jpg,False,True,False,False,False,False,False,33.23555,{'is_FSBA': True},2038.0,-111.60888,sqft,5500.0,,,,499000.0,,499000.0,,,,,False,AZ,22177 E Calle De Flores,418300.0,545278000,,,85142,67772205
2.0,3.0,Queen Creek,USA,USD,1738310400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b1cd8d51f5d1edf3e87aec37fcde0a1e-p_e.jpg,False,True,False,False,False,False,False,33.210094,{'is_FSBA': True},1776.0,-111.58994,sqft,5626.0,,,,497900.0,-2000,497900.0,"$2,000 (Jan 31)",,,,False,AZ,22811 E Stacey Rd,86900.0,5297350000,,,85142,443368452
2.0,3.0,San Tan Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2a1cf6bea12d50b3aa7da29967979b37-p_e.jpg,False,True,False,False,False,False,False,33.25018,{'is_FSBA': True},1513.0,-111.57124,sqft,5962.0,,,,450000.0,,450000.0,,,,,False,AZ,741 W Harvest Rd,350695.0,618087000,,,85140,118951164
3.0,3.0,Queen Creek,USA,USD,1737014400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/699583f22e57cf73af93e3adfe202040-p_e.jpg,False,True,False,False,False,False,False,33.210964,{'is_FSBA': True},1814.0,-111.58532,sqft,5971.0,,,,498900.0,-1000,498900.0,"$1,000 (Jan 16)",,,,False,AZ,23069 E Orion Way,414600.0,5990406000,,,85142,2061562025
2.0,3.0,Queen Creek,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9e940937a666edb26369d6e5b3ee6923-p_e.jpg,False,True,False,False,False,False,False,33.23928,{'is_FSBA': True},1506.0,-111.59445,sqft,7228.0,,,,500000.0,,500000.0,,,,,False,AZ,22677 E Desert Spoon Dr,402200.0,6965849000,,,85142,157729510
1.0,2.0,Queen Creek,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/31fd848bd623c7f515262ecfe8efb187-p_e.jpg,False,True,False,False,True,False,False,33.209988,{'is_FSBA': True},1548.0,-111.68111,acres,0.7381083562901745,,,,495000.0,,495000.0,,,,,False,AZ,26207 S Lime Dr,376100.0,1844679000,,,85142,59258134
2.0,4.0,Tan Valley,USA,USD,1739260800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2873ce8a8b5d5153b99d6702e2d75fff-p_e.jpg,False,True,False,False,False,False,False,33.202065,{'is_newHome': True},1832.0,-111.61315,acres,0.29368686868686866,BUILDER_SPEC,,,457390.0,1000,457390.0,,,,,False,AZ,4354 W Jeanette Lane San,,73796000,,,85144,447246964
2.0,3.0,Queen Creek,USA,USD,1738396800000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e23444e12e94b12f3685aa56d2651557-p_e.jpg,False,True,False,True,False,False,False,33.20864,{'is_newHome': True},1877.0,-111.58926,,,BUILDER_PLAN,,,466490.0,1500,466490.0,,+,30761898,,False,AZ,"Copper Plan, Empire Pointe",,272627000,# RSHU9A,466000,85142,439258072
2.0,4.0,Queen Creek,USA,USD,1739433600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/202d3cf56024c330e1eb29e1ebfacace-p_e.jpg,False,True,False,False,False,False,False,33.23259,{'is_FSBA': True},1561.0,-111.62845,sqft,5054.0,,,,459900.0,-10000,459900.0,"$10,000 (Feb 13)",,,,False,AZ,21081 E Via De Olivos,373500.0,734422000,,,85142,95088859
2.0,3.0,Queen Creek,USA,USD,1738569600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/83aa86b3282b4f47b1681d612eaa2fd2-p_e.jpg,False,True,False,False,False,False,False,33.274437,{'is_FSBA': True},1555.0,-111.6333,sqft,5918.0,,,,485000.0,-10000,485000.0,"$10,000 (Feb 3)",,,,False,AZ,20871 E Kingbird Dr,414300.0,5903974000,,,85142,284852173
3.0,3.0,San Tan Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e9d736b532c822efaec04bb378eccf5d-p_e.jpg,False,True,False,False,False,False,False,33.193462,{'is_FSBA': True},1817.0,-111.602905,sqft,5521.0,,,,465000.0,,465000.0,,,,,False,AZ,3419 W Dreamy Draw Dr,,2908568000,,,85144,443924355
3.0,4.0,San Tan Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6095afb7ed71f63ad217c9b2a77e418c-p_e.jpg,False,True,False,False,False,False,False,33.259975,{'is_FSBA': True},2360.0,-111.568405,sqft,5521.0,,,,474990.0,,474990.0,,,,,False,AZ,480 W Cucumber Tree Ave,445600.0,1065936000,,,85140,185907752
3.0,3.0,San Tan Valley,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/10e7b735ee7a559498b5f1da0ea27cac-p_e.jpg,False,True,False,False,False,False,False,33.271317,{'is_FSBA': True},1846.0,-111.577484,sqft,2240.0,,,,454408.0,,454408.0,,,,,False,AZ,1185 W Sparrow Dr,,311763000,,,85140,447168177
2.0,3.0,Queen Creek,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3f3e48e88edca80ae9cae14c513c0fe1-p_e.jpg,False,True,False,True,False,False,False,33.207485,{'is_newHome': True},1775.0,-111.58779,sqft,5750.0,BUILDER_SPEC,,,467453.0,,467453.0,,,30761898,,False,AZ,26574 S 230th St,41900.0,1793926000,,,85142,352647216
3.0,4.0,Queen Creek,USA,USD,1737446400000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28c5f83e6b9a26e3707f56c6cb0d52ef-p_e.jpg,False,True,False,False,False,False,False,33.210964,{'is_FSBA': True},1951.0,-111.58515,sqft,5971.0,,,,497995.0,-1000,497995.0,"$1,000 (Jan 21)",,,,False,AZ,23075 E Orion Way,424600.0,9331483000,,,85142,2062305657
2.0,3.0,San Tan Valley,USA,USD,1737532800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f67e044a60315380a7db89d19db3735b-p_e.jpg,False,True,False,False,False,False,False,33.255318,{'is_FSBA': True},1873.0,-111.57445,sqft,5676.0,,,,456500.0,-300,456500.0,$300 (Jan 22),,,,False,AZ,901 W Witt Ave,391146.0,9843309000,,,85140,121924569
3.0,4.0,Tan Valley,USA,USD,1738828800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a5a0f6e83e191af1cc749e0bec8cdf75-p_e.jpg,False,True,False,True,False,False,False,33.201855,{'is_newHome': True},2342.0,-111.62056,sqft,7500.0,BUILDER_SPEC,,,499490.0,-4000,499490.0,"$4,000 (Feb 6)",,29659227,,False,AZ,5065 W Hunter Trail San,,856202000,,,85144,416555273
2.0,3.0,Queen Creek,USA,USD,1738396800000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ed85e7d8785b20df537e2056537a7e9e-p_e.jpg,False,True,False,True,False,False,False,33.20864,{'is_newHome': True},1775.0,-111.58926,,,BUILDER_PLAN,,,452990.0,2000,452990.0,,+,30761898,,False,AZ,"Brandy Plan, Empire Pointe",,253796000,# SBWEGJ,452600,85142,439258044
2.0,3.0,Queen Creek,USA,USD,1738483200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/02328211c05f1aa228d6ba612fd38b49-p_e.jpg,False,True,False,True,False,False,False,33.20706,"{'is_newHome': True, 'is_openHouse': True}",1877.0,-111.58634,sqft,5750.0,BUILDER_SPEC,Sat. 11am-4pm,"{'open_house_showing': [{'open_house_end': 1739664000000, 'open_house_start': 1739646000000}, {'open_house_end': 1740268800000, 'open_house_start': 1740250800000}, {'open_house_end': 1740873600000, 'open_house_start': 1740855600000}]}",497932.0,-500,497932.0,$500 (Feb 2),,30761898,,False,AZ,23054 E Starflower Dr,41900.0,12295750000,,,85142,352647252
2.0,3.0,San Tan Valley,USA,USD,1738828800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eb9f676181b3695585efa55ee750dc78-p_e.jpg,False,True,False,True,False,False,False,33.203823,{'is_newHome': True},1844.0,-111.613556,sqft,7431.0,BUILDER_SPEC,,,459990.0,15000,459990.0,,,29659226,,False,AZ,4406 W Josephine St,,2844968000,,,85144,443729883
3.0,3.0,Valley,USA,USD,1739001600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a69bf7ad373c242b99c0798d8897a26e-p_e.jpg,False,True,False,True,False,False,False,33.19737,{'is_newHome': True},2212.0,-111.605034,,,BUILDER_SPEC,,,494995.0,-30000,494995.0,"$30,000 (Feb 8)",,29380985,,False,AZ,35024 Augite Way San #TAN,,426460000,# TAN,,99181,447154559
2.0,3.0,San Tan Valley,USA,USD,1738915200000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9b8b6b595c97b9aad50a6a074caf970e-p_e.jpg,False,True,False,False,False,False,False,33.20038,{'is_FSBA': True},1795.0,-111.59692,sqft,5933.0,,,,457900.0,-1000,457900.0,"$1,000 (Feb 7)",,,,False,AZ,2864 W Canada De Oro Rd,,4867525000,,,85144,443527163
2.0,3.0,Queen Creek,USA,USD,1729753200000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a851e999d7d0c59deb3aa4d95c9b32c1-p_e.jpg,False,True,False,True,False,False,False,33.268612,{'is_newHome': True},1621.0,-111.62842,,,BUILDER_PLAN,,,472990.0,2000,472990.0,,+,29994934,2347,False,AZ,"Plan 1621 Modeled Plan, The Enclaves at Sonrisa",,1626723000,# UPRTM5,,85142,2056968304
3.0,3.0,San Tan Valley,USA,USD,1738828800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/50e83eb7a1028d455469ea01f0e58bc3-p_e.jpg,False,True,False,False,False,False,False,33.197063,{'is_FSBA': True},1830.0,-111.60384,sqft,6126.0,,,,499400.0,-100,499400.0,$100 (Feb 6),,,,False,AZ,34980 N Sacramento Wash Rd,,10225189000,,,85144,441876380
2.0,3.0,Queen Creek,USA,USD,1739001600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3064cea9476a6194bd40f0c809286f66-p_e.jpg,False,True,False,False,False,False,False,33.261806,{'is_newHome': True},1567.0,-111.59083,sqft,6000.0,BUILDER_SPEC,,,489990.0,-10000,489990.0,"$10,000 (Feb 8)",,,,False,AZ,22827 E Lords Way,86900.0,2809453000,,,85142,443963797
