bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,4.0,Shakopee,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2746f5754e7653227720e252f286b6ad-p_e.jpg,False,True,False,False,False,False,False,44.766617,"{'is_FSBA': True, 'is_openHouse': True}",2500.0,-93.548615,acres,0.27,,Sun. 12-2:30pm,"{'open_house_showing': [{'open_house_end': 1739745000000, 'open_house_start': 1739736000000}]}",500000.0,,500000.0,,,,,False,MN,1770 Athens Ter,520200.0,2525375000,,,55379,2057003146
2.0,4.0,Shakopee,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1f53dec12170bcad1216524b2b489406-p_e.jpg,False,True,False,False,False,False,False,44.77929,"{'is_FSBA': True, 'is_openHouse': True}",1995.0,-93.514694,sqft,10454.4,,Thu. 4-6pm,"{'open_house_showing': [{'open_house_end': 1739498400000, 'open_house_start': 1739491200000}]}",470000.0,,470000.0,,,,2376,False,MN,1631 Primrose Ln,348000.0,813284000,,468300,55379,2190446
3.0,4.0,Shakopee,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b0ccdc258b6a0ec811eec22245cc0b46-p_e.jpg,False,True,False,False,False,False,False,44.779762,{'is_FSBA': True},2714.0,-93.519,sqft,10454.4,,,,489900.0,,489900.0,,,,2824,False,MN,1535 Monarch St,403400.0,3175779000,,488300,55379,2190506
2.0,3.0,Shakopee,USA,USD,1738224000000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3722516459c6b83d87a51aaf0f66688d-p_e.jpg,False,True,False,False,False,False,False,44.764355,{'is_FSBA': True},1808.0,-93.54966,sqft,10018.8,,,,495000.0,-10000,495000.0,"$10,000 (Jan 30)",,,2641,False,MN,1841 Arcadia St,481700.0,2021694000,,493900,55379,335632189
3.0,3.0,Shakopee,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c660f37ec1296d630b0c1332fc6ee252-p_e.jpg,False,True,False,False,False,False,False,44.777428,{'is_newHome': True},1713.0,-93.48134,acres,0.26,BUILDER_SPEC,,,478900.0,,478900.0,,,,,False,MN,2958 Trinity Dr,140900.0,1628104000,,,55379,339640657
3.0,3.0,Shakopee,USA,USD,1736496000000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b4860ad35ea012df6bfdabcc440287b1-p_e.jpg,False,True,False,True,False,False,False,44.766235,"{'is_newHome': True, 'is_openHouse': True}",1842.0,-93.54712,sqft,10454.4,BUILDER_SPEC,Thu. 12-5pm,"{'open_house_showing': [{'open_house_end': 1739494800000, 'open_house_start': 1739476800000}, {'open_house_end': 1739581200000, 'open_house_start': 1739563200000}, {'open_house_end': 1739667600000, 'open_house_start': 1739649600000}, {'open_house_end': 1739754000000, 'open_house_start': 1739736000000}, {'open_house_end': 1739840400000, 'open_house_start': 1739822400000}, {'open_house_end': 1739926800000, 'open_house_start': 1739908800000}, {'open_house_end': 1740013200000, 'open_house_start': 1739995200000}, {'open_house_end': 1740099600000, 'open_house_start': 1740081600000}, {'open_house_end': 1740186000000, 'open_house_start': 1740168000000}, {'open_house_end': 1740272400000, 'open_house_start': 1740254400000}, {'open_house_end': 1740358800000, 'open_house_start': 1740340800000}, {'open_house_end': 1740445200000, 'open_house_start': 1740427200000}, {'open_house_end': 1740531600000, 'open_house_start': 1740513600000}, {'open_house_end': 1740618000000, 'open_house_start': 1740600000000}, {'open_house_end': 1740704400000, 'open_house_start': 1740686400000}, {'open_house_end': 1740790800000, 'open_house_start': 1740772800000}, {'open_house_end': 1740877200000, 'open_house_start': 1740859200000}, {'open_house_end': 1740963600000, 'open_house_start': 1740945600000}, {'open_house_end': 1741050000000, 'open_house_start': 1741032000000}, {'open_house_end': 1741136400000, 'open_house_start': 1741118400000}, {'open_house_end': 1741222800000, 'open_house_start': 1741204800000}, {'open_house_end': 1741309200000, 'open_house_start': 1741291200000}, {'open_house_end': 1741395600000, 'open_house_start': 1741377600000}, {'open_house_end': 1741482000000, 'open_house_start': 1741464000000}, {'open_house_end': 1741564800000, 'open_house_start': 1741546800000}, {'open_house_end': 1741651200000, 'open_house_start': 1741633200000}, {'open_house_end': 1741737600000, 'open_house_start': 1741719600000}, {'open_house_end': 1741824000000, 'open_house_start': 1741806000000}, {'open_house_end': 1741910400000, 'open_house_start': 1741892400000}, {'open_house_end': 1741996800000, 'open_house_start': 1741978800000}, {'open_house_end': 1742083200000, 'open_house_start': 1742065200000}, {'open_house_end': 1742169600000, 'open_house_start': 1742151600000}, {'open_house_end': 1742256000000, 'open_house_start': 1742238000000}, {'open_house_end': 1742342400000, 'open_house_start': 1742324400000}, {'open_house_end': 1742428800000, 'open_house_start': 1742410800000}, {'open_house_end': 1742515200000, 'open_house_start': 1742497200000}, {'open_house_end': 1742601600000, 'open_house_start': 1742583600000}, {'open_house_end': 1742688000000, 'open_house_start': 1742670000000}, {'open_house_end': 1742774400000, 'open_house_start': 1742756400000}, {'open_house_end': 1742860800000, 'open_house_start': 1742842800000}, {'open_house_end': 1742947200000, 'open_house_start': 1742929200000}, {'open_house_end': 1743033600000, 'open_house_start': 1743015600000}, {'open_house_end': 1743120000000, 'open_house_start': 1743102000000}, {'open_house_end': 1743206400000, 'open_house_start': 1743188400000}, {'open_house_end': 1743292800000, 'open_house_start': 1743274800000}, {'open_house_end': 1743379200000, 'open_house_start': 1743361200000}, {'open_house_end': 1743465600000, 'open_house_start': 1743447600000}, {'open_house_end': 1743552000000, 'open_house_start': 1743534000000}, {'open_house_end': 1743638400000, 'open_house_start': 1743620400000}, {'open_house_end': 1743724800000, 'open_house_start': 1743706800000}, {'open_house_end': 1743811200000, 'open_house_start': 1743793200000}, {'open_house_end': 1743897600000, 'open_house_start': 1743879600000}, {'open_house_end': 1743984000000, 'open_house_start': 1743966000000}, {'open_house_end': 1744070400000, 'open_house_start': 1744052400000}, {'open_house_end': 1744156800000, 'open_house_start': 1744138800000}, {'open_house_end': 1744243200000, 'open_house_start': 1744225200000}, {'open_house_end': 1744329600000, 'open_house_start': 1744311600000}, {'open_house_end': 1744416000000, 'open_house_start': 1744398000000}, {'open_house_end': 1744502400000, 'open_house_start': 1744484400000}, {'open_house_end': 1744588800000, 'open_house_start': 1744570800000}, {'open_house_end': 1744675200000, 'open_house_start': 1744657200000}, {'open_house_end': 1744761600000, 'open_house_start': 1744743600000}, {'open_house_end': 1744848000000, 'open_house_start': 1744830000000}, {'open_house_end': 1744934400000, 'open_house_start': 1744916400000}, {'open_house_end': 1745020800000, 'open_house_start': 1745002800000}, {'open_house_end': 1745107200000, 'open_house_start': 1745089200000}, {'open_house_end': 1745193600000, 'open_house_start': 1745175600000}, {'open_house_end': 1745280000000, 'open_house_start': 1745262000000}, {'open_house_end': 1745366400000, 'open_house_start': 1745348400000}, {'open_house_end': 1745452800000, 'open_house_start': 1745434800000}, {'open_house_end': 1745539200000, 'open_house_start': 1745521200000}, {'open_house_end': 1745625600000, 'open_house_start': 1745607600000}, {'open_house_end': 1745712000000, 'open_house_start': 1745694000000}, {'open_house_end': 1745798400000, 'open_house_start': 1745780400000}, {'open_house_end': 1745884800000, 'open_house_start': 1745866800000}, {'open_house_end': 1745971200000, 'open_house_start': 1745953200000}, {'open_house_end': 1746057600000, 'open_house_start': 1746039600000}, {'open_house_end': 1746144000000, 'open_house_start': 1746126000000}, {'open_house_end': 1746230400000, 'open_house_start': 1746212400000}, {'open_house_end': 1746316800000, 'open_house_start': 1746298800000}, {'open_house_end': 1746403200000, 'open_house_start': 1746385200000}, {'open_house_end': 1746489600000, 'open_house_start': 1746471600000}, {'open_house_end': 1746576000000, 'open_house_start': 1746558000000}, {'open_house_end': 1746662400000, 'open_house_start': 1746644400000}, {'open_house_end': 1746748800000, 'open_house_start': 1746730800000}, {'open_house_end': 1746835200000, 'open_house_start': 1746817200000}, {'open_house_end': 1746921600000, 'open_house_start': 1746903600000}, {'open_house_end': 1747008000000, 'open_house_start': 1746990000000}, {'open_house_end': 1747094400000, 'open_house_start': 1747076400000}, {'open_house_end': 1747180800000, 'open_house_start': 1747162800000}, {'open_house_end': 1747267200000, 'open_house_start': 1747249200000}, {'open_house_end': 1747353600000, 'open_house_start': 1747335600000}, {'open_house_end': 1747440000000, 'open_house_start': 1747422000000}, {'open_house_end': 1747526400000, 'open_house_start': 1747508400000}, {'open_house_end': 1747612800000, 'open_house_start': 1747594800000}, {'open_house_end': 1747699200000, 'open_house_start': 1747681200000}, {'open_house_end': 1747785600000, 'open_house_start': 1747767600000}, {'open_house_end': 1747872000000, 'open_house_start': 1747854000000}, {'open_house_end': 1747958400000, 'open_house_start': 1747940400000}, {'open_house_end': 1748044800000, 'open_house_start': 1748026800000}, {'open_house_end': 1748131200000, 'open_house_start': 1748113200000}, {'open_house_end': 1748217600000, 'open_house_start': 1748199600000}, {'open_house_end': 1748304000000, 'open_house_start': 1748286000000}, {'open_house_end': 1748390400000, 'open_house_start': 1748372400000}, {'open_house_end': 1748476800000, 'open_house_start': 1748458800000}, {'open_house_end': 1748563200000, 'open_house_start': 1748545200000}, {'open_house_end': 1748649600000, 'open_house_start': 1748631600000}, {'open_house_end': 1748736000000, 'open_house_start': 1748718000000}, {'open_house_end': 1748822400000, 'open_house_start': 1748804400000}, {'open_house_end': 1748908800000, 'open_house_start': 1748890800000}, {'open_house_end': 1748995200000, 'open_house_start': 1748977200000}, {'open_house_end': 1749081600000, 'open_house_start': 1749063600000}, {'open_house_end': 1749168000000, 'open_house_start': 1749150000000}, {'open_house_end': 1749254400000, 'open_house_start': 1749236400000}, {'open_house_end': 1749340800000, 'open_house_start': 1749322800000}, {'open_house_end': 1749427200000, 'open_house_start': 1749409200000}, {'open_house_end': 1749513600000, 'open_house_start': 1749495600000}, {'open_house_end': 1749600000000, 'open_house_start': 1749582000000}, {'open_house_end': 1749686400000, 'open_house_start': 1749668400000}, {'open_house_end': 1749772800000, 'open_house_start': 1749754800000}, {'open_house_end': 1749859200000, 'open_house_start': 1749841200000}, {'open_house_end': 1749945600000, 'open_house_start': 1749927600000}, {'open_house_end': 1750032000000, 'open_house_start': 1750014000000}, {'open_house_end': 1750118400000, 'open_house_start': 1750100400000}, {'open_house_end': 1750204800000, 'open_house_start': 1750186800000}, {'open_house_end': 1750291200000, 'open_house_start': 1750273200000}, {'open_house_end': 1750377600000, 'open_house_start': 1750359600000}, {'open_house_end': 1750464000000, 'open_house_start': 1750446000000}, {'open_house_end': 1750550400000, 'open_house_start': 1750532400000}, {'open_house_end': 1750636800000, 'open_house_start': 1750618800000}, {'open_house_end': 1750723200000, 'open_house_start': 1750705200000}, {'open_house_end': 1750809600000, 'open_house_start': 1750791600000}, {'open_house_end': 1750896000000, 'open_house_start': 1750878000000}, {'open_house_end': 1750982400000, 'open_house_start': 1750964400000}, {'open_house_end': 1751068800000, 'open_house_start': 1751050800000}, {'open_house_end': 1751155200000, 'open_house_start': 1751137200000}, {'open_house_end': 1751241600000, 'open_house_start': 1751223600000}, {'open_house_end': 1751328000000, 'open_house_start': 1751310000000}, {'open_house_end': 1751414400000, 'open_house_start': 1751396400000}, {'open_house_end': 1751500800000, 'open_house_start': 1751482800000}, {'open_house_end': 1751587200000, 'open_house_start': 1751569200000}, {'open_house_end': 1751673600000, 'open_house_start': 1751655600000}, {'open_house_end': 1751760000000, 'open_house_start': 1751742000000}, {'open_house_end': 1751846400000, 'open_house_start': 1751828400000}, {'open_house_end': 1751932800000, 'open_house_start': 1751914800000}, {'open_house_end': 1752019200000, 'open_house_start': 1752001200000}, {'open_house_end': 1752105600000, 'open_house_start': 1752087600000}, {'open_house_end': 1752192000000, 'open_house_start': 1752174000000}, {'open_house_end': 1752278400000, 'open_house_start': 1752260400000}, {'open_house_end': 1752364800000, 'open_house_start': 1752346800000}, {'open_house_end': 1752451200000, 'open_house_start': 1752433200000}, {'open_house_end': 1752537600000, 'open_house_start': 1752519600000}, {'open_house_end': 1752624000000, 'open_house_start': 1752606000000}, {'open_house_end': 1752710400000, 'open_house_start': 1752692400000}, {'open_house_end': 1752796800000, 'open_house_start': 1752778800000}, {'open_house_end': 1752883200000, 'open_house_start': 1752865200000}, {'open_house_end': 1752969600000, 'open_house_start': 1752951600000}, {'open_house_end': 1753056000000, 'open_house_start': 1753038000000}, {'open_house_end': 1753142400000, 'open_house_start': 1753124400000}, {'open_house_end': 1753228800000, 'open_house_start': 1753210800000}, {'open_house_end': 1753315200000, 'open_house_start': 1753297200000}, {'open_house_end': 1753401600000, 'open_house_start': 1753383600000}, {'open_house_end': 1753488000000, 'open_house_start': 1753470000000}, {'open_house_end': 1753574400000, 'open_house_start': 1753556400000}, {'open_house_end': 1753660800000, 'open_house_start': 1753642800000}, {'open_house_end': 1753747200000, 'open_house_start': 1753729200000}, {'open_house_end': 1753833600000, 'open_house_start': 1753815600000}, {'open_house_end': 1753920000000, 'open_house_start': 1753902000000}, {'open_house_end': 1754006400000, 'open_house_start': 1753988400000}, {'open_house_end': 1754092800000, 'open_house_start': 1754074800000}, {'open_house_end': 1754179200000, 'open_house_start': 1754161200000}, {'open_house_end': 1754265600000, 'open_house_start': 1754247600000}, {'open_house_end': 1754352000000, 'open_house_start': 1754334000000}, {'open_house_end': 1754438400000, 'open_house_start': 1754420400000}, {'open_house_end': 1754524800000, 'open_house_start': 1754506800000}]}",459990.0,-8240,459990.0,"$8,240 (Jan 10)",,29526283,,False,MN,2092 Aloha Ave,157700.0,7906305000,,,55379,339640845
3.0,4.0,Shakopee,USA,USD,1738569600000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/24555b47e1a5f54eb9e89048c1e0d5a0-p_e.jpg,False,True,False,True,False,False,False,44.75899,{'is_newHome': True},2323.0,-93.55074,,,BUILDER_PLAN,,,490990.0,6000,490990.0,,+,30296388,,False,MN,"The Holcombe Plan, Highview Park Express Select",,95082000,# WVT1BA,491100,55379,439174030
3.0,3.0,Shakopee,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9b31320524ef62d7e6f1b1c49338d453-p_e.jpg,False,True,False,False,False,False,False,44.77062,{'is_newHome': True},2033.0,-93.47358,sqft,5662.8,BUILDER_SPEC,,,488450.0,,488450.0,,,,,False,MN,3896 Wren Ave,124900.0,221369000,,,55379,442606509
3.0,4.0,Shakopee,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bb131a9ccf5ca61aa000e714bd261ca4-p_e.jpg,False,True,False,False,False,False,False,44.77056,{'is_newHome': True},2293.0,-93.471275,sqft,5227.2,BUILDER_SPEC,,,481990.0,,481990.0,,,,,False,MN,3854 Wren Ave,129800.0,2740218000,,,55379,401871437
3.0,4.0,Shakopee,USA,USD,1735718400000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f8c904c76f3e6df9ebd68c938406aa6a-p_e.jpg,False,True,False,True,False,False,False,44.7603,{'is_newHome': True},2342.0,-93.4877,,,BUILDER_PLAN,,,491990.0,2000,491990.0,,+,30864426,,False,MN,"Marquette Plan, Arbor Bluff : Venture Collection",,6289692000,# XTDX19,491700,55379,442654829
