bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,4.0,Tempe,USA,USD,1733299200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6a0a12f1cb04963e301de16f04791689-p_e.jpg,False,True,False,False,False,False,False,33.380505,{'is_FSBA': True},1990.0,-111.90583,sqft,8782.0,485000.0,-10000,485000.0,"$10,000 (Dec 4)",2738,False,AZ,1873 E Ellis Dr,417500.0,21405987000,,,85282,7592284
2.0,3.0,Tempe,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a38f77802b50a503410a0a869d1c91ff-p_e.jpg,False,True,False,False,False,False,False,33.386635,{'is_FSBA': True},1538.0,-111.94579,sqft,8268.0,485000.0,,485000.0,,2259,False,AZ,406 W Riviera Dr,351800.0,565721000,,482000,85282,7554255
2.0,5.0,Tempe,USA,USD,1738224000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/43e481928d5b22eef30fc25d2d2be4c6-p_e.jpg,False,True,False,False,False,False,False,33.41733,{'is_FSBA': True},1764.0,-111.89426,sqft,7527.0,459900.0,-6000,459900.0,"$6,000 (Jan 30)",,False,AZ,1018 S Lola Ln,367500.0,19770796000,,,85281,7586596
2.0,3.0,Tempe,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f8eefd83bf40890dadfd2e95068b7ada-p_e.jpg,False,True,False,False,False,False,False,33.375637,{'is_FSBA': True},1267.0,-111.93328,sqft,8292.0,478000.0,,478000.0,,,False,AZ,5343 S El Camino Dr,390600.0,1192204000,,,85283,89572901
2.0,3.0,Tempe,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7fd7e24ad60cf066fdfb86c61f27c04f-p_e.jpg,False,True,False,False,False,False,False,33.344868,{'is_FSBA': True},1201.0,-111.908,sqft,4652.0,499900.0,,499900.0,,,False,AZ,1841 E Secretariat Dr,348100.0,1901617000,,,85284,8261405
2.0,4.0,Tempe,USA,USD,1738742400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c665f74f072068bb50197992939762e8-p_e.jpg,False,True,False,False,False,False,False,33.398335,{'is_FSBA': True},1655.0,-111.92602,sqft,7636.0,499500.0,-15300,499500.0,"$15,300 (Feb 5)",,False,AZ,903 E Campus Dr,387200.0,5338504000,,,85282,7589674
2.0,3.0,Tempe,USA,USD,1739347200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e589a0369696ba4b6d66017f3b3ae43b-p_e.jpg,False,True,False,False,False,False,False,33.40314,{'is_FSBA': True},1812.0,-111.888565,sqft,7344.0,485000.0,-14990,485000.0,"$14,990 (Feb 12)",,False,AZ,2326 E Aspen Dr,432800.0,5496386000,,,85282,7602982
2.0,4.0,Tempe,USA,USD,1738569600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/469e39d05097ead941d57530d8d096d7-p_e.jpg,False,True,False,False,False,False,False,33.389404,{'is_FSBA': True},2134.0,-111.95788,sqft,7884.0,470000.0,-25000,470000.0,"$25,000 (Feb 3)",,False,AZ,1231 W La Jolla Dr,437500.0,3967474000,,,85282,7553534
2.0,3.0,Tempe,USA,USD,1738310400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/077675f404e8a80a35d611bf55575161-p_e.jpg,False,True,False,False,False,False,False,33.388092,{'is_FSBA': True},1524.0,-111.88859,sqft,6747.0,469900.0,-15000,469900.0,"$15,000 (Jan 31)",,False,AZ,2325 E Hermosa Dr,402300.0,7175475000,,,85282,7603812
2.0,3.0,Tempe,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7374502380390c82aa0aa7e69591af2c-p_e.jpg,False,True,False,False,False,False,False,33.447075,{'is_FSBA': True},1400.0,-111.91838,sqft,6024.0,459900.0,,459900.0,,,False,AZ,1243 E Susan Ln,421100.0,1018512000,,,85281,7584676
