bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
3.0,3.0,Westminster,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/d7b9ec1f36448e970f6c646480b98af8-p_e.jpg,False,True,False,False,False,False,False,39.900005,{'is_FSBA': True},2026.0,-105.02792,sqft,4184.0,,,480000.0,,480000.0,,2906,False,CO,11235 Irving Drive  Unit F,461000.0,561262000,Unit F,,478100,80031,58650968
3.0,3.0,Westminster,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/65c41fdccf607cac364f2e80e72a2b2b-p_e.jpg,False,True,False,False,False,False,False,39.88731,{'is_FSBA': True},1471.0,-105.09743,sqft,2600.0,,,495000.0,,495000.0,,,False,CO,9139 W 104th Circle,517295.0,485107000,,,,80021,82593944
2.0,3.0,Arvada,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e610dce93234b86c9ccb7e422318bc27-p_e.jpg,False,True,False,False,False,False,False,39.835915,{'is_FSBA': True},1235.0,-105.05945,sqft,4791.6,,,490000.0,,490000.0,,2579,False,CO,5783 W 76th Drive,528421.0,1868747000,,1,496600,80003,13703936
2.0,4.0,Westminster,USA,USD,1736150400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d6883b595c320d06027fff7631fe8dba-p_e.jpg,False,True,False,False,False,False,False,39.83868,{'is_FSBA': True},2160.0,-105.03755,sqft,7750.0,,,500000.0,-25000,500000.0,"$25,000 (Jan 6)",2757,False,CO,7820 Mccella Court,463000.0,21804517000,,,500400,80030,12994299
2.0,3.0,Westminster,USA,USD,1737705600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c97bf22ab3feabb26e2e4da9318c7360-p_e.jpg,False,True,False,False,False,False,False,39.86436,{'is_FSBA': True},1614.0,-105.02984,sqft,7841.0,,,465000.0,-10000,465000.0,"$10,000 (Jan 24)",,False,CO,9241 Hazel Ct,467000.0,3183497000,,,,80031,12981407
3.0,3.0,Westminster,USA,USD,1736323200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2ae57ddcad52bd52a5e6c5c81ba04e31-p_e.jpg,False,True,False,False,False,False,False,39.858112,{'is_FSBA': True},1288.0,-105.03634,sqft,2528.0,,,465000.0,-10000,465000.0,"$10,000 (Jan 8)",2781,False,CO,8865 Meade Court,438000.0,6013252000,,,464000,80031,12980918
3.0,3.0,Westminster,USA,USD,1736496000000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/f1ef8b72334a510b1bfd1058c0abb011-p_e.jpg,False,True,False,False,False,False,False,39.900097,{'is_FSBA': True},2614.0,-105.01267,sqft,1829.0,,,494000.0,-5000,494000.0,"$5,000 (Jan 10)",2841,False,CO,2126 Ranch Dr,449000.0,12124393000,,,493800,80234,12963790
3.0,2.0,Westminster,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/cda6d8bb2acb8158896c62644a79edf1-p_e.jpg,False,True,False,False,True,False,False,39.9,{'is_FSBA': True},1838.0,-105.01148,sqft,1817.0,,,475000.0,,475000.0,,,False,CO,2103 Ranch Drive,450000.0,2992817000,,,,80234,12963772
2.0,4.0,Westminster,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2c1fbebada573fdbd960b57ce88af33b-p_e.jpg,False,True,False,False,False,False,False,39.83962,"{'is_FSBA': True, 'is_openHouse': True}",2160.0,-105.0379,sqft,7500.0,Sat. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1739653200000, 'open_house_start': 1739646000000}, {'open_house_end': 1739739600000, 'open_house_start': 1739732400000}]}",500000.0,,500000.0,,,False,CO,7891 Maria Street,449000.0,67210000,,,,80030,12994311
3.0,4.0,Westminster,USA,USD,1739347200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/52f20c049ecace23d220a4d9a3671221-p_e.jpg,False,True,False,False,False,False,False,39.867153,{'is_FSBA': True},2214.0,-105.032364,sqft,7150.0,,,499500.0,-500,499500.0,$500 (Feb 12),3334,False,CO,3400 Mowry Place,515000.0,68156862000,,1,,80031,12981316
