bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eb516508f83df49e186003f65924ba46-p_e.jpg,True,True,False,False,False,False,False,False,39.773445,{},1465.0,-104.72911,,,3450.0,,3450.0,,2814,False,CO,4012 N Rome St,475000.0,139628000,,472300,80019,337810139
3.0,4.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d940591062e9c273df52d97efcf36b6b-p_e.jpg,True,True,False,False,False,False,False,False,39.715233,{},1680.0,-104.85763,,,2925.0,,2925.0,,3053,False,CO,7 Macon Ct,515900.0,220870000,,502500,80010,13038557
2.0,2.0,Aurora,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d1f9ca3ae3dab97d41082d32f75b9ad3-p_e.jpg,True,True,False,False,False,False,False,False,39.804874,{},1294.0,-104.759834,,,2500.0,-150,2500.0,$150 (Feb 11),2379,False,CO,19620 E 59th Dr,488000.0,500373000,,447500,80019,49458018
3.0,4.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/db23ef672e2c36033137b0fe002f0a08-p_e.jpg,True,True,False,False,False,False,False,False,39.71186,{},3347.0,-104.67138,,,3600.0,,3600.0,,3210,False,CO,238 S Scottsburg Ct,711300.0,2725285000,,658700,80018,295029298
2.0,4.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/634ecc7fff89906f920205fca57ec337-p_e.jpg,True,True,False,False,False,False,False,False,39.647495,{},1361.0,-104.758316,,,2499.0,,2499.0,,2462,False,CO,3762 S Genoa Cir UNIT B,390300.0,1250862000,Unit B,363800,80013,13092849
2.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/76c08c1b04ea4e2b88e6dc065e77a8ef-p_e.jpg,True,True,False,False,False,False,False,False,39.64011,{},1297.0,-104.75307,,,2695.0,,2695.0,,2458,False,CO,4208 S Himalaya Way,565500.0,24511000,,508600,80013,13092108
2.0,4.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dc100e640a94b59d8e56078b1e6055d6-p_e.jpg,True,True,False,False,False,False,False,False,39.702526,{},2244.0,-104.78218,,,2995.0,,2995.0,,2703,False,CO,17673 E Ohio Cir,474800.0,36024000,,445100,80017,13063451
2.0,3.0,Aurora,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/078ae6e1d7beb6b488fabb42a87f0d39-p_e.jpg,True,True,False,False,False,False,False,False,39.73152,{},1098.0,-104.834885,,,2700.0,-150,2700.0,$150 (Feb 11),2628,False,CO,981 Vaughn St,441100.0,1850542000,,396600,80011,13033391
2.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8f33f407395f4dd1578fd528baf546dc-p_e.jpg,True,True,False,False,False,False,False,False,39.6561,{},1543.0,-104.80281,,,2795.0,,2795.0,,2624,False,CO,3293 S Kalispell St,528800.0,171767000,,461900,80013,13085058
2.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d1a99ca4836eb4a6e4d0f582e2d4f33-p_e.jpg,True,True,False,False,False,False,False,False,39.639282,{},1238.0,-104.7863,,,2795.0,,2795.0,,2198,False,CO,17223 E Purdue Pl,520600.0,171781000,,432300,80013,13096572
3.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc9520055bc68c255e20fbd60e8dbd1c-p_e.jpg,True,True,False,False,False,False,False,False,39.715042,{},1454.0,-104.81196,sqft,3486.0,2850.0,,2850.0,,2656,False,CO,15125 E Bayaud Pl,507600.0,1499463000,,463700,80012,58889164
2.0,4.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7cea21ddfa8e16a80892ae7305732044-p_e.jpg,True,True,False,False,False,False,False,False,39.733986,{},1500.0,-104.793884,,,2625.0,,2625.0,,2667,False,CO,1122 Nucla St,513800.0,560824000,,421400,80011,13060387
