bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,2.0,Aurora,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d1f9ca3ae3dab97d41082d32f75b9ad3-p_e.jpg,True,True,False,False,False,False,False,False,39.804874,{},1294.0,-104.759834,2500.0,-150,2500.0,$150 (Feb 11),2379,False,CO,19620 E 59th Dr,488000.0,500373000,,447500,80019,49458018
2.0,4.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/634ecc7fff89906f920205fca57ec337-p_e.jpg,True,True,False,False,False,False,False,False,39.647495,{},1361.0,-104.758316,2499.0,,2499.0,,2462,False,CO,3762 S Genoa Cir UNIT B,390300.0,1250862000,Unit B,363800,80013,13092849
2.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/76c08c1b04ea4e2b88e6dc065e77a8ef-p_e.jpg,True,True,False,False,False,False,False,False,39.64011,{},1297.0,-104.75307,2695.0,,2695.0,,2458,False,CO,4208 S Himalaya Way,565500.0,24511000,,508600,80013,13092108
2.0,3.0,Aurora,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/078ae6e1d7beb6b488fabb42a87f0d39-p_e.jpg,True,True,False,False,False,False,False,False,39.73152,{},1098.0,-104.834885,2700.0,-150,2700.0,$150 (Feb 11),2628,False,CO,981 Vaughn St,441100.0,1850542000,,396600,80011,13033391
2.0,4.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7cea21ddfa8e16a80892ae7305732044-p_e.jpg,True,True,False,False,False,False,False,False,39.733986,{},1500.0,-104.793884,2625.0,,2625.0,,2667,False,CO,1122 Nucla St,513800.0,560824000,,421400,80011,13060387
2.0,5.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9f22bcab05d9f5d6beb38a4d3af91dfa-p_e.jpg,True,True,False,False,False,False,False,False,39.62716,{},1738.0,-104.77481,2565.0,,2565.0,,2657,False,CO,18358 E Layton Pl,522300.0,40638000,,459900,80015,13108683
2.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0505bd2dc61aff97f9fb0cb82e761371-p_e.jpg,True,True,False,False,False,False,False,False,39.6857,{},1278.0,-104.8125,2315.0,,2315.0,,2454,False,CO,15006 E Oregon Dr,470100.0,44364000,,445200,80012,13069788
2.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f30ea9d1fa735323ca75aa5bef47ef6c-p_e.jpg,True,True,False,False,False,False,False,False,39.65455,{},1379.0,-104.75874,2565.0,,2565.0,,2464,False,CO,19684 E Girard Dr,473900.0,127192000,,424600,80013,13089606
3.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/66f19fc18f170cc6ae319c793e4a57cb-p_e.jpg,True,True,False,False,False,False,False,False,39.72212,{},1730.0,-104.71223,2645.0,,2645.0,,,False,CO,23607 E 2nd Pl,,139471000,,,80018,447259589
3.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fdf0fd1b3fda72bdeb1687e5e1d2b530-p_e.jpg,True,True,False,False,False,False,False,False,39.72226,{},1730.0,-104.712105,2645.0,,2645.0,,,False,CO,23621 E 2nd Pl,,139068000,,,80018,447259731
2.0,3.0,Aurora,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a4616d14430d7cae2a632239e0025804-p_e.jpg,True,True,False,False,False,False,False,False,39.68308,{},1562.0,-104.80375,2600.0,,2600.0,,2566,False,CO,15840 E Utah Pl,451000.0,1448628000,,412800,80017,13071435
