bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,5.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bbd6f06906a4ba6560995c99db049139-p_e.jpg,True,True,False,False,False,False,False,False,39.98265,{},2729.0,-105.24481,4000.0,,4000.0,,4746,False,CO,745 S 43rd St,1072700.0,37005000,,,1052600,80305,13185239
4.0,4.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fb3d00fb4a09b3fd23457f15842eedf5-p_e.jpg,True,True,False,False,False,False,False,False,40.05729,{},2192.0,-105.21326,4150.0,,4150.0,,3842,False,CO,4497 Wellington Rd,840000.0,225994000,,,823800,80301,13239219
3.0,4.0,Boulder,USA,USD,,17,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5ae5415b719601d85e2dca0c8d47b3f4-p_e.jpg,True,True,False,False,False,False,False,False,40.010258,{},3200.0,-105.19698,9000.0,,9000.0,,6538,False,CO,1255 Westview Dr,1102700.0,1504026000,,1,1298900,80303,13198713
3.0,6.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a7bef3fe708579654c4dd05021255e94-p_e.jpg,True,True,False,False,False,False,False,False,39.990295,{},2600.0,-105.243385,4399.0,,4399.0,,4390,False,CO,115 S 42nd St,924700.0,112261000,,,844100,80305,13186676
2.0,3.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f922c41af87457a3bfbe59531929edcb-p_e.jpg,True,True,False,False,False,False,False,False,40.082085,{},2115.0,-105.36042,3700.0,,3700.0,,3618,False,CO,333 Deer Trail Cir,858200.0,976981000,,,849100,80302,13191843
2.0,3.0,Boulder,USA,USD,1739001600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/348121c75d3fef72d083271abd4cc1df-p_e.jpg,True,True,False,False,False,False,False,False,,{},1000.0,,3700.0,-400,3700.0,$400 (Feb 8),4368,False,CO,(undisclosed Address),,1256178000,,,900400,80302,13182236
3.0,3.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/99e7b4ffec6cae2206ee3f4d8e68a1ef-p_e.jpg,True,True,False,False,False,False,False,False,40.028065,{},2027.0,-105.25217,6495.0,,6495.0,,4145,False,CO,2791 32nd St,1046347.0,1063316000,,,1085900,80301,316891077
3.0,3.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28a7a9a2676f9c46a9980a1474efeae6-p_e.jpg,True,True,False,False,False,False,False,False,40.03264,{},1500.0,-105.26722,3000.0,,3000.0,,4015,False,CO,2295 Forest Ave,1553500.0,559352000,,,1336000,80304,13179084
3.0,5.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/25a6d2c8c14cf951a18f22f25dfb7813-p_e.jpg,True,True,False,False,False,False,False,False,39.9929,{},2812.0,-105.235275,4000.0,,4000.0,,6539,False,CO,4690 Sioux Dr,1215000.0,801955000,,,1207900,80303,13189321
3.0,4.0,Boulder,USA,USD,1738137600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/925dc050ef3edcf040b71d6b7dd2b628-p_e.jpg,True,True,False,False,False,False,False,False,40.03702,{},2724.0,-105.2761,4600.0,-800,4600.0,$800 (Jan 29),4984,False,CO,3427 Iris Ct,1209200.0,3153452000,,,1257200,80304,13219843
