bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,3.0,Henderson,USA,USD,1737878400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/feb2890f25ea3ff91ed8825b40debd4a-p_e.jpg,True,True,False,False,False,False,False,False,39.907566,{},2470.0,-104.83534,3330.0,130,3330.0,,,False,CO,915 Alpine Ave,,1537584000,524800,80640,442779456
2.0,3.0,Brighton,USA,USD,,14,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1cc99aa31c15a21ad01d84c9c251b2d8-p_e.jpg,True,True,False,False,False,False,False,False,39.978157,{},1236.0,-104.75123,2400.0,,2400.0,,2381,False,CO,556 Tanager St,391000.0,1225266000,382900,80601,12944061
3.0,3.0,Brighton,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b2a0d6dc6ce7171828623cf32ea3756a-p_e.jpg,True,True,False,False,False,False,False,False,39.98398,{},1792.0,-104.75533,3029.0,-70,3029.0,$70 (Feb 12),2782,False,CO,4813 Mount Shavano St,534000.0,1333745000,505900,80601,103000958
3.0,3.0,Brighton,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a18b841b7a9f63b30f118d383b01a351-p_e.jpg,True,True,False,False,False,False,False,False,39.98154,{},1661.0,-104.75772,2635.0,-25,2635.0,$25 (Feb 3),2522,False,CO,428 Mount Sherman St,506000.0,1251626000,476900,80601,68568409
4.0,3.0,Brighton,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7fdeec61e0f249d7ff0ab2e1e9c2daf6-p_e.jpg,True,True,False,False,False,False,False,False,39.98645,{},2000.0,-104.756386,2795.0,-100,2795.0,$100 (Jan 31),2839,False,CO,75 Mount Bierstadt St,547000.0,2271794000,500700,80601,102996053
3.0,3.0,Brighton,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bb842e57ed9ad5417e370900259f00a7-p_e.jpg,True,True,False,False,False,False,False,False,39.96963,{},1530.0,-104.83592,2550.0,-15,2550.0,$15 (Feb 3),2518,False,CO,1183 Sandpiper Ln,462000.0,2148292000,450000,80601,12945268
3.0,3.0,Brighton,USA,USD,1739347200000,57,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9a6dd18a53b756263746e2740fa7eb00-p_e.jpg,True,True,False,False,False,False,False,False,39.977512,{},2572.0,-104.79975,3245.0,-25,3245.0,$25 (Feb 12),2784,False,CO,1766 Emma Ln,562000.0,4999074000,576700,80601,12943686
4.0,4.0,Brighton,USA,USD,1737014400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a8e7bd383481e523654bbf2e6a560b08-p_e.jpg,True,True,False,False,False,False,False,False,39.97614,{},2459.0,-104.78342,3075.0,-15,3075.0,$15 (Jan 16),3044,False,CO,3478 Watada Dr,567000.0,5338076000,535600,80601,58288958
3.0,5.0,Brighton,USA,USD,1737792000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a210d93cb79307cb0384ad15a5f4027d-p_e.jpg,False,True,False,False,False,False,False,False,39.992065,{},2718.0,-104.757484,3400.0,-250,3400.0,$250 (Jan 25),3340,False,CO,4724 Thistle Dr,244750.0,3588559000,575800,80601,352145572
2.0,4.0,Brighton,USA,USD,,6,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/02dac36440d0a52a092a0bbe81042417-p_e.jpg,False,True,False,False,False,False,False,False,39.967773,{},1470.0,-104.839096,2650.0,,2650.0,,2623,False,CO,1494 Goldeneye Ln,441000.0,574477000,445600,80601,58289550
3.0,4.0,Brighton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3eade2597510c93ff38cf52304c30d0a-p_e.jpg,False,True,False,False,False,False,False,False,39.95962,{},2138.0,-104.80982,3000.0,,3000.0,,,False,CO,195 Fremont Ct,,729458000,515100,80601,443151135
