bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
4.0,4.0,Broomfield,USA,USD,1737273600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2f781f549c87df6e925cecbb3c8c1a55-p_e.jpg,True,True,False,False,False,False,False,False,39.941517,{},2340.0,-105.02223,3695.0,-100,3695.0,$100 (Jan 19),3841,False,CO,3081 W 134th Ave,613420.0,2694666000,,609600,80020,60228917
4.0,3.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/970f0e57f15789b5f215f8a10be931b3-p_e.jpg,True,True,False,False,False,False,False,False,39.92654,{},1974.0,-105.01928,2830.0,,2830.0,,2817,False,CO,2668 Calkins Pl,582810.0,287680000,,564700,80020,60232216
3.0,3.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/98e5d13d9318c5a20d6b64d97709e91f-p_e.jpg,True,True,False,False,False,False,False,False,39.926033,{},1921.0,-105.02286,2595.0,,2595.0,,2856,False,CO,2843 Calkins Pl,550750.0,701094000,,546300,80020,60232161
2.0,4.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3a3fddaa33f89b1e64dc1ee87564a7e8-p_e.jpg,True,True,False,False,False,False,False,False,39.939358,{},1900.0,-105.02084,2795.0,,2795.0,,2859,False,CO,2741 W 134th Cir,435000.0,1301481000,,456100,80020,60229199
4.0,5.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/16c12d0f988694cfad28dc51f47f4d48-p_e.jpg,True,True,False,False,False,False,False,False,39.94487,{},3607.0,-105.0265,3325.0,,3325.0,,3945,False,CO,13648 Parkview Pl,672640.0,831274000,,717900,80023,60227827
3.0,4.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5053434068376018e28fa81be6c4be56-p_e.jpg,True,True,False,False,False,False,False,False,39.92571,{},2052.0,-105.06003,2960.0,,2960.0,,2958,False,CO,972 E 6th Ave,564000.0,342738000,,562700,80020,60239059
3.0,3.0,Broomfield,USA,USD,1739001600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ff71ee813cfeeb53f1c7b7988d627c9e-p_e.jpg,True,True,False,False,False,False,False,False,39.937374,{},2168.0,-105.03556,3000.0,50,3000.0,,2637,False,CO,3686 Glacier Rim Trl #E,566940.0,550824000,# E,572300,80020,64771724
3.0,4.0,Broomfield,USA,USD,1738915200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/14d8bdfb9204dcc7f2d74836872e29ea-p_e.jpg,True,True,False,False,False,False,False,False,39.9223,{},2834.0,-105.05521,4995.0,500,4995.0,,3966,False,CO,284 Dover Ct,739190.0,7915063000,,707300,80020,60239353
3.0,6.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2e05bb9d6604ecc544ae6cb450d36e8e-p_e.jpg,False,True,False,False,False,False,False,False,39.921455,{},3184.0,-105.07349,3500.0,,3500.0,,3562,False,CO,200 W 3rd Avenue Dr,717930.0,3450838000,,657300,80020,60238427
2.0,3.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8202903c52058b505963ed2c6e1e0ba6-p_e.jpg,False,True,False,False,False,False,False,False,39.922848,{},1800.0,-105.072235,2600.0,,2600.0,,2847,False,CO,345 Main St,569800.0,2511948000,,534400,80020,60237736
4.0,3.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c062a6eb417b3b0ea03093df46db294c-p_e.jpg,False,True,False,False,False,False,False,False,39.996643,{},1788.0,-105.00947,3200.0,,3200.0,,3115,False,CO,2310 Shoshone Pl,518380.0,1522745000,,507300,80023,329763137
3.0,4.0,Broomfield,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/40e26fbec72fcdc38d47d2d3651a1092-p_e.jpg,False,True,False,False,False,False,False,False,39.92349,{},2179.0,-105.02451,2900.0,,2900.0,,2902,False,CO,12529 Elm Ln,590450.0,1049243000,,583100,80020,60232110
