bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
3.0,5.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ce87a4f11ca784832c4f77b80e733fb0-p_e.jpg,True,True,False,False,False,False,False,False,39.593212,{},2893.0,-104.941734,4475.0,,4475.0,,4669,False,CO,3993 E Costilla Ave,726000.0,239277000,,761600,80122,13160900
2.0,2.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ceaabcdeb84d552641be18407fde0b2b-p_e.jpg,True,True,False,False,False,False,False,False,39.583755,{},1320.0,-104.95703,2500.0,,2500.0,,2195,False,CO,2648 E Geddes Pl,520000.0,171349000,,473100,80122,13161932
2.0,3.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/26ba34e0aa5c97b8224da0604fdf96fe-p_e.jpg,True,True,False,False,False,False,False,False,39.62516,{},1804.0,-104.754684,2725.0,,2725.0,,2706,False,CO,20022 E Bellewood Ln,523700.0,39809000,,488400,80015,13110479
3.0,4.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/41a20a6e12f0bbfeb4a94c99defbf9e9-p_e.jpg,True,True,False,False,False,False,False,False,39.622055,{},2156.0,-104.746,2995.0,,2995.0,,2902,False,CO,5193 S Liverpool Way,618900.0,562590000,,574800,80015,13113083
3.0,5.0,Centennial,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8d77105418b94a79f640aa3eb583fcae-p_e.jpg,True,True,False,False,False,False,False,False,39.6199,{},2244.0,-104.78775,3250.0,65,3250.0,,3548,False,CO,17225 E Prentice Dr,560800.0,592077000,,546600,80015,13117085
3.0,5.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dbc490daeb540ac8b149b06db032997c-p_e.jpg,True,True,False,False,False,False,False,False,39.604904,{},2808.0,-104.95483,3250.0,,3250.0,,3291,False,CO,6045 S Milwaukee Way,588600.0,1607760000,,678500,80121,13160038
4.0,4.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/54e40ec83f397faa2eabda05534f5ad8-p_e.jpg,True,True,False,False,False,False,False,False,39.613396,{},2258.0,-104.749405,2895.0,,2895.0,,2905,False,CO,5678 S Jericho Way,579200.0,774562000,,551500,80015,13113454
4.0,4.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0456b101fa68904d6b9f340bb3fca193-p_e.jpg,True,True,False,False,False,False,False,False,39.61641,{},2264.0,-104.75207,2999.0,,2999.0,,2959,False,CO,20293 E Berry Pl,587400.0,903672000,,537500,80015,13113480
2.0,4.0,Centennial,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/981c51a2bb4b89b9013ad8fdf8b12cac-p_e.jpg,True,True,False,False,False,False,False,False,39.600613,{},1497.0,-104.939804,3250.0,,3250.0,,2634,False,CO,6398 S Albion Way,712500.0,1426376000,,678600,80121,13128108
2.0,5.0,Centennial,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7a81ca20dee4f139ac8ad1b396797d2f-p_e.jpg,True,True,False,False,False,False,False,False,39.61384,{},2370.0,-104.74015,3290.0,-5,3290.0,$5 (Feb 10),2706,False,CO,21287 E Powers Pl,539200.0,1758725000,,516600,80015,13113859
