bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
2.0,2.0,Chandler,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8195ab1039bba54534b946c25aa3875-p_e.jpg,True,True,False,False,False,False,False,False,33.34866,{},1597.0,-111.866974,2700.0,-100,2700.0,$100 (Feb 11),2177,False,AZ,2908 N Central Dr,367800.0,136705000,448800,85224,8199292
2.0,3.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a3cd83e526364536e8627df53b4aa558-p_e.jpg,True,True,False,False,False,False,False,False,33.25261,{},2126.0,-111.817505,2800.0,,2800.0,,2528,False,AZ,1376 E Carob Pl,510700.0,467914000,607600,85286,60049721
3.0,4.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9deddc6668c50f4d0997e130930070b9-p_e.jpg,True,True,False,False,False,False,False,False,33.27908,{},2747.0,-111.87075,2660.0,,2660.0,,2886,False,AZ,1822 S Brentwood Pl,560800.0,646898000,705100,85286,8226835
3.0,4.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ac6dfc64f27878e2048cfe6f487b4dad-p_e.jpg,True,True,False,False,False,False,False,False,33.290535,{},2049.0,-111.8083,2525.0,,2525.0,,2507,False,AZ,1079 S Amber St,473300.0,716093000,540000,85286,54859404
3.0,3.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d497df203d14c99980672981797cf2e-p_e.jpg,True,True,False,False,False,False,False,False,33.324047,{},1998.0,-111.89604,2696.0,,2696.0,,2497,False,AZ,3131 W Baylor Ln,433000.0,110398000,520900,85226,64657412
2.0,4.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9811ed00a07dd83cf185bf1133aa594c-p_e.jpg,True,True,False,False,False,False,False,False,33.30719,{},1842.0,-111.82152,2399.0,,2399.0,,2703,False,AZ,243 N Crosscreek Dr,464500.0,111642000,524800,85225,125088087
2.0,3.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/392f8c80371bd0556d556fdd9e7d4326-p_e.jpg,True,True,False,False,False,False,False,False,33.345318,{},1064.0,-111.87204,2050.0,,2050.0,,3440,False,AZ,1800 W Mission Dr,324800.0,172621000,403900,85224,8176698
2.0,3.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e6b052b0cdac1c4dbb64e8cf802ac0fb-p_e.jpg,True,True,False,False,False,False,False,False,33.3085,{},1770.0,-111.808525,2099.0,,2099.0,,2167,False,AZ,1911 E Erie St,415100.0,143786000,500300,85225,8196549
2.0,3.0,Chandler,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8ec752e56472ff2a5e5d492ba7662a08-p_e.jpg,True,True,False,False,False,False,False,False,33.224514,{},1980.0,-111.82657,2998.0,-100,2998.0,$100 (Feb 10),2822,False,AZ,867 E Libra Pl,487700.0,542696000,565500,85249,59262915
2.0,3.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f0105ec3e1d890cfba6eb8bdc31ca3ff-p_e.jpg,True,True,False,False,False,False,False,False,33.32552,{},1330.0,-111.8365,2140.0,,2140.0,,2198,False,AZ,356 E Sheffield Ave,364700.0,74457000,441200,85225,67807236
2.0,3.0,Chandler,USA,USD,1738915200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ccf3da641c4b78dee012493fe6efdd24-p_e.jpg,True,True,False,False,False,False,False,False,33.29609,{},1517.0,-111.86135,2385.0,-955,2385.0,$955 (Feb 7),2129,False,AZ,1091 W Whitten St,390800.0,677645000,467200,85224,8207889
4.0,4.0,Chandler,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/743dac5199f54db071ef764705ba43ac-p_e.jpg,True,True,False,False,False,False,False,False,33.28805,{},2541.0,-111.850815,3100.0,420,3100.0,,3141,False,AZ,627 W Flintlock Way,531200.0,172678000,620200,85286,300110121
3.0,4.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/60e641a3303af6d54b13bdb91b58eb9e-p_e.jpg,True,True,False,False,False,False,False,False,33.26085,{},2000.0,-111.80478,2900.0,,2900.0,,2795,False,AZ,2113 E Lantana Dr,521500.0,2366638000,599900,85286,300103751
2.0,3.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b408935b0f86c62579dfea5b2ae3807a-p_e.jpg,True,True,False,False,False,False,False,False,33.301315,{},1295.0,-111.94191,1995.0,,1995.0,,2236,False,AZ,80 S Oak St,347300.0,143919000,429500,85226,8262980
3.0,3.0,Chandler,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/68d8ec1b8a2219dce491d86b21c61202-p_e.jpg,True,True,False,False,False,False,False,False,33.296577,{},2285.0,-111.82798,2855.0,-60,2855.0,$60 (Feb 12),2536,False,AZ,834 E Whitten St,426600.0,592949000,517600,85225,8206006
2.0,4.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6c174b0a462500405507013727950476-p_e.jpg,True,True,False,False,False,False,False,False,33.209538,{},2650.0,-111.79889,2930.0,,2930.0,,2658,False,AZ,2464 E Westchester Dr,484800.0,495548000,535100,85249,52432171
2.0,3.0,Chandler,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5d9d746a161544c3f38512df0d0d340d-p_e.jpg,True,True,False,False,False,False,False,False,33.355118,{},1521.0,-111.87421,3000.0,,3000.0,,2861,False,AZ,3322 N Apollo Dr,395100.0,2389060000,478800,85224,8191688
