bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
4.0,5.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f3cd6d8b08251b2bbd4bd5fde2f27335-p_e.jpg,True,True,False,False,False,False,False,False,39.70865,{},2791.0,-104.91323,5500.0,,5500.0,,3345,False,CO,431 S Monaco Pkwy,632900.0,50529000,730900,80224,13403448
3.0,4.0,Denver,USA,USD,,1,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b1ac9e7d7fa242fd85b5a049c48b9c00-p_e.jpg,True,True,False,False,False,False,False,False,39.770523,{},1744.0,-105.02864,4400.0,,4400.0,,3311,False,CO,3143 W Denver Pl,802800.0,152982000,844100,80211,13297950
4.0,4.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/adacd29c683f933a0b397ba2b929c6c9-p_e.jpg,True,True,False,False,False,False,False,False,39.790417,{},3862.0,-104.89271,5000.0,,5000.0,,,False,CO,8232 Beekman Pl,,76713000,,80238,444263629
1.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fe977df485ff1e96e75b588933f29ace-p_e.jpg,True,True,False,False,False,False,False,False,39.76306,{},892.0,-105.01659,3322.0,,3322.0,,2532,False,CO,2440 W 33rd Ave,546400.0,141474000,529100,80211,82270772
4.0,5.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a104e96bcab13b90c1377af1bf837655-p_e.jpg,True,True,False,False,False,False,False,False,39.755604,{},4106.0,-105.03024,7500.0,,7500.0,,7352,False,CO,2635 Irving St,,297269000,1649900,80211,2067122796
2.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b1e7573cf6fd1e64befe1821d3f9afc6-p_e.jpg,True,True,False,False,False,False,False,False,39.71908,{},1500.0,-105.02115,3700.0,,3700.0,,3023,False,CO,2726 W Park Pl,522900.0,892256000,506100,80219,13341285
2.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/32eb2ccec81a9b6639b651a72e241574-p_e.jpg,True,True,False,False,False,False,False,False,39.671543,{},1350.0,-104.98667,2999.0,,2999.0,,2632,False,CO,2485 S Lincoln St,721000.0,677075000,,80210,13379147
4.0,5.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8f6e2f99debd7f87a2c67942a20518ee-p_e.jpg,True,True,False,False,False,False,False,False,39.683033,{},3800.0,-104.95609,5250.0,,5250.0,,4478,False,CO,1848 S Columbine St,935400.0,315332000,1184500,80210,13373441
2.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/01c02e693e60749a132b55586ea86df5-p_e.jpg,True,True,False,False,False,False,False,False,39.78659,{},1295.0,-105.02904,3170.0,,3170.0,,2952,False,CO,4943 Hooker St,748700.0,898698000,641100,80221,13292216
2.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/adc5b8306f1dd6f7a28e0cfb1716dee6-p_e.jpg,True,True,False,False,False,False,False,False,39.68584,{},1365.0,-104.953285,3695.0,,3695.0,,2855,False,CO,1690 S Fillmore St,658600.0,931748000,679400,80210,13373326
3.0,4.0,Denver,USA,USD,1738656000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dc5bf7f368acebfdd66f974369621ef6-p_e.jpg,True,True,False,False,False,False,False,False,39.661953,{},2355.0,-104.889275,3649.0,-50,3649.0,$50 (Feb 4),3597,False,CO,3038 S Xanthia St,611800.0,3513544000,653700,80231,13417652
3.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/817c34536dd9cc3659c3c5219be9d201-p_e.jpg,True,True,False,False,False,False,False,False,39.65872,{},1975.0,-104.93964,4000.0,,4000.0,,3869,False,CO,3150 S Albion St,735100.0,3136781000,843700,80222,13414666
2.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a0dc3ccf39b138a414f8759305cfd8e8-p_e.jpg,True,True,False,False,False,False,False,False,39.664455,{},1954.0,-105.04764,3495.0,,3495.0,,3307,False,CO,2834 S Winona Ct,618400.0,1689246000,614500,80236,13384368
2.0,3.0,Denver,USA,USD,,4,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/abca5eea5d80dbc186336220b63a4622-p_e.jpg,True,True,False,False,False,False,False,False,39.731495,{},1928.0,-104.94214,3600.0,,3600.0,,3461,False,CO,955 N Harrison St,772000.0,372210000,739700,80206,13327180
2.0,2.0,Denver,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cf7b278949ee25277476ae3588e0f745-p_e.jpg,True,True,False,False,False,False,False,False,39.779987,{},1200.0,-105.00927,3090.0,-50,3090.0,$50 (Feb 10),4235,False,CO,1852 W 46th Ave,1238000.0,835321000,1121000,80211,337664509
2.0,4.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a66ea06a2f97706acbef75cd8379e064-p_e.jpg,True,True,False,False,False,False,False,False,39.75877,{},1805.0,-104.95083,3800.0,,3800.0,,3074,False,CO,2926 N Saint Paul St,663400.0,1352586000,574300,80205,13304403
2.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cdd501e649f1c797455a13244c9a6963-p_e.jpg,True,True,False,False,False,False,False,False,39.714245,{},1948.0,-104.97841,4250.0,,4250.0,,3543,False,CO,125 S Clarkson St,881300.0,304563000,869500,80209,13345244
2.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/af75fbaaf60654faa76537a22715b06f-p_e.jpg,True,True,False,False,False,False,False,False,39.691986,{},1372.0,-104.97842,3300.0,,3300.0,,3299,False,CO,1353 S Clarkson St,697900.0,328788000,682100,80210,13368648
1.0,3.0,Denver,USA,USD,1737964800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e81341f9fbb01e048098fa953f248b53-p_e.jpg,True,True,False,False,False,False,False,False,39.729515,{},2075.0,-105.03295,3200.0,-600,3200.0,$600 (Jan 27),,False,CO,808 King St,,1951200000,418000,80204,444191937
3.0,4.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/12b7890066173f779258e56b0932ba6d-p_e.jpg,True,True,False,False,False,False,False,False,39.694225,{},1875.0,-104.92341,3200.0,,3200.0,,3150,False,CO,1235 S Hudson St,777400.0,429026000,807600,80246,13405451
5.0,4.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0e7eac98a1806ee20455579fa09d3a9a-p_e.jpg,True,True,False,False,False,False,False,False,39.74972,{},3378.0,-105.031876,6995.0,,6995.0,,6513,False,CO,2187 Julian St,,113816000,1566500,80211,2066389962
2.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2f83d0e46c24d9e79c03b22cee9db569-p_e.jpg,True,True,False,False,False,False,False,False,39.78667,{},1288.0,-105.0319,3300.0,,3300.0,,2839,False,CO,4962 Knox Ct,570600.0,113084000,540900,80221,13292252
2.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dce1667029aa8295a0517375e176a7f1-p_e.jpg,True,True,False,False,False,False,False,False,39.76956,{},900.0,-104.965065,2150.0,,2150.0,,2642,False,CO,3779 N High St,537200.0,113734000,473800,80205,13301515
3.0,4.0,Denver,USA,USD,1739088000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b33ad17828aa56a81c644f36d2069783-p_e.jpg,True,True,False,False,False,False,False,False,39.782356,{},1595.0,-104.769936,3030.0,-5,3030.0,$5 (Feb 9),2734,False,CO,18598 E 47th Pl,469000.0,429500000,467900,80249,318397547
2.0,2.0,Denver,USA,USD,,1,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dc456cd039755fa5871832d42c42c724-p_e.jpg,True,True,False,False,False,False,False,False,39.78583,{},1169.0,-104.88433,2295.0,,2295.0,,2263,False,CO,8963 E Northfield Blvd,440400.0,110443000,416300,80238,125578071
3.0,3.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c6f6269b789133b40d42ba975c4b4974-p_e.jpg,True,True,False,False,False,False,False,False,39.79244,{},1681.0,-105.00729,2900.0,,2900.0,,3041,False,CO,1670 W 52nd Ct,586000.0,114139000,565500,80221,245122399
2.0,4.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc6363dafe6c8f5ecb461b4cc0545430-p_e.jpg,True,True,False,False,False,False,False,False,39.683895,{},1100.0,-105.04456,2950.0,,2950.0,,2638,False,CO,1831 S Tennyson St,481800.0,116056000,491100,80219,13364062
2.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5abf2926a93ca8f2f1b9baa8fb96d7d4-p_e.jpg,True,True,False,False,False,False,False,False,39.712822,{},1176.0,-104.98244,2995.0,,2995.0,,2959,False,CO,200 S Logan St,571800.0,710917000,577100,80209,13345497
