bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
1.0,3.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/74573fbf2eee1f3363463ec969c1c77d-p_e.jpg,True,True,False,False,False,False,False,False,39.6432,{},962.0,-104.996826,2500.0,,2500.0,,2426,False,CO,4030 S Huron St,468600.0,47876000,467700,80110,13143499
3.0,4.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1651be5522daa8b06f866592b0e490a4-p_e.jpg,True,True,False,False,False,False,False,False,39.576157,{},2450.0,-104.80409,3000.0,,3000.0,,3086,False,CO,7735 S Joplin Ct,675800.0,732961000,616900,80112,87627351
2.0,3.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e454f4d580fa2314bfffdd677def7d76-p_e.jpg,True,True,False,False,False,False,False,False,39.63779,{},1904.0,-104.98162,3100.0,,3100.0,,3388,False,CO,4340 S Pennsylvania St,579200.0,823390000,593200,80113,13147090
1.0,2.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cde424032ea6f71cfb4a768fde33f646-p_e.jpg,True,True,False,False,False,False,False,False,39.655933,{},1168.0,-104.98206,2300.0,,2300.0,,2241,False,CO,3337 S Pennsylvania St,523600.0,72317000,479800,80113,13030090
1.0,2.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/be7aac5c748ac2adb3074c7a4d219178-p_e.jpg,True,True,False,False,False,False,False,False,39.657597,{},852.0,-104.98259,2000.0,,2000.0,,2118,False,CO,3262 S Logan St,526900.0,429040000,478300,80113,13029939
2.0,4.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/195a7bc3fb92810063d3ba714a41c04d-p_e.jpg,True,True,False,False,False,False,False,False,39.635647,{},1820.0,-104.98464,4500.0,,4500.0,,3953,False,CO,4459 S Grant St,507300.0,7463017000,611800,80113,13147241
1.0,2.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/61ec7a8db6e64ddc3478ef43b6f7f4da-p_e.jpg,True,True,False,False,False,False,False,False,39.66336,{},900.0,-104.99266,2195.0,,2195.0,,1837,False,CO,2937 S Delaware St,660000.0,1224210000,531500,80110,13029234
2.0,3.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7d1be22a7c09a833798ec0e0cd62d8d8-p_e.jpg,True,True,False,False,False,False,False,False,39.637196,{},931.0,-104.979996,3450.0,,3450.0,,2978,False,CO,4379 S Washington St,576400.0,2432362000,565300,80113,13147076
1.0,2.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8924cafc02d425ce7fcd3cf8eb3e299a-p_e.jpg,False,True,False,False,False,False,False,False,39.66332,{},950.0,-104.9892,3000.0,,3000.0,,1972,False,CO,2939 S Acoma St,522000.0,131509000,483200,80110,13029306
2.0,4.0,Englewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fffedec43d8c49c1d8b7c5d98c9d168d-p_e.jpg,False,True,False,False,False,False,False,False,39.64874,{},1656.0,-104.99156,3250.0,,3250.0,,2684,False,CO,3725 S Cherokee St,592600.0,85016000,568500,80110,13142984
