bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,3.0,Erie,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/09deaf85a1e44b3356544f2d2865b06a-p_e.jpg,True,True,False,False,False,False,False,False,40.03635,{},2460.0,-105.019554,,,2795.0,-100,2795.0,$100 (Feb 11),3342,False,CO,1373 Sunrise Dr,11438.0,821395000,501600,80516,339803377
2.0,2.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2e8aaa91cc551dddde2d7abe4be75342-p_e.jpg,True,True,False,False,False,False,False,False,40.052975,{},1162.0,-105.04784,,,2595.0,,2595.0,,2214,False,CO,810 Briggs St,436160.0,57534000,486300,80516,14089990
3.0,4.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/685f8f358237c770dbfbe845bc0d71e2-p_e.jpg,True,True,False,False,False,False,False,False,40.018833,{},3402.0,-105.10029,,,3550.0,,3550.0,,3934,False,CO,751 Clover Loop,,39569000,731200,80026,352802113
4.0,4.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8b514aa0bb710f3d89dde1dd46867cdb-p_e.jpg,True,True,False,False,False,False,False,False,40.03031,{},3073.0,-105.067924,,,3995.0,,3995.0,,3903,False,CO,946 Olin Ct,733000.0,1727758000,720300,80516,59998926
4.0,4.0,Erie,USA,USD,1737100800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/02d70ead1888a51581b5a4f781969330-p_e.jpg,True,True,False,False,False,False,False,False,40.04149,{},2234.0,-105.02446,,,3545.0,-100,3545.0,$100 (Jan 17),3388,False,CO,1110 Highlands Dr,,1263714000,653400,80516,2062089018
4.0,5.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2256af1f213b3cbbabefeb8b5ea368e8-p_e.jpg,True,True,False,False,False,False,False,False,40.062485,{},3228.0,-105.05871,sqft,6229.08,3950.0,,3950.0,,3828,False,CO,1237 Saint John St,755356.0,2989980000,800800,80516,13256351
3.0,4.0,Erie,USA,USD,1739433600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/350db430444483807a235e3329931aa7-p_e.jpg,True,True,False,False,False,False,False,False,40.040092,{},2304.0,-105.06685,,,2850.0,-150,2850.0,$150 (Feb 13),3061,False,CO,1605 French Ct,654400.0,5053433000,648000,80516,13253241
3.0,3.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1d87d9961919ac9e3dd89cd26111ce4c-p_e.jpg,True,True,False,False,False,False,False,False,40.040386,{},1829.0,-105.04493,,,3695.0,,3695.0,,2936,False,CO,175 Ambrose St,494445.0,6162552000,524100,80516,331297043
1.0,3.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/38bb05fe41f6ee748aa03fa2c246c03e-p_e.jpg,False,True,False,False,False,False,False,False,40.04959,{},1622.0,-105.05062,,,3250.0,,3250.0,,2780,False,CO,534 Holbrook St,184678.0,305314000,,80516,157443328
3.0,4.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/857b509496a231d83bca4dd74f72ed5c-p_e.jpg,False,True,False,False,False,False,False,False,40.00525,{},2724.0,-105.013725,,,5000.0,,5000.0,,3055,False,CO,2257 Dogwood Dr,646117.0,847366000,642500,80516,68058199
3.0,3.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a6c28faa7c3602f5b2804b219a1e43e8-p_e.jpg,False,True,False,False,False,False,False,False,40.015926,{},1486.0,-105.09775,,,2600.0,,2600.0,,2746,False,CO,3227 Billington Dr,585900.0,115815000,606900,80516,54989093
4.0,5.0,Erie,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/abc8c7e0a21508a8ed748fc3efe65a80-p_e.jpg,False,True,False,False,False,False,False,False,40.04154,{},3585.0,-105.04905,,,3800.0,,3800.0,,4087,False,CO,139 Maxwell Ave,690367.0,1830381000,701700,80516,104115890
