bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,3.0,Littleton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/534a066c603cbbca41360a2ff026111d-p_e.jpg,True,True,False,False,False,False,False,False,39.542873,{},1700.0,-105.01614,3200.0,,3200.0,,,False,CO,2274 W Gold Dust Ln,,842310000,613800,80129,446858309
3.0,3.0,Highlands Ranch,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ab5b0d879b3fd48ceb526992cac9fe98-p_e.jpg,True,True,False,False,False,False,False,False,39.55242,{},2197.0,-104.98545,3175.0,,3175.0,,3223,False,CO,512 Southpark Rd,631961.0,213992000,606800,80126,13437707
3.0,4.0,Highlands Ranch,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ba2d4ec3585d9402a6a70f60133bba80-p_e.jpg,True,True,False,False,False,False,False,False,39.55123,{},2153.0,-104.98515,3045.0,,3045.0,,3365,False,CO,504 Timberline Pl,586246.0,40653000,577800,80126,13437727
3.0,5.0,Highlands Ranch,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8d865987276c960500d936d6b779a168-p_e.jpg,True,True,False,False,False,False,False,False,39.545643,{},2600.0,-105.020706,3945.0,,3945.0,,3199,False,CO,9381 Cove Creek Dr,733267.0,230444000,752200,80129,13438335
4.0,4.0,Highlands Ranch,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6975b96a805b4d80a6adb4734fba2dd2-p_e.jpg,True,True,False,False,False,False,False,False,39.5364,{},1991.0,-105.02776,3261.0,76,3261.0,,2953,False,CO,9907 Foxhill Cir,619360.0,472874000,588900,80129,13450289
4.0,4.0,Highlands Ranch,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3055f2254dae572e266c2bbb282c568e-p_e.jpg,True,True,False,False,False,False,False,False,39.542877,{},1958.0,-104.975685,3300.0,,3300.0,,3010,False,CO,1071 Thames St,629432.0,608407000,644800,80126,13444373
3.0,3.0,Highlands Ranch,USA,USD,1738656000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/127637f79127ca8a084ba822001d47d2-p_e.jpg,True,True,False,False,False,False,False,False,39.55219,{},2478.0,-105.00101,3900.0,-300,3900.0,$300 (Feb 4),3501,False,CO,9019 Southurst St,796015.0,3568095000,754600,80129,245220303
4.0,3.0,Highlands Ranch,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6517c153e4e17c93fbc9fc2626ab07e6-p_e.jpg,True,True,False,False,False,False,False,False,39.5536,{},2253.0,-104.98707,3100.0,,3100.0,,3039,False,CO,303 Southpark Rd,674356.0,597005000,625000,80126,13437867
2.0,3.0,Highlands Ranch,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4daead2bbc2b7ab09deadfd510498ef1-p_e.jpg,True,True,False,False,False,False,False,False,39.541737,{},1277.0,-105.00669,2550.0,-145,2550.0,$145 (Feb 12),2496,False,CO,1440 Braewood Ave,521601.0,198143000,500200,80129,13440998
4.0,4.0,Highlands Ranch,USA,USD,,11,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/daf88b780ad04776667f5ef900974b3b-p_e.jpg,True,True,False,False,False,False,False,False,39.53091,{},3000.0,-105.022446,3500.0,,3500.0,,3143,False,CO,10181 Woodrose Ct,712612.0,1032280000,702500,80129,13450178
