bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=39.67558670043945,-105.15869140625&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=EkKE-5i8YGjJFqaNwM2K-dG_qOU=",True,True,False,False,False,False,False,False,39.675587,{},1100.0,-105.15869,,,2650.0,,2650.0,,2350,False,CO,2239 S Eldridge Ct,487910.0,30315000,,,540100,80228,13793618
3.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4fe01d7e4771e27db5edf352264abe01-p_e.jpg,True,True,False,False,False,False,False,False,39.744545,{},1407.0,-105.06419,,,3495.0,,3495.0,,3213,False,CO,1717 Ingalls St,738128.0,113815000,,,707000,80214,338450642
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6a42f2cb7920299e8ebe075248b962a9-p_e.jpg,True,True,False,False,False,False,False,False,39.684673,{},1299.0,-105.0698,,,2800.0,,2800.0,,2704,False,CO,6611 W Montana Pl,524122.0,85021000,,,532900,80232,13786859
2.0,4.0,Lakewood,USA,USD,1739174400000,57,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7c1c0c05373947b73fe28c269986b596-p_e.jpg,True,True,False,False,False,False,False,False,39.68601,{},2032.0,-105.091545,,,3300.0,100,3300.0,,3228,False,CO,8481 W Mexico Ave,585170.0,5001296000,,,598600,80232,13782915
1.0,2.0,Lakewood,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/954a51aaddd84b8f8394c2c062b09fdf-p_e.jpg,True,True,False,False,False,False,False,False,39.744236,{},850.0,-105.12675,,,1550.0,-150,1550.0,$150 (Feb 12),1734,False,CO,1723 Robb St APT 49,240145.0,602876000,Apt 49,,210200,80215,13746083
3.0,5.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/50d40085421c03651104c22730be5968-p_e.jpg,True,True,False,False,False,False,False,False,39.68738,{},2240.0,-105.05395,,,3130.0,,3130.0,,2682,False,CO,1672 S Ames St,439420.0,127201000,,,461000,80232,13787197
2.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fc55ddc3be6e5fe501d199ba14c555dd-p_e.jpg,True,True,False,False,False,False,False,False,39.690918,{},1632.0,-105.124565,,,2900.0,,2900.0,,3045,False,CO,1502 S Queen St,525330.0,753743000,,,562800,80232,13780587
3.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/15e11d9c1a00c3d3f2cee41908e5f123-p_e.jpg,True,True,False,False,False,False,False,False,39.694656,{},1910.0,-105.14057,,,3100.0,,3100.0,,2615,False,CO,12558 W Arizona Pl,668635.0,565436000,,,689000,80228,13778953
3.0,6.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8832076081acdee2452dc6f248ebcdd-p_e.jpg,True,True,False,False,False,False,False,False,39.686314,{},2188.0,-105.081924,,,4350.0,,4350.0,,3613,False,CO,1681 S Wadsworth Blvd,466327.0,544665000,,,583300,80232,13784528
1.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cb586fd5b1172c64a847fb722ced6f49-p_e.jpg,True,True,False,False,False,False,False,False,39.731853,{},750.0,-105.09002,,,1500.0,,1500.0,,,False,CO,951 Brentwood St,,837609000,,,366200,80214,446860544
