bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=39.67558670043945,-105.15869140625&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=EkKE-5i8YGjJFqaNwM2K-dG_qOU=",True,True,False,False,False,False,False,False,39.675587,{},1100.0,-105.15869,2650.0,,2650.0,,2350,False,CO,2239 S Eldridge Ct,487910.0,30315000,,540100,80228,13793618
1.0,2.0,Lakewood,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/954a51aaddd84b8f8394c2c062b09fdf-p_e.jpg,True,True,False,False,False,False,False,False,39.744236,{},850.0,-105.12675,1550.0,-150,1550.0,$150 (Feb 12),1734,False,CO,1723 Robb St APT 49,240145.0,602876000,Apt 49,210200,80215,13746083
1.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cb586fd5b1172c64a847fb722ced6f49-p_e.jpg,True,True,False,False,False,False,False,False,39.731853,{},750.0,-105.09002,1500.0,,1500.0,,,False,CO,951 Brentwood St,,837609000,,366200,80214,446860544
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8fda69547c48e306992fea749abc368f-p_e.jpg,True,True,False,False,False,False,False,False,39.74711,{},864.0,-105.06418,2595.0,,2595.0,,2829,False,CO,1985 Ingalls St,572148.0,1148337000,,529700,80214,13749692
3.0,2.0,Lakewood,USA,USD,,11,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/46e63e37a60e9f9da94008cceffa5e21-p_e.jpg,True,True,False,False,False,False,False,False,39.682793,{},1057.0,-105.15446,2300.0,,2300.0,,2178,False,CO,1880 S Cole St UNIT B3,404410.0,1034268000,Unit B3,409700,80228,51407765
2.0,1.0,Lakewood,USA,USD,1737792000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/703001f635f0347b23481e27c2309d6a-p_e.jpg,True,True,False,False,False,False,False,False,39.7538,{},1010.0,-105.10463,1700.0,-100,1700.0,$100 (Jan 25),1721,False,CO,9604 W 25th Pl #B,618439.0,2966528000,# B,790800,80215,13746912
1.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/48e97929150ba1f9a7b4fa8cda9ca6cf-p_e.jpg,False,True,False,False,False,False,False,False,39.74941,{},1000.0,-105.07455,2500.0,,2500.0,,2352,False,CO,2170 Reed Dr,744656.0,125245000,,744100,80214,119085034
1.0,2.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/01ceb581af9e9e9077da281a9868829c-p_e.jpg,False,True,False,False,False,False,False,False,39.6884,{},1013.0,-105.09815,2200.0,,2200.0,,1961,False,CO,1556 S Field Ct,533071.0,503247000,,539900,80232,13783101
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/945f531310f60393b6a4065301bab58c-p_e.jpg,False,True,False,False,False,False,False,False,39.734566,{},1910.0,-105.07583,2650.0,,2650.0,,2932,False,CO,7100 W 12th Ave,528836.0,761071000,,634100,80214,13760533
2.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e3ed715037c3789ed504cb397135ee14-p_e.jpg,False,True,False,False,False,False,False,False,39.717773,{},1100.0,-105.14282,2200.0,,2200.0,,2402,False,CO,136 Yank Way,,716731000,,356500,80228,2060660015
1.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b583fca4825e63a7b862cf7964a0b851-p_e.jpg,False,True,False,False,False,False,False,False,39.751072,{},700.0,-105.10151,1685.0,,1685.0,,1883,False,CO,2352 Garland St,,5356636000,,424700,80215,2052899708
