bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
4.0,5.0,Littleton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8b310bbdc26dfe06453e4981ed56b745-p_e.jpg,True,True,False,False,False,False,False,False,39.63717,{},2313.0,-105.105354,,,3440.0,,3440.0,,3351,False,CO,4387 S Independence St,530826.0,47865000,,588700,80123,63227742
2.0,4.0,Littleton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/60ec57d4ecedb4e402f27728cb6e9622-p_e.jpg,True,True,False,False,False,False,False,False,39.61828,{},1744.0,-105.00642,,,3100.0,,3100.0,,2448,False,CO,5420 S Windermere St,562100.0,242187000,,498600,80120,13151393
3.0,4.0,Littleton,USA,USD,1738656000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e7d43ddf5c269f7ecb989357257773fd-p_e.jpg,True,True,False,False,False,False,False,False,39.583767,{},2895.0,-104.99615,,,5449.0,-141,5449.0,$141 (Feb 4),3308,False,CO,655 W Fremont Dr,604400.0,915606000,,792300,80120,13165520
3.0,4.0,Littleton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4584274414b5d176c302c1937cc9c225-p_e.jpg,True,True,False,False,False,False,False,False,39.582123,{},1787.0,-104.98255,,,3750.0,,3750.0,,3027,False,CO,562 E Hinsdale Ave,619300.0,24113000,,621700,80122,247460600
3.0,3.0,Littleton,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/81cc8a340cb170bd0a2d19e0fd3ab554-p_e.jpg,True,True,False,False,False,False,False,False,39.50429,{},2065.0,-105.041306,,,3550.0,-200,3550.0,$200 (Feb 10),3606,False,CO,9787 Bennett Peak St,627541.0,1358908000,,578100,80125,249983470
2.0,3.0,Littleton,USA,USD,,16,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6063797112230cee863517198426037e-p_e.jpg,True,True,False,False,False,False,False,False,39.569187,{},1243.0,-105.10031,,,2950.0,,2950.0,,3059,False,CO,9127 W Chestnut Ave,584438.0,1427909000,1,571900,80128,13834502
3.0,3.0,Littleton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0926685dbea7196d5c4bf49214cdcbf0-p_e.jpg,True,True,False,False,False,False,False,False,39.585865,{},2856.0,-105.09177,,,2750.0,,2750.0,,3491,False,CO,7218 S Cody Way,527019.0,196389000,,583200,80128,13827759
2.0,3.0,Littleton,USA,USD,1737705600000,27,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/96bd471f31a4e34a1d4fa406c8d3e852-p_e.jpg,True,True,False,False,False,False,False,False,39.4789,{},1857.0,-105.071045,,,3795.0,-55,3795.0,$55 (Jan 24),3134,False,CO,8005 Mount Ouray Rd,756488.0,2356327000,,706100,80125,331683948
3.0,3.0,Littleton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6d3037a0eeb2d26ed0511a176eae055f-p_e.jpg,True,True,False,False,False,False,False,False,39.50557,{},1812.0,-105.03903,sqft,3702.6000000000004,3300.0,,3300.0,,3129,False,CO,9825 Geneva Creek Ln,609733.0,584255000,,590900,80125,249983108
2.0,4.0,Littleton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2aa6682f9383bcc019e1586527246e75-p_e.jpg,True,True,False,False,False,False,False,False,39.46955,{},2014.0,-105.06602,,,2895.0,,2895.0,,2633,False,CO,9626 Elk Mountain Cir,591908.0,1359404000,,574000,80125,52461581
